id,first_name,last_name,country,age,birth_year,height,weight
13897,Pavel,Kratochvil,SVK,20,2000,,
13900,Robert,Luby,SVK,23,1996,,
13903,Katarína,Cáderová,SVK,20,2000,,
13915,Joe,Goodacre,USA,19,2001,,
13918,Clay,Gordon,USA,19,2001,,
13921,Natalia,Grossman,USA,19,2001,,
13924,Justin,Hall,USA,20,2000,,
13927,Arabella,Jariel,USA,19,2001,,
13933,Raffaele,Leo,USA,22,1997,,
13936,Ariana,Mathews,USA,20,2000,,
13939,Maddy,Morris,USA,22,1997,,
13942,Luke,Muehring,USA,22,1998,,
13945,Stella,Noble,USA,19,2001,,
13948,Matthew,Nunes,USA,20,2000,,
13951,Victoria,Perkins,USA,22,1998,,
13954,Brooke,Raboutou,USA,19,2001,,
13957,Sarah,Radman,USA,23,1997,,
13960,Ashima,Shiraishi,USA,19,2001,,
13963,Bobby,Taft - Pittman,USA,21,1999,,
13969,Devin,Wong,USA,19,2001,,
13972,Nathan,Whaley,GBR,18,2001,,
13978,Løvmo,Mia Kvåle,NOR,30,1990,,
13981,Eliska,Kudrnova,CZE,19,2001,,
13993,Erick,Morales,GUA,21,1999,,
13996,Alessandro,Cingari,ITA,21,1999,,
13999,Momoka,Kaneko,JPN,20,1999,,
89031,Paul,Dinger,GER,11,2009,,
89041,Elisabeth,Loipl,GER,11,2009,,
89091,Nele,Thomas,GER,13,2007,153 cm,
89151,Lenzi,Hirschbichler,GER,11,2009,,
89171,Felix,Wiest,GER,12,2008,,
89181,Samuel,Greene,GER,10,2010,,
89191,Eva,Friederich,GER,12,2007,,
89201,Johannes,Gerstl,GER,10,2010,,
89211,Emily,Schmidt,GER,13,2007,,
89291,Tom,Schmidt,GER,12,2008,,
89301,Jakob,Quade,GER,12,2008,,
89311,Hannes,Menneking,GER,14,2005,,
89321,Béla,Weber,GER,13,2006,,
89331,Paula,Borg,GER,13,2007,,
89371,Lukas,Schalk,GER,25,1995,,
89381,Peter,Gottwald,GER,28,1991,,
89391,Tobias,Grüning,GER,15,2005,,
89421,Peter,Hankofer,GER,18,2002,,
