,athlete_id,rank,year,title,date,comp_id,cat_id,type
192,1317,12,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
193,1300,13,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
194,1211,14,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
195,1294,15,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
196,1301,16,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
197,1069,17,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
198,1255,18,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
199,1155,19,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
200,1332,20,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
201,1175,21,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
202,1316,21,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
203,1261,23,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
204,1077,24,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
205,1173,25,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
206,1034,25,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
207,1053,25,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
208,1083,28,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
209,1235,29,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
210,986,30,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
211,1266,30,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
212,1160,32,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
213,1379,32,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
214,1361,34,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
215,1183,35,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
216,1128,35,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
217,1076,35,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
218,1079,35,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
219,1251,39,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
220,1372,40,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
221,1328,41,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
222,1071,42,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
223,1363,43,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
224,1221,43,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
225,1024,43,1991,uiaa worldcup - clusone 1991,30 August 1991,81,2,lead
226,845,1,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
227,973,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
228,266,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
229,89,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
230,461,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
231,268,6,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
232,202,7,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
233,471,8,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
234,232,9,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
235,177,10,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
236,811,10,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
237,542,12,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
238,753,13,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
239,678,14,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
240,849,15,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
241,914,16,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
242,424,17,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
243,884,18,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
244,12,19,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
245,299,20,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
246,789,21,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
247,492,21,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
248,815,23,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
249,437,24,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
250,734,24,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
251,26,26,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
252,405,27,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
253,273,28,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
254,116,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
255,556,30,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
256,474,31,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
257,565,32,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
258,41,33,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
259,344,33,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
260,219,35,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
261,331,35,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
262,940,35,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
263,322,38,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
264,514,39,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
265,48,39,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
266,792,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
267,412,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
268,139,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
269,655,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
270,733,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
271,673,46,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
272,501,47,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
273,634,48,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
274,593,49,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
275,503,49,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
276,250,51,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
277,226,51,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
278,304,51,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
279,596,51,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
280,941,55,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
281,502,56,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
282,546,57,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
283,777,57,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
284,712,59,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
285,493,59,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
286,395,61,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
287,330,61,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
288,938,61,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
289,346,61,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
290,725,65,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
291,741,65,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
292,790,67,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
293,454,67,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
294,699,69,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
295,63,69,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
296,370,71,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,1,lead
297,1300,1,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
298,1323,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
299,1340,2,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
300,1163,4,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
301,1050,5,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
302,1391,6,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
