,ID,Name,Dates,day_maybe,month,year
397,5417,BaWü Jugendcup Speed Reutlingen,8 Juni 2013,8,6,2013
398,7209,European Youth Championships (B) - Brussels (BEL) 2018 ,31 August - 2 September 2018,31,8,2018
399,7188,IFSC Youth World Championships -  Moscow (RUS) 2018,9  - 16 August 2018,9  - 16,8,2018
400,7206,European Youth Cup (B) - Sofia (BUL) 2018 ,21  - 22 Juli 2018,21  - 22,7,2018
401,10091,Deutsche Meisterschaft Bouldern 2020 - Augsburg,19  - 20 September 2020,19  - 20,9,2020
402,9841,Westdeutsche Meisterschaft Bouldern 2020 - Sportpark Kelkheim,29 August 2020,29,8,2020
403,9241,Offene Hessische Bouldermeisterschaft 2020 im Dynochrom Frankfurt a.M.,8 Februar 2020,8,2,2020
404,8440,Deutsche Meisterschaft Bouldern 2019 - Dortmund,29  - 30 Juni 2019,29  - 30,6,2019
405,7977,"Westdeutsche Meisterschaft Bouldern, Blocschokolade Trier",11 Mai 2019,11,5,2019
406,7974,Offene Bouldermeisterschaft Rheinland-Pfalz - RockTown Kaiserslautern ,30 März 2019,30,3,2019
407,7248,Westdeutsche Meisterschaft Bouldern 2018 - Köln,5 Mai 2018,5,5,2018
408,7107,Regionale Hessische Bouldermeisterschaft - Kassel 2018,3 März 2018,3,3,2018
409,7245,Offene NRW-Landesmeisterschaft Bouldern 2018 - Lindlar,3 Februar 2018,3,2,2018
410,7095,Westdeutsche Meisterschaft Speed 2017,11 November 2017,11,11,2017
411,6677,Westdeutsche Meisterschaft Lead 2017,21 Oktober 2017,21,10,2017
412,6904,Regionale Hessische Meisterschaft Lead 2017 - Gießen,2 September 2017,2,9,2017
413,6627,Westdeutsche Bouldermeisterschaft 2017 - Da&He - Studio Block Pfungstadt,6 Mai 2017,6,5,2017
414,6623,Regionale Hessische Bouldermeisterschaft - 1. Quali zur WDM (B) - Frankfurt 2017,4 Februar 2017,4,2,2017
415,5726,Offene Hessische Landesmeisterschaft (B) 2016 - Dynochrom Frankfurt,23 April 2016,23,4,2016
416,5627,"Offene Hessische Landesmeisterschaft (B) 2015 - Studio Block, Darmstadt-Pfungstadt",9 Mai 2015,9,5,2015
417,5386,Westdeutsche Meisterschaft - Pfalz Rock Frankenthal 2013 (L),1 September 2013,1,9,2013
418,5320,Westdeutsche Meisterschaft - St. Wendel 2012,1 September 2012,1,9,2012
419,5319,Rheinland-Pfalz-Cup Bouldern - Rocktown Kaiserslautern 2012,2 Juni 2012,2,6,2012
420,5259,NRW Landesmeisterschaft - Troisdorf-Spich 2011,19 November 2011,19,11,2011
421,5258,NRW-LM-Cup (2) Lead - Ahlen 2011,8 Oktober 2011,8,10,2011
422,7062,Offene NRW Landesmeisterschaft Lead 2017 - Lindlar,9 September 2017,9,9,2017
423,6701,Offene NRW-Landesmeisterschaft Bouldern 2017 - 2. Quali zur WDM (B) - Stuntwerk Köln,11 Februar 2017,11,2,2017
424,6242,Offene NRW-Landesmeisterschaft Lead,29 Oktober 2016,29,10,2016
425,5919,Offene NRW-Landesmeisterschaft Bouldern (2),21 Mai 2016,21,5,2016
426,5910,Offene NRW-Landesmeisterschaft Bouldern (1),27 Februar 2016,27,2,2016
427,5657,Offene NRW-Landesmeisterschaft Lead,14 November 2015,14,11,2015
428,5632,Offene NRW-Landesmeisterschaft Bouldern 2015 (2),20 Juni 2015,20,6,2015
429,5626,Offene NRW-Landesmeisterschaft Bouldern 2015 (1),25 April 2015,25,4,2015
430,5505,Offene NRW-Landesmeisterschaft Lead,27 September 2014,27,9,2014
431,5433,Offene NRW-Landesmeisterschaft (Lead) - Bochum 2013,16 November 2013,16,11,2013
432,5323,NRW-Landesmeisterschaft Lead - Essen 2012,27 Oktober 2012,27,10,2012
433,7116,22. offene Rheinland-Pfalz Meisterschaft / Qualifikation zur WDM Lead,9 Juni 2018,9,6,2018
434,5554,4. Offene Rheinland-Pfalz-Meisterschaft Bouldern - Rocktown Kaiserslautern 2015,21 März 2015,21,3,2015
435,5447,18. offene Rheinland-Pfalz-Meisterschaft - Pfalz Rock Frankenthal 2014 (L),13 September 2014,13,9,2014
436,5544,"RockTown ""Summer Challenge - Round 3"" 2014",1 Juli - 24 August 2014,1,7,2014
437,5538,"RockTown ""Summer Challenge - Round 2"" 2014",13 Mai - 29 Juni 2014,13,5,2014
438,5531,"RockTown ""Summer Challenge - Round 1"" 2014",24 März - 11 Mai 2014,24,3,2014
439,5448,3. Offene Rheinland-Pfalz-Meisterschaft Bouldern - Rocktown Kaiserslautern 2014,22 März 2014,22,3,2014
440,8265,Regionale Hessische Bouldermeisterschaft - Frankfurt 2019,16 Februar 2019,16,2,2019
441,5722,5. Offene Rheinland-Pfalz-Meisterschaft Bouldern - Rocktown Kaiserslautern 2016,12 März 2016,12,3,2016
442,5556,19. offene Rheinland-Pfalz-Meisterschaft - Pfalz Rock Frankenthal 2015 (L),27 Juni 2015,27,6,2015
443,5368,Deutscher Speedcup - München 2013,7 Juli 2013,7,7,2013
444,7013,"RockTown ""Summer Challenge - Round 3"" 2017",22 Juli - 17 August 2017,22,7,2017
445,7010,"RockTown ""Summer Challenge - Round 2"" 2017",17 Juni - 20 Juli 2017,17,6,2017
446,6985,"RockTown ""Summer Challenge - Round 1"" 2017",13 Mai - 16 Juni 2017,13,5,2017
447,5000,Norddeutsche Meisterschaft Bouldern - Hannover 2008,1 März 2008,1,3,2008
448,5628,"RockTown ""Summer Challenge - Round 1"" 2015",1 Mai - 4 Juni 2015,1,5,2015
449,8471,Offene NRW-Landesmeisterschaft Lead 2019 - Wuppertal,6 Juli 2019,6,7,2019
450,8075,Offene Hessenmeisterschaft Lead - Kletterzentrum Nordhessen Kassel,15 Juni 2019,15,6,2019
451,7980,23. offene Rheinland-Pfalz Meisterschaft Lead / Qualifikation zur WDM Lead - Pfalz Rock Frankenthal ,8 Juni 2019,8,6,2019
452,7297,6. Deutscher Jugendcup 2018 (L) - Frankenthal,29 September 2018,29,9,2018
453,7568,Westdeutsche Meisterschaft Lead 2018 - Saarlouis,22 September 2018,22,9,2018
454,7110,Regionale Hessische Meisterschaft Lead - Frankfurt 2018,1 September 2018,1,9,2018
455,7294,5. Deutscher Jugendcup 2018 (S) - Hilden,21 Juli 2018,21,7,2018
456,7746,Westdeutsche Meisterschaft Speed 2018 - Hilden,1 Juli 2018,1,7,2018
457,7291,4. Deutscher Jugendcup 2018 (S) - Dresden,24 Juni 2018,24,6,2018
458,7288,3. Deutscher Jugendcup 2018 (L) - Dresden,23 Juni 2018,23,6,2018
459,7282,1. Deutscher Jugendcup 2018 (B) - Düsseldorf,14 April 2018,14,4,2018
460,6361,"8. Deutscher Jugendcup  2017 (L) - Brakel, DAV Kletterzentrum OWL",7 Oktober 2017,7,10,2017
461,6365,"7. Deutscher Jugendcup 2017 (S) - Saarlouis, Rocklands Kletterzentrum",22 Juli 2017,22,7,2017
462,6349,"6. Deutscher Jugendcup 2017 (L) - Reutlingen, DAV Kletterzentrum",8 Juli 2017,8,7,2017
463,6357,"5. Deutscher Jugendcup 2017 (S) - Hilden, Bergstation",25 Juni 2017,25,6,2017
464,6353,"4. Deutscher Jugendcup 2017 (L) - Hilden, Bergstation",24 Juni 2017,24,6,2017
465,6345,"3. Deutscher Jugendcup 2017 (B) - Zweibrücken, Camp4 Kletterzentrum",20 Mai 2017,20,5,2017
466,6341,"2. Deutscher Jugendcup 2017 (B) - Hannover, escaladrome",1 April 2017,1,4,2017
467,6337,"1. Deutscher Jugendcup 2017 (B) - Dresden, Mandala",4 März 2017,4,3,2017
468,5732,1. Bayerischer Jugendcup Bouldern - München 2016,13 Februar 2016,13,2,2016
469,5594,3. Bayerischer Jugendcup Lead- Neu-Ulm,27 Juni 2015,27,6,2015
470,5598,1. Bayerischer Jugendcup Bouldern - München 2015,21 Februar 2015,21,2,2015
471,9831,1. Deutscher Jugendcup (B) 2020 - Nürnberg,29 Februar 2020,29,2,2020
472,8078,Westdeutsche Leadmeisterschaft - Offenbach,14 September 2019,14,9,2019
473,8437,6. Deutscher Jugendcup (L) 2019 - München ,7 September 2019,7,9,2019
474,8434,5. Deutscher Jugendcup (S) 2019 - Duisburg,22 Juni 2019,22,6,2019
475,8446,Deutsche Meisterschaft Speed 2019 - Duisburg,22 Juni 2019,22,6,2019
476,8431,4. Deutscher Jugendcup (S) 2019 - Kempten,26 Mai 2019,26,5,2019
477,8428,3. Deutscher Jugendcup (L) 2019 - Kempten,25 Mai 2019,25,5,2019
478,8425,2. Deutscher Jugendcup (B) 2019 - Braunschweig,6 April 2019,6,4,2019
479,8422,1. Deutscher Jugendcup (B) 2019 - Bexbach,16 März 2019,16,3,2019
480,7285,2. Deutscher Jugendcup 2018 (B) - Nürnberg,21 April 2018,21,4,2018
481,6551,Bayerische Jugendmeisterschaft Jugend B und C Speed- Neu-Ulm,23 September 2017,23,9,2017
482,6523,Bayerische Jugendmeisterschaft Jugend B und C Lead - Neu-Ulm,23 September 2017,23,9,2017
483,6511,Bayerische Jugendmeisterschaft Bouldern Jugend C und B 2017- E4 Nürnberg,29 Juli 2017,29,7,2017
484,6894,Qualifikation Bayerische Meisterschaft Würzburg Speed,26 März 2017,26,3,2017
485,6882,Qualifikation Bayerische Meisterschaft Würzburg Lead,26 März 2017,26,3,2017
486,6857,Qualifikation Bayerische Meisterschaft im Rahmen des Coburger Bouldercups,11 Februar 2017,11,2,2017
487,5800,5. Bayerischer Jugendcup Lead - Coburg,23 Juli 2016,23,7,2016
488,5635,Race Challenge Neu-Ulm,27 Juni 2015,27,6,2015
489,7944,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019 ",11  - 13 Juli 2019,11  - 13,7,2019
490,7941,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",4  - 6 Juli 2019,4  - 6,7,2019
491,7155,IFSC Climbing Worldcup (B) - Munich (GER) 2018 ,17  - 18 August 2018,17  - 18,8,2018
492,7152,IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 ,2  - 3 Juni 2018,2  - 3,6,2018
493,7128,IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 ,13  - 14 April 2018,13  - 14,4,2018
494,6198,IFSC Climbing Worldcup (B) - Munich (GER) 2017 ,18  - 19 August 2017,18  - 19,8,2017
495,6186,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,12  - 13 Juli 2017,12  - 13,7,2017
496,6194,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",7  - 8 Juli 2017,7  - 8,7,2017
497,6369,Deutsche Meisterschaft Bouldern 2017 - Berlin,4  - 5 Juni 2017,4  - 5,6,2017
498,6419,European Youth Cup (B) - Soure (POR) 2017,20  - 21 Mai 2017,20  - 21,5,2017
499,1645,IFSC Climbing Worldcup (L) - Kranj (SLO) 2016,26  - 27 November 2016,26  - 27,11,2016
500,1616,IFSC World Youth Championships - Guangzhou (CHN) - 2016,7  - 13 November 2016,7  - 13,11,2016
501,1639,IFSC Climbing Worldcup (B) - Munich (GER) 2016,12  - 13 August 2016,12  - 13,8,2016
502,5747,European Youth Cup (B) - Warsaw (POL) 2016 ,2  - 3 Juli 2016,2  - 3,7,2016
