ID,Name,Dates
"6563","Süddeutsche Meisterschaft Speed - Neu-Ulm","24 September 2017"
"6305","Bächli Swiss Climbing Cup BSCC 2017 (Speed) - SAC Speed-Schweizermeisterschaft Züspa Zürich","7 Oktober 2017"
"5271","Bächli Swiss Climbing Cup BSCC + SM (S) - Züspa Zürich","29 September 2012"
"8190","Bayerische Meisterschaft Erwachsene & Jugend A Lead Freising (Qualifikation Jugend A und B)","1 Mai 2019"
"5729","Offene Hessische Landesmeisterschaft Lead 2016 - Cube Wetzlar","2 Juli 2016"
"5189","Westdeutsche Meisterschaft - Wuppertal 2010","6 November 2010"
"7923","IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019 ","5  - 6 April 2019"
"5542","Norddeutsche Meisterschaft Lead - Hamburg 2014","14 Juni 2014"
"5425","Norddeutsche Meisterschaft (Bouldern) - Hamburg 2013","4 Mai 2013"
"9071","Offene Norddeutsche Meisterschaft Bouldern 2020 im escaladrome Hannover","22 Februar 2020"
"9011","Regionalmeisterschaft Nord-Ost Lead 2019 Hamburg","2 November 2019"
"8509","Regionalmeisterschaft Nord-Ost im FLASHH Hamburg","4 Mai 2019"
"8208","Norddeutsche Meisterschaft Bouldern","23 Februar 2019"
"7828","Nordostdeutsche Meisterschaft Lead (Regionalmeisterschaft) im DAV-Kletterzentrum Hamburg","3 November 2018"
"7825","Offene Landesmeisterschaft Lead DAV-Nord (Griffreich Hannover)","22 September 2018"
"7492","Regionalmeisterschaft Bouldern Nord-Ost (Greifhaus/Braunschweig)","17 März 2018"
"7489","Norddeutsche Meisterschaft Bouldern  2018 Boulder-Base Bremen","3 März 2018"
"6753","Norddeutsche Meisterschaft – Bouldern 2017 Greifhaus Braunschweig","18 Februar 2017"
"6506","Norddeutsche Meisterschaft – Lead 2017 DAV Kletterzentrum Hamburg","21 Januar 2017"
"6034","Norddeutsche Meisterschaft Lead 2016 - DAV Kletterzentrum Hamburg","3 September 2016"
"6028","Norddeutsche Meisterschaft Bouldern 2016 - Boulderbase Bremen","23 April 2016"
"6629","Regionale Bouldermeisterschaft Nordost - escaladrome Hannover","2 April 2017"
"7341","Offene NRW-Landesmeisterschaft Lead 2018 - Hilden","30 Juni 2018"
"5656","Hessische Landesmeisterschaft Lead 2015","27 September 2015"
"5520","Hessische Jugend-Bouldermeisterschaft 2014","1 März 2014"
"6956","Westdeutsche Meisterschaft Bouldern 2017 - Jugend - Studio Bloc Pfungstadt","7 Mai 2017"
"8497","Hessische Meisterschaft Speed 2019 - Hilden","31 August 2019"
