,ID,Rank,Last Name,First Name,Points,Event,Gender,Year,country,birth_year,height,weight,age
4041,5185,31,Marin Garcia,Eduard,40.0,lead,MEN,2002,ESP,1985.0,,,17.0
4042,9300,34,Reffo,Silvio,26.0,lead,MEN,2012,ITA,1990.0,,,22.0
4043,9300,42,Reffo,Silvio,29.0,lead,MEN,2011,ITA,1990.0,,,21.0
4044,10029,35,Shibata,Masaki,24.0,lead,MEN,2012,JPN,1988.0,,,24.0
4045,10029,26,Shibata,Masaki,59.0,lead,MEN,2011,JPN,1988.0,,,23.0
4046,10029,49,Shibata,Masaki,12.0,lead,MEN,2010,JPN,1988.0,,,22.0
4047,11496,40,Weaver,Brad,22.0,lead,MEN,2012,USA,1988.0,,,24.0
4048,7265,48,Chang,Yeu-Shiang,16.0,lead,MEN,2012,TPE,1988.0,,,24.0
4049,7265,41,Chang,Yeu-Shiang,16.0,speed,MEN,2012,TPE,1988.0,,,24.0
4050,7265,77,Chang,Yeu-Shiang,7.0,lead,MEN,2011,TPE,1988.0,,,23.0
4051,7265,59,Chang,Yeu-Shiang,13.0,lead,MEN,2007,TPE,1988.0,,,19.0
4052,7265,33,Chang,Yeu-Shiang,28.0,speed,MEN,2007,TPE,1988.0,,,19.0
4053,7265,83,Chang,Yeu-Shiang,5.0,lead,MEN,2006,TPE,1988.0,,,18.0
4054,7265,70,Chang,Yeu-Shiang,8.0,lead,MEN,2005,TPE,1988.0,,,17.0
4055,9079,50,Busetta,Romain,14.0,lead,MEN,2012,FRA,1991.0,,,21.0
4056,9668,51,Ridge,Noah,14.0,lead,MEN,2012,USA,1994.0,,,18.0
4057,9668,61,Ridge,Noah,16.0,lead,MEN,2011,USA,1994.0,,,17.0
4058,3692,53,Chu,Ka-Wai,12.0,lead,MEN,2012,HKG,1983.0,,,29.0
4059,3692,76,Chu,Ka-Wai,7.0,lead,MEN,2007,HKG,1983.0,,,24.0
4060,3692,34,Chu,Ka-Wai,39.0,lead,MEN,2006,HKG,1983.0,,,23.0
4061,3692,60,Chu,Ka-Wai,10.0,lead,MEN,2005,HKG,1983.0,,,22.0
4062,3692,65,Chu,Ka-Wai,6.0,lead,MEN,2004,HKG,1983.0,,,21.0
4063,3692,55,Chu,Ka-Wai,12.0,boulder,MEN,2004,HKG,1983.0,,,21.0
4064,3692,26,Chu,Ka-Wai,18.0,speed,MEN,2004,HKG,1983.0,,,21.0
4065,3692,90,Chu,Ka-Wai,2.0,lead,MEN,2003,HKG,1983.0,,,20.0
4066,3692,66,Chu,Ka-Wai,5.0,lead,MEN,2002,HKG,1983.0,,,19.0
4067,3692,37,Chu,Ka-Wai,24.0,speed,MEN,2002,HKG,1983.0,,,19.0
4068,8572,61,Graham,Owen,8.0,lead,MEN,2012,USA,1993.0,,,19.0
4069,8572,99,Graham,Owen,3.0,lead,MEN,2011,USA,1993.0,,,18.0
4070,5137,64,Kaurov,Ivan,8.0,lead,MEN,2012,RUS,1987.0,,,25.0
4071,5137,40,Kaurov,Ivan,17.0,lead,MEN,2010,RUS,1987.0,,,23.0
4072,5137,41,Kaurov,Ivan,25.0,boulder,MEN,2010,RUS,1987.0,,,23.0
4073,5137,28,Kaurov,Ivan,36.0,speed,MEN,2010,RUS,1987.0,,,23.0
4074,5137,40,Kaurov,Ivan,20.0,lead,MEN,2009,RUS,1987.0,,,22.0
4075,5137,24,Kaurov,Ivan,45.0,lead,MEN,2008,RUS,1987.0,,,21.0
4076,5137,71,Kaurov,Ivan,8.0,boulder,MEN,2008,RUS,1987.0,,,21.0
4077,5137,38,Kaurov,Ivan,24.0,speed,MEN,2008,RUS,1987.0,,,21.0
4078,5137,25,Kaurov,Ivan,58.0,lead,MEN,2007,RUS,1987.0,,,20.0
4079,5137,27,Kaurov,Ivan,43.0,speed,MEN,2007,RUS,1987.0,,,20.0
4080,5137,32,Kaurov,Ivan,41.0,lead,MEN,2006,RUS,1987.0,,,19.0
4081,5137,66,Kaurov,Ivan,8.0,boulder,MEN,2006,RUS,1987.0,,,19.0
4082,5137,18,Kaurov,Ivan,78.0,speed,MEN,2006,RUS,1987.0,,,19.0
4083,5137,55,Kaurov,Ivan,14.0,lead,MEN,2005,RUS,1987.0,,,18.0
4084,5137,29,Kaurov,Ivan,32.0,speed,MEN,2005,RUS,1987.0,,,18.0
4085,5137,44,Kaurov,Ivan,18.0,lead,MEN,2004,RUS,1987.0,,,17.0
4086,5137,61,Kaurov,Ivan,14.0,lead,MEN,2003,RUS,1987.0,,,16.0
4087,5137,50,Kaurov,Ivan,8.0,speed,MEN,2003,RUS,1987.0,,,16.0
4088,8039,66,Grandelius,Erik,7.0,lead,MEN,2012,SWE,1990.0,,,22.0
4089,10779,68,Tresco,BenIsaac,7.0,lead,MEN,2012,USA,1996.0,,,16.0
4090,5722,69,Watanabe,Kazuma,7.0,lead,MEN,2012,JPN,1985.0,,,27.0
4091,5722,21,Watanabe,Kazuma,82.0,lead,MEN,2011,JPN,1985.0,,,26.0
4092,5722,18,Watanabe,Kazuma,60.0,lead,MEN,2010,JPN,1985.0,,,25.0
4093,5722,20,Watanabe,Kazuma,63.0,lead,MEN,2009,JPN,1985.0,,,24.0
4094,5722,42,Watanabe,Kazuma,22.0,boulder,MEN,2009,JPN,1985.0,,,24.0
4095,5722,23,Watanabe,Kazuma,46.0,lead,MEN,2008,JPN,1985.0,,,23.0
4096,5722,50,Watanabe,Kazuma,22.0,boulder,MEN,2008,JPN,1985.0,,,23.0
4097,5722,22,Watanabe,Kazuma,66.0,lead,MEN,2007,JPN,1985.0,,,22.0
4098,5722,41,Watanabe,Kazuma,33.0,boulder,MEN,2007,JPN,1985.0,,,22.0
4099,5722,72,Watanabe,Kazuma,9.0,lead,MEN,2006,JPN,1985.0,,,21.0
4100,5722,48,Watanabe,Kazuma,18.0,boulder,MEN,2006,JPN,1985.0,,,21.0
4101,5722,48,Watanabe,Kazuma,20.0,boulder,MEN,2004,JPN,1985.0,,,19.0
4102,8449,71,Nilssen,John Henry,6.0,lead,MEN,2012,NOR,1988.0,,,24.0
4103,5876,75,Doyle,Mike,4.0,lead,MEN,2012,CAN,1977.0,,,35.0
4104,5876,88,Doyle,Mike,5.0,lead,MEN,2011,CAN,1977.0,,,34.0
4105,5442,82,Jung,Markus,2.0,lead,MEN,2012,GER,1987.0,,,25.0
4106,5442,41,Jung,Markus,30.0,lead,MEN,2011,GER,1987.0,,,24.0
4107,5442,87,Jung,Markus,4.0,lead,MEN,2006,GER,1987.0,,,19.0
4108,11497,83,Palmer,Andrew,2.0,lead,MEN,2012,USA,1987.0,,,25.0
4109,10144,85,Labarge,Dominic,1.0,lead,MEN,2012,USA,1995.0,,,17.0
4110,11518,86,OH,Sewoong,1.0,lead,MEN,2012,KOR,1968.0,168.0,56.0,44.0
