,ID,Rank,Last Name,First Name,Points,Event,Gender,Year
10,9956,11,Kazbekova,Ievgeniia,145.0,boulder,WOMEN,2019
11,8590,12,Yip,Alannah,139.0,boulder,WOMEN,2019
12,6325,13,Johnson,Alex,125.0,boulder,WOMEN,2019
13,9773,14,Hönig,Afra,111.0,boulder,WOMEN,2019
14,12039,15,Nonaka,Miho,110.0,boulder,WOMEN,2019
15,14002,16,Nakamura,Mao,102.0,boulder,WOMEN,2019
16,9266,17,SA,Sol,100.0,boulder,WOMEN,2019
17,11374,18,Condie,Kyra,93.0,boulder,WOMEN,2019
18,69147,19,Zhang,YueTong,80.0,boulder,WOMEN,2019
19,66821,20,Mori,Ai,77.0,boulder,WOMEN,2019
20,13209,21,Krampl,Mia,74.0,boulder,WOMEN,2019
21,13211,22,Lettner,Sandra,70.0,boulder,WOMEN,2019
22,57446,23,Phillips,Emily,70.0,boulder,WOMEN,2019
23,8812,24,Rekabi,Elnaz,70.0,boulder,WOMEN,2019
24,12597,25,Lukan,Vita,65.0,boulder,WOMEN,2019
25,11895,26,Mackenzie,Oceania,62.0,boulder,WOMEN,2019
26,13921,27,Grossman,Natalia,60.0,boulder,WOMEN,2019
27,13960,28,Shiraishi,Ashima,58.0,boulder,WOMEN,2019
28,9945,29,Caulier,Chloe,57.0,boulder,WOMEN,2019
29,54486,30,Douady,Luce,51.0,boulder,WOMEN,2019
30,11377,31,Hayes,Margo,45.0,boulder,WOMEN,2019
31,13556,32,Moroni,Camilla,45.0,boulder,WOMEN,2019
32,13189,33,Rogora,Laura,40.0,boulder,WOMEN,2019
33,11163,34,Färber,Johanna,39.0,boulder,WOMEN,2019
34,5983,35,KIM,Jain,37.0,boulder,WOMEN,2019
35,52839,36,Meul,Hannah,37.0,boulder,WOMEN,2019
36,57542,37,Michalkova,Vanda,36.0,boulder,WOMEN,2019
37,8953,38,Schwaiger,Berit,36.0,boulder,WOMEN,2019
38,12658,39,Meshkova,Viktoriia,34.0,boulder,WOMEN,2019
39,12930,40,Pötzi,Mattea,34.0,boulder,WOMEN,2019
40,11149,41,Bestvater,Alma,28.0,boulder,WOMEN,2019
41,57134,42,Kura,Nanako,28.0,boulder,WOMEN,2019
42,9814,43,Kuzmenko,Irina,23.0,boulder,WOMEN,2019
43,64975,44,Meignan,Naile,18.0,boulder,WOMEN,2019
44,13280,45,Aguado,Valentina,17.0,boulder,WOMEN,2019
45,9190,46,JIANG,Rong,17.0,boulder,WOMEN,2019
46,8122,47,Lee,Hung Ying,16.0,boulder,WOMEN,2019
47,11272,48,Vest,Allison,16.0,boulder,WOMEN,2019
48,13541,49,Repusic,Urska,15.0,boulder,WOMEN,2019
49,9971,50,Pinggera,Julia,14.0,boulder,WOMEN,2019
50,58626,51,Cohaut,Flavy,12.0,boulder,WOMEN,2019
51,66824,52,Tanii,Natsuki,12.0,boulder,WOMEN,2019
52,13954,53,Raboutou,Brooke,10.0,boulder,WOMEN,2019
53,61513,54,Kopf,Sienna,9.0,boulder,WOMEN,2019
54,12655,55,Slaney,Hannah,9.0,boulder,WOMEN,2019
55,11498,56,Wood,Jennifer,9.0,boulder,WOMEN,2019
56,10181,57,Zakharova,Margaryta,9.0,boulder,WOMEN,2019
57,52411,58,Dörffel,Lucia,7.0,boulder,WOMEN,2019
58,77611,59,SUGAWARA,Aya,7.0,boulder,WOMEN,2019
59,10351,60,Borella,Anna,5.0,boulder,WOMEN,2019
60,8879,61,Bärtschi,Natalie,5.0,boulder,WOMEN,2019
61,8256,62,Blair-Coyle,Sierra,3.0,boulder,WOMEN,2019
62,12639,63,Krasovskaya,Elena,3.0,boulder,WOMEN,2019
63,10328,64,Kümin,Andrea,3.0,boulder,WOMEN,2019
64,57750,65,Neame,Joanna,3.0,boulder,WOMEN,2019
65,11814,66,Yokoyama,Sofya,3.0,boulder,WOMEN,2019
66,5641,67,Zijlstra,Vera,3.0,boulder,WOMEN,2019
67,12831,68,Andre,Charlotte,1.0,boulder,WOMEN,2019
68,60698,69,Boklaschuk,Paige,1.0,boulder,WOMEN,2019
69,10354,70,Jaubert,Anouck,1.0,boulder,WOMEN,2019
0,6,1,Mawem,Bassa,329.0,speed,MEN,2019
1,10613,2,Deulin,Vladislav,312.0,speed,MEN,2019
2,10688,3,Muhammad,Alfian,286.0,speed,MEN,2019
3,7994,4,Zhong,QiXin,285.0,speed,MEN,2019
4,10851,5,Timofeev,Dmitrii,283.0,speed,MEN,2019
5,10635,6,Alipourshenazandifar,Reza,236.0,speed,MEN,2019
6,59998,7,Rukin,Sergey,234.0,speed,MEN,2019
7,10856,8,Shikov,Aleksandr,203.0,speed,MEN,2019
8,11071,9,Pavlenko,Kostiantyn,181.0,speed,MEN,2019
9,10059,10,Kriz,Jan,162.0,speed,MEN,2019
