,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2012,Inzai 27.10.2012,Mokpo 20.10.2012,Xining 12.10.2012,Atlanta 29.09.2012,Puurs 21.09.2012,Imst 10.08.2012,Briançon 20.07.2012,Chamonix 12.07.2012,2012,event,gender
13,14,Ballet,Thomas,FRA,207.00,5. 51.00,14. 24.00,18. 16.00,16. 20.00,13. 26.00,23. (8.00),19. 14.00,22. 9.00,6. 47.00,2012,lead,MEN
14,15,Skofic,Domen,SLO,195.00,18. 16.00,9. 37.00,12. 28.00,11. 31.00,8. 40.00,17. 18.00,,28. 3.00,15. 22.00,2012,lead,MEN
15,16,Matsushima,Akito,JPN,169.00,10. 32.00,12. 28.00,11. 31.00,,,14. 24.00,,16. 20.00,10. 34.00,2012,lead,MEN
16,17,Primozic,Urban,SLO,161.00,9. 37.00,10. 34.00,16. 20.00,12. 28.00,22. 9.00,22. 9.00,18. 16.00,,23. 8.00,2012,lead,MEN
17,18,Lachat,Cédric,SUI,127.00,,,,,,2. 80.00,6. 47.00,,,2012,lead,MEN
18,19,Vettorata,Francesco,ITA,90.00,16. 20.00,,,,,16. 20.00,17. 18.00,17. 18.00,19. 14.00,2012,lead,MEN
19,20,Becan,Klemen,SLO,76.00,14. 24.00,,,,,12. 28.00,,14. 24.00,,2012,lead,MEN
20,21,Kim,Jabee,KOR,74.00,22. 9.00,19. 14.00,20. 12.00,17. 18.00,20. 12.00,,,24. 7.00,29. 2.00,2012,lead,MEN
21,22,Supper,Gautier,FRA,66.00,,,,,,13. 26.00,14. 24.00,,18. 16.00,2012,lead,MEN
22,23,Kryukov,Valeriy,UKR,54.00,,,,,,,,13. 26.00,12. 28.00,2012,lead,MEN
23,24,Aglae,Kevin,FRA,46.00,,,,,,,,10. 34.00,20. 12.00,2012,lead,MEN
24,25,Timmermans,Loïc,BEL,39.00,23. 8.00,,,,14. 24.00,24. 7.00,,,,2012,lead,MEN
25,26,Esteller Ocaña,Victor,ESP,38.00,,,,13. 26.00,,29. 2.00,,,21. 10.00,2012,lead,MEN
26,26,Higuchi,Masahiro,JPN,38.00,,18. 16.00,,,,,15. 22.00,,,2012,lead,MEN
27,28,Ma,ZiDa,CHN,37.00,,,,9. 37.00,,,,,,2012,lead,MEN
28,29,Lopez,Emmanuel,FRA,33.00,,,,,,28. 3.00,,20. 12.00,17. 18.00,2012,lead,MEN
29,29,Ter-Minasyan,Arman,RUS,33.00,,,,,,,13. 26.00,25. 6.00,30. 1.00,2012,lead,MEN
30,31,Bombardi,Marcello,ITA,32.00,17. 18.00,,,,,,20. 12.00,29. 2.00,,2012,lead,MEN
31,32,Köb,Lukas,AUT,31.00,21. 10.00,,,,18. 16.00,26. 5.00,,,,2012,lead,MEN
32,33,Marin Garcia,Eduard,ESP,29.00,,,,,,,24. 7.00,18. 16.00,25. 6.00,2012,lead,MEN
33,34,Reffo,Silvio,ITA,26.00,,,,,,20. 12.00,26. 5.00,,22. 9.00,2012,lead,MEN
34,35,Shibata,Masaki,JPN,24.00,,21. 10.00,22. 9.00,,,,,26. 5.00,,2012,lead,MEN
35,35,Suolang,Jiacuo,CHN,24.00,,,,14. 24.00,,,,,,2012,lead,MEN
36,37,Kasahara,Daisuke,JPN,23.00,,22. 9.00,19. 14.00,,,,,,,2012,lead,MEN
37,38,Fujii,Kokoro,JPN,22.00,,20. 12.00,21. 10.00,,,,,,,2012,lead,MEN
38,38,Jubes Angarita,Marco Antonio,ESP,22.00,,,,15. 22.00,,,,,,2012,lead,MEN
39,38,Weaver,Brad,USA,22.00,,,,,15. 22.00,,,,,2012,lead,MEN
40,41,Hanke,Christoph,GER,21.00,,,,,,18. 16.00,,,26. 5.00,2012,lead,MEN
41,42,Fakiryanov,Dmitrii,RUS,20.00,,,,,,,16. 20.00,,,2012,lead,MEN
42,42,Joannes,Thomas,FRA,20.00,,,,,,,,,16. 20.00,2012,lead,MEN
43,42,Korenaga,Keiichiro,JPN,20.00,,16. 20.00,,,,,,,,2012,lead,MEN
44,42,Park,Jihwan,KOR,20.00,,29. 2.00,17. 18.00,,,,,,,2012,lead,MEN
45,42,Vorotnikov,Vasya,USA,20.00,,,,,16. 20.00,,,,,2012,lead,MEN
46,47,Rudigier,Max,AUT,18.00,,,,,,21. 10.00,27. 4.00,27. 4.00,,2012,lead,MEN
47,48,Chang,Yeu-Shiang,TPE,16.00,,,,18. 16.00,,,,,,2012,lead,MEN
48,49,Shalagin,Mykhaylo,UKR,15.00,,,,,,,,23. 8.00,24. 7.00,2012,lead,MEN
49,50,Busetta,Romain,FRA,14.00,,,,,,,,19. 14.00,,2012,lead,MEN
50,50,Ridge,Noah,USA,14.00,,,,,19. 14.00,,,,,2012,lead,MEN
51,52,Becan,Jure,SLO,12.00,20. 12.00,,,,,,,,,2012,lead,MEN
52,52,Chu,Ka-Wai,HKG,12.00,,,,20. 12.00,,,,,,2012,lead,MEN
53,54,Halenke,Sebastian,GER,11.00,27. 4.00,,,,,30. 1.00,25. 6.00,,,2012,lead,MEN
54,55,Barrans,David,GBR,10.00,,,,,,,,21. 10.00,,2012,lead,MEN
55,55,Huerta,Mauricio,MEX,10.00,,,,,25. 6.00,27. 4.00,,,,2012,lead,MEN
56,55,Levin,Josh,USA,10.00,,,,,21. 10.00,,,,,2012,lead,MEN
57,58,Ozawa,Shinta,JPN,9.00,29. 1.00,23. 8.00,,,,,,,,2012,lead,MEN
58,58,Raztresen,Jure,SLO,9.00,,,,,,,21. 9.00,,,2012,lead,MEN
59,60,Camacho,Reinaldo,VEN,8.00,,,,,,25. 6.00,29. 2.00,,,2012,lead,MEN
60,60,Graham,Owen,USA,8.00,,,,,23. 8.00,,,,,2012,lead,MEN
61,60,Hakamada,Naoto,JPN,8.00,,27. 4.00,,,,,,,27. 4.00,2012,lead,MEN
62,60,KIM,Hanwool,KOR,8.00,,,23. 8.00,,,,,,,2012,lead,MEN
63,60,Kaurov,Ivan,RUS,8.00,,26. 5.00,,,,,,,28. 3.00,2012,lead,MEN
64,60,Zazulin,Evgenii,RUS,8.00,,,,,,,23. 8.00,,,2012,lead,MEN
65,66,Grandelius,Erik,SWE,7.00,24. 7.00,,,,,,,,,2012,lead,MEN
66,66,Lee,Donggun,KOR,7.00,,,24. 7.00,,,,,,,2012,lead,MEN
67,66,Tresco,BenIsaac,USA,7.00,,,,,24. 7.00,,,,,2012,lead,MEN
68,66,Watanabe,Kazuma,JPN,7.00,,24. 7.00,,,,,,,,2012,lead,MEN
69,70,Cho,Seungwoon,KOR,6.00,,,25. 6.00,,,,,,,2012,lead,MEN
70,70,Nilssen,John Henry,NOR,6.00,25. 6.00,,,,,,,,,2012,lead,MEN
71,72,De Alba Flores,Santiago,MEX,5.00,,,,,26. 5.00,,,,,2012,lead,MEN
