,Rank,Name,Name.1,Nation,Points,1531,1529,1528,1527,1526,1523,1524,1525,2014,event,gender,athlete_id
22,23,Chanourdie,Julia,FRA,73.00,19. 14.00,,,,12. 28.00,15. 22.00,22. 9.00,,2014,lead,WOMEN,9984
23,24,Romain,Salomé,FRA,70.00,22. 9.00,,,,,14. 24.00,9. 37.00,,2014,lead,WOMEN,9985
24,25,Miller,Delaney,USA,63.00,,,,,7. 43.00,16. 20.00,,,2014,lead,WOMEN,9673
25,26,Dufraisse,Alizée,FRA,62.00,11. 31.00,,,,,26. 5.00,,13. 26.00,2014,lead,WOMEN,6219
26,27,Lavarda,Jenny,ITA,60.00,,,,,10. 34.00,21. 10.00,18. 16.00,,2014,lead,WOMEN,1179
27,28,Kadic,Katja,SLO,44.00,18. 16.00,,,,20. 12.00,23. 8.00,23. 8.00,,2014,lead,WOMEN,9472
28,29,YOSHIMURA,Moe,JPN,42.00,,17. 18.00,,,,,,14. 24.00,2014,lead,WOMEN,10619
29,30,Mizuguchi,Tsukasa,JPN,27.00,,16. 20.00,,,,,,24. 7.00,2014,lead,WOMEN,9765
30,31,Schubert,Hannah,AUT,25.00,17. 18.00,,,,24. 7.00,,,,2014,lead,WOMEN,10385
31,32,Buhrfeind,Claire,USA,24.00,,,,,14. 24.00,,,,2014,lead,WOMEN,11375
32,33,Cho,Haimi,KOR,23.00,,,,24. 7.00,,,,18. 16.00,2014,lead,WOMEN,11184
33,34,Kalan,Tjasa,SLO,22.00,15. 22.00,,,,,,,,2014,lead,WOMEN,10826
34,34,SA,Sol,KOR,22.00,,,,15. 22.00,,,,,2014,lead,WOMEN,9266
35,34,Stotz,Rebekka,SUI,22.00,,,,,16. 20.00,,29. 2.00,,2014,lead,WOMEN,8878
36,37,Brumagne,Mathilde,BEL,21.00,,,,,,,27. 3.00,17. 18.00,2014,lead,WOMEN,6076
37,38,Kim,Seunghyun,KOR,20.00,,,,21. 10.00,,,,21. 10.00,2014,lead,WOMEN,11171
38,38,Niu,Di,CHN,20.00,,,16. 20.00,,,,,,2014,lead,WOMEN,10611
39,40,Amoros,Solène,FRA,19.00,,,,,21. 10.00,22. 9.00,,,2014,lead,WOMEN,10919
40,40,Ghisolfi,Claudia,ITA,19.00,,,,,19. 14.00,27. 4.00,30. 1.00,,2014,lead,WOMEN,10003
41,42,Kim,Minseon,KOR,18.00,,,,25. 6.00,,,,20. 12.00,2014,lead,WOMEN,11187
42,43,Kim,Solah,KOR,16.00,,,,18. 16.00,,,,,2014,lead,WOMEN,10568
43,44,RENQING,LaMu,CHN,14.00,,,,,,,,19. 14.00,2014,lead,WOMEN,9191
44,44,Tunyavanich,Puntarika,THA,14.00,,,,19. 14.00,,,,,2014,lead,WOMEN,7461
45,46,Hwang,Mihyeon,KOR,12.00,,,,20. 12.00,,,,,2014,lead,WOMEN,13051
46,46,Miura,Erina,JPN,12.00,,20. 12.00,,,,,,,2014,lead,WOMEN,13028
47,46,Thompson-Smith,Molly,GBR,12.00,20. 12.00,,,,,,,,2014,lead,WOMEN,10489
48,49,Hafsaas,Tina Johnsen,NOR,11.00,,,,,26. 5.00,25. 6.00,,,2014,lead,WOMEN,9239
49,50,Hily,Manon,FRA,10.00,,,,,,,21. 10.00,,2014,lead,WOMEN,9756
50,50,Kamin,Rebeka,SLO,10.00,21. 10.00,,,,,,,,2014,lead,WOMEN,9994
51,50,Nishikori,Misato,JPN,10.00,,21. 10.00,,,,,,,2014,lead,WOMEN,12317
52,53,Chiu,"Chi-Heng, Sharon",HKG,9.00,,,,,,,,22. 9.00,2014,lead,WOMEN,8753
53,53,Samoilina,Anastasiia,RUS,9.00,,,,22. 9.00,,,,,2014,lead,WOMEN,10281
54,55,Korherr,Solveig,GER,8.00,,,,,23. 8.00,,,,2014,lead,WOMEN,12157
55,55,Kümin,Andrea,SUI,8.00,24. 7.00,,,,29. 1.00,,,,2014,lead,WOMEN,10328
56,55,Nonaka,Miho,JPN,8.00,,23. 8.00,,,,,,,2014,lead,WOMEN,12039
57,55,Raksachat,Pratthana,THA,8.00,,,,23. 8.00,,,,,2014,lead,WOMEN,10519
58,55,Späte,Jara,SUI,8.00,23. 8.00,,,,,,,,2014,lead,WOMEN,10515
59,60,Choong,Katherine,SUI,7.00,25. 6.00,,,,,30. 1.00,,,2014,lead,WOMEN,6457
60,60,Harada,Asami,JPN,7.00,,24. 7.00,,,,,,,2014,lead,WOMEN,13029
61,60,Ring,Alina,SUI,7.00,,,,,,,24. 7.00,,2014,lead,WOMEN,10957
62,63,Cuypers,Celine,BEL,6.00,,,,,,,25. 6.00,,2014,lead,WOMEN,11030
63,63,Ebner,Andrea,ITA,6.00,,,,,25. 6.00,,,,2014,lead,WOMEN,10001
64,63,Hiroshige,Yuki,JPN,6.00,,25. 6.00,,,,,,,2014,lead,WOMEN,10067
65,63,Syarifah,Abdul Rohma,INA,6.00,,,,,,,,25. 6.00,2014,lead,WOMEN,10731
66,67,Berthier,Nolwen,FRA,5.00,,,,,,,26. 5.00,,2014,lead,WOMEN,9527
67,67,JIANG,Rong,CHN,5.00,,,,,,,,26. 5.00,2014,lead,WOMEN,9190
68,67,Osawa,Sakiko,JPN,5.00,,26. 5.00,,,,,,,2014,lead,WOMEN,10066
69,67,Tomas,Watchareewan,THA,5.00,,,,26. 5.00,,,,,2014,lead,WOMEN,10127
70,71,Kim,Hyojung,KOR,4.00,,,,27. 4.00,,,,,2014,lead,WOMEN,9423
71,71,Lenardic,Jera,SLO,4.00,,,,,27. 4.00,,,,2014,lead,WOMEN,9471
72,71,Matsushima,Yuki,JPN,4.00,,27. 4.00,,,,,,,2014,lead,WOMEN,10068
73,71,RenZeng,WangMu,CHN,4.00,,,,,,,,27. 4.00,2014,lead,WOMEN,10089
74,75,Messer,Melanie,USA,3.00,,28. 3.00,,,,,,,2014,lead,WOMEN,12814
75,75,Plypoolsup,Pankaew,THA,3.00,,,,28. 3.00,,,,,2014,lead,WOMEN,10167
76,75,Rosero,Carolina,ECU,3.00,28. 3.00,,,,,,,,2014,lead,WOMEN,8644
77,75,Terenteva,Galina,RUS,3.00,,,,,,28. 3.00,,,2014,lead,WOMEN,8413
78,79,Doumont,Heloïse,BEL,2.00,,,,,,29. 2.00,,,2014,lead,WOMEN,11809
79,79,Nam,Eunkyung,KOR,2.00,,,,29. 2.00,,,,,2014,lead,WOMEN,13049
80,79,Rauberger,Sophie,GER,2.00,29. 2.00,,,,,,,,2014,lead,WOMEN,51120
81,82,Fiser,Julia,AUT,1.00,30. 1.00,,,,,,,,2014,lead,WOMEN,10888
82,82,Jeon,Jiyeon,KOR,1.00,,,,30. 1.00,,,,,2014,lead,WOMEN,13050
83,82,Mingolla,Federica,ITA,1.00,,,,,29. 1.00,,,,2014,lead,WOMEN,10349
