,Rank,Name,Name.1,Nation,Points,Munich 24.08.2013,Vail 07.06.2013,Toronto 01.06.2013,Innsbruck 17.05.2013,Log-Dragomer 11.05.2013,Kitzbühel 26.04.2013,Millau 05.04.2013,Chongqing 22.03.2013,2013,event,gender
11,12,Onoe,Aya,JPN,154.00,12. 28.00,10. 34.00,11. 31.00,6. 47.00,19. 14.00,,,,2013,boulder,WOMEN
12,13,Crane,Leah,GBR,147.00,21. 9.00,14. 24.00,15. 22.00,26. 5.00,17. 18.00,13. 26.00,7. 43.00,,2013,boulder,WOMEN
13,14,Sandoz,Mélanie,FRA,117.00,6. 47.00,16. 20.00,14. 24.00,,13. 26.00,,,,2013,boulder,WOMEN
14,15,Iakovleva,Olga,RUS,116.00,,,,23. 7.00,15. 22.00,7. 43.00,16. 20.00,14. 24.00,2013,boulder,WOMEN
15,16,Klingler,Petra,SUI,108.00,7. 43.00,,,10. 29.00,27. 3.00,14. 24.00,22. 9.00,,2013,boulder,WOMEN
16,17,Johansen,Therese,NOR,96.00,,,,7. 43.00,11. 31.00,15. 22.00,,,2013,boulder,WOMEN
17,18,Shemulinkina,Tatiana,RUS,89.00,,,,21. 9.00,16. 20.00,,8. 40.00,16. 20.00,2013,boulder,WOMEN
18,19,Chevrier,Anne-Laure,FRA,81.00,,,,,6. 47.00,,10. 34.00,,2013,boulder,WOMEN
19,20,Bacher,Sabine,AUT,72.00,,,,,12. 28.00,17. 18.00,13. 26.00,,2013,boulder,WOMEN
20,21,Gallyamova,Anna,RUS,69.00,18. 16.00,,,8. 40.00,,19. 13.00,,,2013,boulder,WOMEN
21,22,Kobayashi,Yuka,JPN,57.00,8. 40.00,,,,,18. 16.00,29. 1.00,,2013,boulder,WOMEN
22,22,Shalagina,Olga,UKR,57.00,25. 5.00,,,,20. 12.00,8. 40.00,,,2013,boulder,WOMEN
23,24,Chereshneva,Yana,RUS,54.00,17. 18.00,,,,,25. 5.00,,11. 31.00,2013,boulder,WOMEN
24,25,Zijlstra,Vera,NED,53.00,,24. 7.00,9. 37.00,,21. 9.00,,,,2013,boulder,WOMEN
25,26,Fakhritdinova,Dinara,RUS,51.00,5. 51.00,,,,,,,,2013,boulder,WOMEN
26,26,Lavarda,Jenny,ITA,51.00,16. 20.00,,,15. 22.00,21. 9.00,,,,2013,boulder,WOMEN
27,26,Sethna,Elise,CAN,51.00,,9. 37.00,19. 14.00,,,,,,2013,boulder,WOMEN
28,29,KIM,Jain,KOR,49.00,,,,,,,20. 12.00,9. 37.00,2013,boulder,WOMEN
29,30,Stotz,Rebekka,SUI,48.00,,,,,8. 38.00,27. 3.00,24. 7.00,,2013,boulder,WOMEN
30,31,Payne,Angela,USA,47.00,,6. 47.00,,,,,,,2013,boulder,WOMEN
31,32,SA,Sol,KOR,45.00,,,,,,21. 9.00,21. 10.00,13. 26.00,2013,boulder,WOMEN
32,33,Avezou,Cecile,FRA,35.00,27. 3.00,,,29. 1.00,23. 7.00,,14. 24.00,,2013,boulder,WOMEN
33,34,Weldon,Stacey,CAN,34.00,,19. 14.00,16. 20.00,,,,,,2013,boulder,WOMEN
34,35,Pucheux,Margaux,FRA,31.00,,,,,,,11. 31.00,,2013,boulder,WOMEN
35,36,Merrick,Diane,GBR,30.00,,21. 10.00,25. 6.00,,,,,19. 14.00,2013,boulder,WOMEN
36,37,Kipriianova,Ekaterina,RUS,28.00,19. 14.00,,,,,,19. 14.00,,2013,boulder,WOMEN
37,38,Martin,Meagan,USA,26.00,,,13. 26.00,,,,,,2013,boulder,WOMEN
38,39,Kazbekova,Ievgeniia,UKR,24.00,14. 24.00,,,,,,,,2013,boulder,WOMEN
39,40,Chapet,Manon,FRA,22.00,,,,18. 16.00,,,25. 6.00,,2013,boulder,WOMEN
40,40,Rude,Chelsea,USA,22.00,,15. 22.00,,,,,,,2013,boulder,WOMEN
41,42,Posch,Katharina,AUT,20.00,,,,16. 20.00,,,,,2013,boulder,WOMEN
42,43,Melius,Tiffany,AUS,19.00,,28. 3.00,18. 16.00,,,,,,2013,boulder,WOMEN
43,44,Blair-Coyle,Sierra,USA,18.00,,,17. 18.00,,,,,,2013,boulder,WOMEN
44,44,JIANG,Rong,CHN,18.00,,,,,,,,17. 18.00,2013,boulder,WOMEN
45,44,Janicot,Hélène,FRA,18.00,,,,,,19. 13.00,26. 5.00,,2013,boulder,WOMEN
46,44,Russell,Shannon,USA,18.00,,17. 18.00,,,,,,,2013,boulder,WOMEN
47,48,De Marco,Annalisa,ITA,17.00,,,,20. 12.00,25. 5.00,,,,2013,boulder,WOMEN
48,48,Schwaiger,Berit,AUT,17.00,20. 12.00,,,,,25. 5.00,,,2013,boulder,WOMEN
49,50,Ulzhabayeva,Tamara,KAZ,16.00,,,,,,,,18. 16.00,2013,boulder,WOMEN
50,50,Williams,Nina,USA,16.00,,18. 16.00,,,,,,,2013,boulder,WOMEN
51,52,Gibert,Fanny,FRA,14.00,,,,27. 3.00,,27. 3.00,23. 8.00,,2013,boulder,WOMEN
52,52,Tiripa,Ana,GER,14.00,,,,19. 14.00,,,,,2013,boulder,WOMEN
53,54,Briggs,Kerry,CAN,12.00,,,20. 12.00,,,,,,2013,boulder,WOMEN
54,54,Chulich,Lisa,USA,12.00,,20. 12.00,,,,,,,2013,boulder,WOMEN
55,54,liu,yunqing,CHN,12.00,,,,,,,,20. 12.00,2013,boulder,WOMEN
56,57,Celkova,Maria,CAN,10.00,,,21. 10.00,,,,,,2013,boulder,WOMEN
57,57,Ebler,Daniela,SWE,10.00,,,,,,,,21. 10.00,2013,boulder,WOMEN
58,57,Ebner,Andrea,ITA,10.00,29. 1.00,,,21. 9.00,,,,,2013,boulder,WOMEN
59,57,Tracy,Michaela,GBR,10.00,,,,,27. 3.00,23. 7.00,,,2013,boulder,WOMEN
60,61,Bacher,Barbara,AUT,9.00,,,,,,21. 9.00,,,2013,boulder,WOMEN
61,61,Hodann,Anja,SWE,9.00,,,,27. 3.00,27. 3.00,,28. 3.00,,2013,boulder,WOMEN
62,61,Holzmann,Patricia,GER,9.00,21. 9.00,,,,,,,,2013,boulder,WOMEN
63,61,Mascarenas,Megan,USA,9.00,,22. 9.00,,,,,,,2013,boulder,WOMEN
64,61,Reid,Holly,CAN,9.00,,,22. 9.00,,,,,,2013,boulder,WOMEN
65,61,Wiklund,Kajsa,SWE,9.00,,,,,,,,22. 9.00,2013,boulder,WOMEN
66,67,Bell,Claire,GBR,8.00,,27. 4.00,27. 4.00,,,,,,2013,boulder,WOMEN
67,67,Drager,Kelly,CAN,8.00,,,23. 8.00,,,,,,2013,boulder,WOMEN
68,67,Metcalf,Francesca,USA,8.00,,23. 8.00,,,,,,,2013,boulder,WOMEN
69,67,Petri,Friederike,GER,8.00,29. 1.00,,,23. 7.00,,,,,2013,boulder,WOMEN
70,71,Bestvater,Alma,GER,7.00,23. 7.00,,,,,,,,2013,boulder,WOMEN
71,71,Bibik,Olga,RUS,7.00,,,,23. 7.00,,,,,2013,boulder,WOMEN
72,71,Caulier,Chloe,BEL,7.00,,,,,23. 7.00,,,,2013,boulder,WOMEN
73,71,Nevelikova,Karolina,CZE,7.00,,,,,,23. 7.00,,,2013,boulder,WOMEN
74,71,Peet,Gill,GBR,7.00,23. 7.00,,,,,,,,2013,boulder,WOMEN
75,71,Yasuda,Atori,JPN,7.00,,,24. 7.00,,,,,,2013,boulder,WOMEN
76,77,Faus,Isabelle,USA,6.00,,25. 6.00,,,,,,,2013,boulder,WOMEN
77,78,Hohkraut,Mateja,SLO,5.00,,,,,25. 5.00,,,,2013,boulder,WOMEN
78,78,Müller,Jana,GER,5.00,25. 5.00,,,,,,,,2013,boulder,WOMEN
79,78,Shiraiwa,Thais Makino,BRA,5.00,,26. 5.00,,,,,,,2013,boulder,WOMEN
80,78,Weber,Alyssa,CAN,5.00,,,26. 5.00,,,,,,2013,boulder,WOMEN
81,82,Berthier,Nolwen,FRA,4.00,,,,,,,27. 4.00,,2013,boulder,WOMEN
82,83,Carlson,Erica,CAN,3.00,,,28. 3.00,,,,,,2013,boulder,WOMEN
83,83,Pietras,Kasia,USA,3.00,27. 3.00,,,,,,,,2013,boulder,WOMEN
84,85,Condie,Kyra,USA,2.00,,29. 2.00,,,,,,,2013,boulder,WOMEN
85,85,de Bruijn,Bonnie,CAN,2.00,,,29. 2.00,,,,,,2013,boulder,WOMEN
86,87,Akalski,Marieta,CAN,1.00,,,30. 1.00,,,,,,2013,boulder,WOMEN
87,87,Eppensteiner,Madeleine,AUT,1.00,,,,,,29. 1.00,,,2013,boulder,WOMEN
88,87,Hagiwara,Asaki,JPN,1.00,,,,,,,29. 1.00,,2013,boulder,WOMEN
89,87,Hayen,Magali,BEL,1.00,,,,,,,29. 1.00,,2013,boulder,WOMEN
90,87,Hensley,Tiffany,USA,1.00,,30. 1.00,,,,,,,2013,boulder,WOMEN
91,87,Kremer,Valeri,ISR,1.00,,,,,30. 1.00,,,,2013,boulder,WOMEN
92,87,Mulyar,Mariya,UKR,1.00,,,,,,29. 1.00,,,2013,boulder,WOMEN
93,87,Ota,Risa,JPN,1.00,,,,29. 1.00,,,,,2013,boulder,WOMEN
94,87,van Bergen,Nikki,NED,1.00,,,,29. 1.00,,,,,2013,boulder,WOMEN
95,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,2013,boulder,WOMEN
