,Rank,Name,Name.1,Nation,Points,6843,6206,6331,6248,6202,6190,6186,6194,2017,event,gender,athlete_id
25,26,Raboutou,Brooke,USA,68.00,,,,,23. 8.00,13. 26.00,10. 34.00,,2017,lead,WOMEN,13954
26,27,Kotake,Mei,JPN,66.00,12. 28.00,11. 28.00,21. 10.00,,,,,,2017,lead,WOMEN,10620
27,28,Arc,Nolwenn,FRA,63.00,,,,,,27. 4.00,11. 31.00,11. 28.00,2017,lead,WOMEN,13224
28,29,Repusic,Urska,SLO,52.00,10. 34.00,,,,,,,17. 18.00,2017,lead,WOMEN,13541
29,30,Coxsey,Shauna,GBR,47.00,6. 47.00,,,,,,,,2017,lead,WOMEN,8247
30,30,YOSHIMURA,Moe,JPN,47.00,21. 10.00,,16. 20.00,,26. 5.00,20. 12.00,,,2017,lead,WOMEN,10619
31,32,Slaney,Hannah,GBR,43.00,,,,7. 43.00,,,,,2017,lead,WOMEN,12655
32,33,Berthier,Nolwen,FRA,42.00,,,,,,17. 18.00,20. 12.00,20. 12.00,2017,lead,WOMEN,9527
33,33,Posch,Katharina,AUT,42.00,,,,,,18. 16.00,21. 10.00,18. 16.00,2017,lead,WOMEN,8896
34,35,RENQING,LaMu,CHN,36.00,,16. 20.00,18. 16.00,,,,,,2017,lead,WOMEN,9191
35,36,Röck,Magdalena,AUT,34.00,,17. 18.00,25. 6.00,21. 10.00,,,,,2017,lead,WOMEN,8955
36,37,Fredman,Netta,ISR,30.00,,20. 12.00,19. 14.00,,,,,27. 4.00,2017,lead,WOMEN,9538
37,37,Meshkova,Viktoriia,RUS,30.00,25. 6.00,,,,,14. 24.00,,,2017,lead,WOMEN,12658
38,37,Ring,Alina,SUI,30.00,,,,,,25. 6.00,,14. 24.00,2017,lead,WOMEN,10957
39,40,Hulliger,Michelle,SUI,26.00,27. 3.00,,,,,,18. 16.00,24. 7.00,2017,lead,WOMEN,11767
40,41,Doumont,Heloïse,BEL,24.00,18. 16.00,,,,,23. 8.00,,,2017,lead,WOMEN,11809
41,42,Gejo,Stasa,SRB,22.00,15. 22.00,,,,,,,,2017,lead,WOMEN,10338
