,Rank,Name,Name.1,Nation,Points,1119,1118,1101,1100,1120,1094,2008,event,gender,athlete_id
29,27,Prokopiuk,Monika,POL,26.00,,,,,,13. 26.00,2008,speed,WOMEN,7801
30,31,Miroslaw,Katarzyna,POL,24.00,,,,,,14. 24.00,2008,speed,WOMEN,7791
31,31,Pichler,Stefanie,AUT,24.00,,,19. 14.00,21. 10.00,,,2008,speed,WOMEN,7559
32,31,Troepolskaya,Yulia,RUS,24.00,14. 24.00,,,,,,2008,speed,WOMEN,8364
33,34,Terenteva,Galina,RUS,23.00,22. 9.00,,,19. 14.00,,,2008,speed,WOMEN,8413
34,35,Alekseeva,Kseniia,RUS,22.00,15. 22.00,,,,,,2008,speed,WOMEN,5149
35,36,Polekhina,Kseniya,RUS,20.00,,,,,,16. 20.00,2008,speed,WOMEN,7235
36,36,Sheremetyeva,Olena,UKR,20.00,16. 20.00,,,,,,2008,speed,WOMEN,5854
37,38,Koroleva,Natalia,RUS,18.00,17. 18.00,,,,,,2008,speed,WOMEN,9277
38,38,Lavarda,Jenny,ITA,18.00,,,,,,17. 18.00,2008,speed,WOMEN,1179
39,40,Krasavina,Mariia,RUS,16.00,18. 16.00,,,,,,2008,speed,WOMEN,9281
40,40,Rakitskaya,Anna,RUS,16.00,,,,,,18. 16.00,2008,speed,WOMEN,8077
41,40,Zijlstra,Vera,NED,16.00,,,,18. 16.00,,,2008,speed,WOMEN,5641
42,43,Maneva,Radiana,BUL,14.00,,,,,,19. 14.00,2008,speed,WOMEN,6969
43,44,Aveline,Morgane,FRA,12.00,,,,20. 12.00,,,2008,speed,WOMEN,6234
44,44,Boyarskikh,Ekaterina,RUS,12.00,20. 12.00,,,,,,2008,speed,WOMEN,9283
45,44,Kofler,Stefanie,AUT,12.00,,,20. 12.00,,,,2008,speed,WOMEN,6085
46,47,Mykhailova,Olga,UKR,10.00,21. 10.00,,,,,,2008,speed,WOMEN,6952
47,48,Király,Nóra,HUN,8.00,,,,23. 8.00,,,2008,speed,WOMEN,7012
48,48,Levochkina,Yuliya,RUS,8.00,23. 8.00,,,,,,2008,speed,WOMEN,9133
49,50,Vaytsekhovskaya,Yulia,RUS,7.00,24. 7.00,,,,,,2008,speed,WOMEN,9298
50,51,Shahmatova,Evgeniya,RUS,6.00,25. 6.00,,,,,,2008,speed,WOMEN,9282
