,Rank,Name,Name.1,Nation,Points,Kranj 16.11.2013,Valence 01.11.2013,Wujiang 19.10.2013,Mokpo 11.10.2013,Perm 27.09.2013,Puurs 20.09.2013,Imst 09.08.2013,Briançon 19.07.2013,2013,event,gender
17,18,Tauporn,Thomas,GER,96.00,,15. 22.00,,,13. 26.00,,23. 8.00,8. 40.00,2013,lead,MEN
18,19,Timmermans,Loïc,BEL,93.00,19. 14.00,19. 14.00,,16. 20.00,18. 14.00,22. 9.00,,15. 22.00,2013,lead,MEN
19,20,Matsushima,Akito,JPN,90.00,20. 12.00,,15. 22.00,12. 28.00,,12. 28.00,,,2013,lead,MEN
20,21,Shimatani,Naoki,JPN,82.00,,21. 10.00,8. 40.00,10. 32.00,,,,,2013,lead,MEN
21,22,Fakiryanov,Dmitrii,RUS,79.00,14. 24.00,,,,4. 55.00,,,,2013,lead,MEN
22,23,Halenke,Sebastian,GER,69.00,13. 26.00,,,,,,25. 6.00,9. 37.00,2013,lead,MEN
23,24,Becan,Klemen,SLO,65.00,16. 20.00,,,,16. 19.00,13. 26.00,,,2013,lead,MEN
24,24,Lachat,Cédric,SUI,65.00,,,,,,,,3. 65.00,2013,lead,MEN
25,26,Raztresen,Jure,SLO,60.00,9. 37.00,,,,,15. 22.00,,30. 1.00,2013,lead,MEN
26,27,Epih,Sergej,SLO,57.00,12. 28.00,,,,,,15. 22.00,24. 7.00,2013,lead,MEN
27,28,Jubes Angarita,Marco Antonio,ESP,55.00,,,16. 20.00,18. 16.00,,30. 1.00,,17. 18.00,2013,lead,MEN
28,29,Hakamada,Naoto,JPN,50.00,,25. 6.00,10. 34.00,,,,21. 10.00,,2013,lead,MEN
29,30,Kim,Jabee,KOR,47.00,30. 1.00,18. 16.00,,21. 10.00,21. 10.00,,,21. 10.00,2013,lead,MEN
30,31,Hanke,Christoph,GER,42.00,,,,,25. 6.00,18. 16.00,16. 20.00,,2013,lead,MEN
31,32,Köb,Lukas,AUT,36.00,,,,,15. 22.00,19. 14.00,,,2013,lead,MEN
32,33,Kasahara,Daisuke,JPN,35.00,,,,19. 14.00,,28. 3.00,17. 18.00,,2013,lead,MEN
33,34,Rekabi,Davoud,IRI,33.00,,,22. 9.00,14. 24.00,,,,,2013,lead,MEN
34,35,Kalina,Alexander,RUS,28.00,,,,,12. 28.00,,,,2013,lead,MEN
35,36,JonasMcRae,Elan,CAN,27.00,22. 9.00,17. 18.00,,,,,,,2013,lead,MEN
36,37,Nakano,Minoru,JPN,26.00,,,,,,,14. 24.00,29. 2.00,2013,lead,MEN
37,37,Ozawa,Shinta,JPN,26.00,,,13. 26.00,,,,,,2013,lead,MEN
38,37,Ter-Minasyan,Arman,RUS,26.00,,,,,18. 14.00,,22. 9.00,28. 3.00,2013,lead,MEN
39,40,Ravanal,Tomas,CHI,25.00,,,,,,17. 18.00,24. 7.00,,2013,lead,MEN
40,40,Röck,Bernhard,AUT,25.00,,22. 9.00,,,,,18. 16.00,,2013,lead,MEN
41,42,Camacho,Reinaldo,VEN,24.00,,,,,,,,14. 24.00,2013,lead,MEN
42,42,Chesnokov,Semen,RUS,24.00,,,,,14. 24.00,,,,2013,lead,MEN
43,42,Suolang,Jiacuo,CHN,24.00,,,14. 24.00,,,,,,2013,lead,MEN
44,45,Cho,Seungwoon,KOR,23.00,,,,17. 18.00,,26. 5.00,,,2013,lead,MEN
45,45,Wang,Qinghua,CHN,23.00,,,18. 16.00,,24. 7.00,,,,2013,lead,MEN
46,47,Joannes,Thomas,FRA,21.00,18. 16.00,26. 5.00,,,,,,,2013,lead,MEN
47,48,Zazulin,Evgenii,RUS,20.00,,,,,22. 9.00,25. 6.00,,26. 5.00,2013,lead,MEN
48,49,Bombardi,Marcello,ITA,16.00,,28. 3.00,,,,21. 10.00,27. 3.00,,2013,lead,MEN
49,49,KIM,Hanwool,KOR,16.00,,,,20. 12.00,,27. 4.00,,,2013,lead,MEN
50,49,Sharafutdinov,Dmitrii,RUS,16.00,,,,,,,,18. 16.00,2013,lead,MEN
51,52,Narasaki,Tomoa,JPN,15.00,,24. 7.00,,23. 8.00,,,,,2013,lead,MEN
52,53,Ma,ZiDa,CHN,14.00,,,19. 14.00,,,,,,2013,lead,MEN
53,54,Guerimand,Flavien,FRA,12.00,,20. 12.00,,,,,,,2013,lead,MEN
54,54,Krakenberger,Franz,SUI,12.00,,,,,,20. 12.00,,,2013,lead,MEN
55,54,Qu,HaiBin,CHN,12.00,,,20. 12.00,,,,,,2013,lead,MEN
56,57,Kumar,Gaurav,IND,10.00,,,21. 10.00,,,,,,2013,lead,MEN
57,58,Kim,Myeongsu,KOR,9.00,,,,22. 9.00,,,,,2013,lead,MEN
58,58,Puman,Hannes,SWE,9.00,,,,,,,,22. 9.00,2013,lead,MEN
59,60,Mardashov,Anton,UKR,8.00,23. 8.00,,,,,,,,2013,lead,MEN
60,60,Nitta,Tatsumi,JPN,8.00,,23. 8.00,,,,,,,2013,lead,MEN
61,60,Vernaison,Clement,FRA,8.00,,27. 4.00,,,,,,27. 4.00,2013,lead,MEN
62,60,Wechsler,Or,ISR,8.00,,,,,23. 8.00,,,,2013,lead,MEN
63,64,CHON,Jongwon,KOR,7.00,,,,24. 7.00,,,,,2013,lead,MEN
64,65,Esteller Ocaña,Victor,ESP,6.00,,,,,,,,25. 6.00,2013,lead,MEN
65,65,Kim,Hongil,KOR,6.00,,,,25. 6.00,,,,,2013,lead,MEN
66,67,Bergant,Martin,SLO,5.00,,,,,,,26. 5.00,,2013,lead,MEN
67,67,Schellingerhout,Elko,NED,5.00,,29. 2.00,,,,,27. 3.00,,2013,lead,MEN
68,67,Seo,Sungbo,KOR,5.00,,,,26. 5.00,,,,,2013,lead,MEN
69,67,Shagin,Andrey,RUS,5.00,,,,,26. 5.00,,,,2013,lead,MEN
70,71,Kupchik,Arseniy,RUS,4.00,,,,,27. 4.00,,,,2013,lead,MEN
71,71,Lefevre,Ludovic,FRA,4.00,,30. 1.00,,,,,27. 3.00,,2013,lead,MEN
72,71,Park,Hee Yong,KOR,4.00,,,,27. 4.00,,,,,2013,lead,MEN
73,71,Pintar,Gasper,SLO,4.00,27. 4.00,,,,,,,,2013,lead,MEN
74,75,De Mattia,Nicola,ITA,3.00,28. 3.00,,,,,,,,2013,lead,MEN
75,75,Lee,Changhyon,KOR,3.00,,,,28. 3.00,,,,,2013,lead,MEN
76,75,Volkov,Gleb,RUS,3.00,,,,,28. 3.00,,,,2013,lead,MEN
77,78,Hamer,Edward,GBR,2.00,29. 2.00,,,,,,,,2013,lead,MEN
78,78,Novitskiy,Yury,RUS,2.00,,,,,29. 2.00,,,,2013,lead,MEN
79,78,Tekles,Martin,GER,2.00,,,,,,29. 2.00,,,2013,lead,MEN
80,81,Kim,Youngwha,KOR,1.00,,,,29. 1.00,,,,,2013,lead,MEN
81,81,Kwon,Kiyoon,KOR,1.00,,,,29. 1.00,,,,,2013,lead,MEN
82,81,Moreno De Los Huerto,Daniel,ESP,1.00,,,,,,,30. 1.00,,2013,lead,MEN
83,81,Musihin,Victor,RUS,1.00,,,,,30. 1.00,,,,2013,lead,MEN
84,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2013. Not counting points are in brackets.,2013,lead,MEN
