,Rank,Name,Name.1,Nation,Points,08_WC_KR 15.11.2008,08_WC_PU 26.09.2008,08_WC_IM 19.09.2008,08_WC_BE 12.09.2008,CHAMONIX 12.07.2008,QINGHAI 27.06.2008,2008,event,gender
12,13,Eiter,Angela,AUT,154.00,,,,8. 40.00,2. 80.00,10. 34.00,2008,lead,WOMEN
13,14,Bacher,Barbara,AUT,135.00,,15. 22.00,16. 20.00,12. 28.00,17. 18.00,6. 47.00,2008,lead,WOMEN
14,15,Malamid,Evgeniia,RUS,118.00,13. 26.00,,7. 43.00,,20. 12.00,9. 37.00,2008,lead,WOMEN
15,16,Anda Villanueva,Irati,ESP,88.00,19. 14.00,7. 43.00,12. 28.00,28. 3.00,,,2008,lead,WOMEN
16,17,Wurm,Juliane,GER,86.00,9. 37.00,24. 7.00,20. 12.00,16. 20.00,21. 10.00,,2008,lead,WOMEN
17,18,KIM,Jain,KOR,85.00,16. 20.00,8. 40.00,24. 7.00,17. 18.00,,,2008,lead,WOMEN
18,19,Schranz,Christine,AUT,77.00,20. 12.00,26. 5.00,25. 6.00,13. 26.00,,12. 28.00,2008,lead,WOMEN
19,20,Thévenet,Marine,FRA,76.00,,21. 10.00,21. 10.00,19. 14.00,16. 20.00,15. 22.00,2008,lead,WOMEN
20,21,Ociepka,Kinga,POL,73.00,12. 28.00,,19. 14.00,11. 31.00,,,2008,lead,WOMEN
21,22,Saurwein,Katharina,AUT,65.00,11. 31.00,,10. 34.00,,,,2008,lead,WOMEN
22,23,Pinet,Florence,FRA,58.00,14. 24.00,16. 20.00,22. 9.00,26. 5.00,,,2008,lead,WOMEN
23,24,Kobayashi,Yuka,JPN,57.00,,,,,13. 26.00,11. 31.00,2008,lead,WOMEN
