,Rank,Name,Name.1,Nation,Points,Barcelona 26.11.2011,Kranj 19.11.2011,Valence 28.10.2011,Amman 20.10.2011,Boulder 08.10.2011,Puurs 30.09.2011,Changzhi 07.09.2011,Xining 02.09.2011,Briançon 29.07.2011,Chamonix 12.07.2011,2011,event,gender
19,20,Noguchi,Akiyo,JPN,98.00,,,,,6. 47.00,5. 51.00,,,,,2011,lead,WOMEN
20,21,SA,Sol,KOR,88.00,17. 18.00,19. 14.00,,13. 26.00,,27. 4.00,,,19. 14.00,20. 12.00,2011,lead,WOMEN
21,22,Thévenet,Marine,FRA,66.00,,,18. 16.00,,,,,,18. 16.00,10. 34.00,2011,lead,WOMEN
22,23,Eyer,Alexandra,SUI,59.00,,,,,,21. 10.00,,,11. 31.00,17. 18.00,2011,lead,WOMEN
23,24,Serrière,Julia,FRA,53.00,,,15. 22.00,,,13. 26.00,,,,26. 5.00,2011,lead,WOMEN
24,25,Stotz,Rebekka,SUI,49.00,,20. 12.00,26. 5.00,,,20. 12.00,,,16. 20.00,,2011,lead,WOMEN
25,26,Lee,Hung Ying,TPE,48.00,,,,,,,14. 24.00,14. 24.00,,,2011,lead,WOMEN
26,27,Stütz,Christina,AUT,47.00,21. 10.00,21. 10.00,30. 1.00,,,26. 5.00,,,24. 7.00,19. 14.00,2011,lead,WOMEN
27,27,Wilda,Baco Achmad,INA,47.00,,,,,,,11. 31.00,18. 16.00,,,2011,lead,WOMEN
28,29,RENQING,LaMu,CHN,46.00,,,,,,,16. 20.00,13. 26.00,,,2011,lead,WOMEN
29,30,Gosar,Asja,SLO,44.00,19. 14.00,22. 9.00,28. 3.00,,,,,,17. 18.00,,2011,lead,WOMEN
30,30,Sukmandiri,Uji Ayu,INA,44.00,,,,,,,15. 22.00,15. 22.00,,,2011,lead,WOMEN
31,32,Becerra,Mathilde,FRA,43.00,12. 24.00,,20. 12.00,,,24. 7.00,,,,,2011,lead,WOMEN
32,32,JIANG,Rong,CHN,43.00,25. 6.00,,,,,,12. 28.00,22. 9.00,,,2011,lead,WOMEN
