,Rank,Name,Name.1,Nation,Points,7953,7950,7938,7947,7944,7941,2019,event,gender,athlete_id
24,25,Tanaka,Shuta,JPN,99.00,10. 34.00,,,3. 65.00,,,2019,lead,MEN,14478
25,26,Desgranges,Romain,FRA,82.00,,25. 6.00,12. 28.00,10. 34.00,19. 14.00,,2019,lead,MEN,3554
26,27,Pope,James,GBR,76.00,11. 31.00,9. 37.00,23. 8.00,,,,2019,lead,MEN,10963
27,28,Halenke,Sebastian,GER,72.00,15. 22.00,10. 34.00,20. 12.00,,29. 2.00,28. 2.00,2019,lead,MEN,9426
28,29,Bergant,Martin,SLO,63.00,,,15. 22.00,27. 3.00,18. 16.00,15. 22.00,2019,lead,MEN,9997
29,30,Coleman,Nathaniel,USA,60.00,23. 8.00,,,14. 24.00,12. 28.00,,2019,lead,MEN,12601
30,31,KIM,Hanwool,KOR,55.00,22. 9.00,,,20. 12.00,,10. 34.00,2019,lead,MEN,8503
31,32,Potocar,Luka,SLO,54.00,,,13. 26.00,,,12. 28.00,2019,lead,MEN,57874
32,33,Samoilov,Fedir,UKR,49.00,18. 16.00,29. 2.00,11. 31.00,,,,2019,lead,MEN,10788
33,34,Timmermans,Loïc,BEL,48.00,7. 43.00,30. 1.00,27. 4.00,,,,2019,lead,MEN,9492
34,35,Konecny,Jakub,CZE,46.00,17. 18.00,15. 22.00,25. 6.00,,,,2019,lead,MEN,12528
35,36,Fakiryanov,Dmitrii,RUS,42.00,,,10. 34.00,23. 8.00,,,2019,lead,MEN,10279
36,36,Ruana,Rudolph,USA,42.00,21. 10.00,27. 3.00,,12. 28.00,,30. 1.00,2019,lead,MEN,12304
37,38,Duval,Alistair,FRA,37.00,,,,,9. 37.00,,2019,lead,MEN,53226
38,39,Monchois,Nao,FRA,28.00,,,21. 10.00,17. 18.00,,,2019,lead,MEN,12629
39,40,Hojer,Jan,GER,26.00,,,,,14. 24.00,28. 2.00,2019,lead,MEN,6623
40,41,Lorenzi,Simon,BEL,24.00,14. 24.00,,,,,,2019,lead,MEN,10359
41,42,Peharc,Anze,SLO,23.00,,27. 3.00,16. 20.00,,,,2019,lead,MEN,10825
42,43,Hanke,Christoph,GER,22.00,29. 2.00,16. 20.00,,,,,2019,lead,MEN,9683
43,44,Iarilovets,Nikolai,RUS,20.00,16. 20.00,,,,,,2019,lead,MEN,13545
44,45,Rudigier,Max,AUT,19.00,,,28. 3.00,18. 16.00,,,2019,lead,MEN,8315
45,46,Collin,Nicolas,BEL,18.00,,,,,,17. 18.00,2019,lead,MEN,11024
46,47,Lee,Dohyun,KOR,16.00,,22. 9.00,,,,24. 7.00,2019,lead,MEN,61144
47,47,Linacisoro Molina,Mikel Asier,ESP,16.00,,,,24. 7.00,22. 9.00,,2019,lead,MEN,12607
48,47,Rubtsov,Aleksey,RUS,16.00,,18. 16.00,,,,,2019,lead,MEN,9046
49,50,Korenaga,Keiichiro,JPN,14.00,19. 14.00,,,,,,2019,lead,MEN,10173
50,50,McArthur,Hamish,GBR,14.00,,,19. 14.00,,,,2019,lead,MEN,57746
51,50,Schiestl,Matthias,AUT,14.00,,,,19. 14.00,,,2019,lead,MEN,12707
52,53,Piccolruaz,Michael,ITA,12.00,,20. 12.00,,,,,2019,lead,MEN,9514
53,54,Joannes,Thomas,FRA,11.00,,,,26. 5.00,,25. 6.00,2019,lead,MEN,9758
54,55,Dohi,Keita,JPN,10.00,,,,21. 10.00,,,2019,lead,MEN,14032
55,55,Khazanov,Alex,ISR,10.00,,21. 10.00,,,,,2019,lead,MEN,9537
56,57,Puman,Hannes,SWE,9.00,28. 3.00,,,25. 6.00,,,2019,lead,MEN,10365
57,58,Martin,Philipp,GER,8.00,,,,,23. 8.00,,2019,lead,MEN,50798
58,58,Preskar,Milan,SLO,8.00,,,,,,23. 8.00,2019,lead,MEN,9996
59,58,Shevchenko,Vladislav,RUS,8.00,,23. 8.00,,,,,2019,lead,MEN,13867
60,61,Lee,Sungsu,KOR,7.00,,24. 7.00,,,,,2019,lead,MEN,13491
61,62,CHON,Jongwon,KOR,6.00,,,,,25. 6.00,,2019,lead,MEN,11183
62,63,Posch,Mathias,AUT,5.00,26. 5.00,,,,,,2019,lead,MEN,12078
63,64,Ishimatsu,Taisei,JPN,4.00,27. 4.00,,,,,,2019,lead,MEN,57094
64,64,Marcus,Nimrod,ISR,4.00,,,,,27. 4.00,,2019,lead,MEN,12701
65,66,Vettorata,Francesco,ITA,3.00,,,,27. 3.00,,,2019,lead,MEN,10404
66,67,Takata,Tomoaki,JPN,2.00,,,,29. 2.00,,,2019,lead,MEN,11739
