,Rank,Name,Name.1,Nation,Points,651,652,649,648,647,646,642,637,669,2004,event,gender,athlete_id
86,87,Boavida,Isabel,POR,3.00,,,,,,28. 3.00,,,,2004,lead,WOMEN,6755
87,87,Do,Eun-Na,KOR,3.00,,28. 3.00,,,,,,,,2004,lead,WOMEN,5984
88,87,Murjayanti,A,INA,3.00,,,,,28. 3.00,,,,,2004,lead,WOMEN,6779
89,87,Tan,"Li Ying, Suzanna",SGP,3.00,,,,,28. 3.00,,,,,2004,lead,WOMEN,5754
90,91,Glaserova,Martina,CZE,2.00,,29. 2.00,,,,,,,,2004,lead,WOMEN,6837
91,91,Ruh,Nadine,GER,2.00,29. 2.00,,,,,,,,,2004,lead,WOMEN,2356
92,91,Steenackers,Katie,BEL,2.00,,,,,,,,,29. 2.00,2004,lead,WOMEN,6255
93,94,Karesova,Eliska,CZE,1.00,,30. 1.00,,,,,,,,2004,lead,WOMEN,5171
94,94,Ostergaard,Stine,DEN,1.00,,,,,,,,,30. 1.00,2004,lead,WOMEN,6036
95,94,Policard,Michaelle,FRA,1.00,,,30. 1.00,,,,,,,2004,lead,WOMEN,6136
96,94,Stenkovaya,Anna,RUS,1.00,,,,,,,30. 1.00,,,2004,lead,WOMEN,3619
