,Rank,Name,Name.1,Nation,Points,254,253,251,252,243,2000,event,gender,athlete_id
21,21,Kotasova-Kostruhova,Vera,CZE,56.00,10. 34.00,15. 22.00,,,,2000,lead,WOMEN,1389
22,21,Martha,Cécile,FRA,56.00,25. 6.00,24. 7.00,26. 5.00,17. 18.00,16. 20.00,2000,lead,WOMEN,2774
23,24,Kimura,Rie,JPN,46.00,,20. 12.00,12. 28.00,25. 6.00,,2000,lead,WOMEN,1327
24,25,Perlova,Nataliya,UKR,40.00,13. 26.00,19. 14.00,,,,2000,lead,WOMEN,1299
25,25,Piszczek,Renata,POL,40.00,,,,,8. 40.00,2000,lead,WOMEN,1329
26,27,Martin,Delphine,FRA,38.00,,,19. 14.00,18. 16.00,23. 8.00,2000,lead,WOMEN,1078
27,28,Eyer,Alexandra,SUI,37.00,,,23. 8.00,26. 5.00,14. 24.00,2000,lead,WOMEN,991
28,28,Trnkova,Lenka,CZE,37.00,24. 7.00,17. 18.00,22. 9.00,,28. 3.00,2000,lead,WOMEN,1216
29,30,Bihr,Isabelle,FRA,29.00,,,,22. 9.00,16. 20.00,2000,lead,WOMEN,1151
30,31,Truden,Sasa,SLO,27.00,19. 14.00,,25. 6.00,24. 7.00,,2000,lead,WOMEN,1369
31,32,Aguirre,Leire,ESP,26.00,,13. 26.00,,,,2000,lead,WOMEN,1202
32,33,Bacher,Barbara,AUT,22.00,,,15. 22.00,,,2000,lead,WOMEN,1030
33,33,Gronkiewicz-Marcisz,Iwona,POL,22.00,,,,29. 2.00,16. 20.00,2000,lead,WOMEN,1157
34,35,Bereciartu Urruzola,Josune,ESP,20.00,,,,,16. 20.00,2000,lead,WOMEN,1171
35,35,Bibik,Olga,RUS,20.00,,,29. 2.00,21. 10.00,23. 8.00,2000,lead,WOMEN,1308
36,37,Nagakai,Hoshiko,JPN,19.00,20. 12.00,,24. 7.00,,,2000,lead,WOMEN,3362
37,38,Nilsson,Ingela,SWE,16.00,20. 12.00,,27. 4.00,,,2000,lead,WOMEN,1162
38,38,Vidmar,Katja,SLO,16.00,18. 16.00,,,,,2000,lead,WOMEN,3137
39,40,Raffetseder,Gerda,AUT,13.00,25. 6.00,,28. 3.00,,27. 4.00,2000,lead,WOMEN,1135
40,40,Schranz,Barbara,AUT,13.00,,,21. 10.00,28. 3.00,,2000,lead,WOMEN,2819
41,42,Iovane,Luisa,ITA,12.00,,,,20. 12.00,,2000,lead,WOMEN,1213
42,43,Theroux,Corinne,FRA,10.00,,21. 10.00,,,,2000,lead,WOMEN,1070
43,44,CRUZ MONTALBAN,Esther,ESP,9.00,,22. 9.00,,,,2000,lead,WOMEN,3168
44,44,Kuhngaberova,Jitka,CZE,9.00,22. 9.00,,,,,2000,lead,WOMEN,1177
45,44,VAN LANDEGHEM,Sandrine,FRA,9.00,27. 4.00,26. 5.00,,,,2000,lead,WOMEN,4936
46,47,Oman,Jana,SLO,8.00,23. 8.00,,,,,2000,lead,WOMEN,3158
47,47,Plannels,Ruth,ESP,8.00,,23. 8.00,,,,2000,lead,WOMEN,3169
48,49,Lage,Lisa,USA,6.00,,25. 6.00,,,,2000,lead,WOMEN,3319
49,50,Giroux,Elodie,FRA,5.00,,26. 5.00,,,,2000,lead,WOMEN,2731
50,50,Motteau,Myriam,FRA,5.00,,,,,26. 5.00,2000,lead,WOMEN,1259
51,52,Huang,Bai-Le,TPE,4.00,27. 4.00,,,,,2000,lead,WOMEN,4937
52,53,Louis,Stéphanie,SUI,3.00,,,,29. 2.00,30. 1.00,2000,lead,WOMEN,2716
53,54,Allen,Rebecca,GBR,2.00,29. 2.00,,,,,2000,lead,WOMEN,3045
54,54,Endo,Yuka,JPN,2.00,,,,29. 2.00,,2000,lead,WOMEN,4921
55,54,Kim,Sung-Shi,KOR,2.00,29. 2.00,,,,,2000,lead,WOMEN,3407
56,54,Nagyova,Sylvie,CZE,2.00,,,29. 2.00,,,2000,lead,WOMEN,3546
57,54,Rouiga,Irina,RUS,2.00,,29. 2.00,,,,2000,lead,WOMEN,1166
