,Rank,Name,Name.1,Nation,Points,Rovereto 16.09.2000,Grenoble 01.09.2000,München 04.08.2000,Chamonix 12.07.2000,Milau 01.06.2000,Konitsa 27.05.2000,2000,event,gender
36,37,Sarre,Claire,FRA,30.00,,21. 10.00,,16. 20.00,,,2000,boulder,WOMEN
37,38,Giammarco,Giulia,ITA,28.00,,,,12. 28.00,,,2000,boulder,WOMEN
38,39,Ivanova,Petia Gueorguieva,BUL,26.00,,,,,,13. 26.00,2000,boulder,WOMEN
39,39,Roche,Isabelle,FRA,26.00,,,,,13. 26.00,,2000,boulder,WOMEN
40,41,Savic,Romana,SLO,25.00,,,,,26. 5.00,16. 20.00,2000,boulder,WOMEN
41,42,Georgieva,Maria,BUL,24.00,,,,,,14. 24.00,2000,boulder,WOMEN
42,42,Ryo,Soléne,FRA,24.00,,,,,14. 24.00,,2000,boulder,WOMEN
43,44,Gronkiewicz-Marcisz,Iwona,POL,22.00,,,,15. 22.00,,,2000,boulder,WOMEN
44,44,Heurteaux,Sophie,FRA,22.00,,,,,15. 22.00,,2000,boulder,WOMEN
45,44,Kojouharova,Tzveta Konstantin,BUL,22.00,,,,,,15. 22.00,2000,boulder,WOMEN
46,47,Choi,Shun-Yuk,HKG,20.00,16. 20.00,,,,,,2000,boulder,WOMEN
47,48,Bacher,Barbara,AUT,18.00,,,,17. 18.00,,,2000,boulder,WOMEN
48,48,Guiguet,Myrtille,FRA,18.00,,22. 9.00,,,22. 9.00,,2000,boulder,WOMEN
49,50,Zeilemaker,Monica,NED,17.00,,,26. 5.00,,20. 12.00,,2000,boulder,WOMEN
50,51,Taylor,Vanessa,FRA,16.00,,,,,18. 16.00,,2000,boulder,WOMEN
51,51,Truden,Sasa,SLO,16.00,,,,18. 16.00,,,2000,boulder,WOMEN
52,53,Kim,Hyun-Jung,KOR,14.00,,,,19. 14.00,,,2000,boulder,WOMEN
53,53,Rubio,Mélaine,FRA,14.00,,,,,19. 14.00,,2000,boulder,WOMEN
54,53,Salvadori,Claudia,ITA,14.00,19. 14.00,,,,,,2000,boulder,WOMEN
55,53,Seeger,Sarah,GER,14.00,,,19. 14.00,,,,2000,boulder,WOMEN
56,57,Lage,Lisa,USA,12.00,,,20. 12.00,,,,2000,boulder,WOMEN
57,57,Perenzoni,Sara,ITA,12.00,20. 12.00,,,,,,2000,boulder,WOMEN
58,57,Podgorbounskikh,Zosia,RUS,12.00,,,,20. 12.00,,,2000,boulder,WOMEN
59,60,Giroux,Elodie,FRA,10.00,,,21. 10.00,,,,2000,boulder,WOMEN
60,60,Ramis,Audrey,FRA,10.00,,,,,21. 10.00,,2000,boulder,WOMEN
61,62,Louis,Stéphanie,SUI,9.00,,,22. 9.00,,,,2000,boulder,WOMEN
62,62,Ovtchinnikova,Elena,USA,9.00,,,,22. 9.00,,,2000,boulder,WOMEN
63,64,Cintalova,Katarina,SVK,8.00,,,,23. 8.00,,,2000,boulder,WOMEN
64,64,Hurtado,Céline,FRA,8.00,,23. 8.00,,,,,2000,boulder,WOMEN
65,64,Wallin,Lou,SWE,8.00,,,23. 8.00,,,,2000,boulder,WOMEN
66,67,Brady,Katrin,GER,7.00,,,24. 7.00,,,,2000,boulder,WOMEN
67,67,Nagakai,Hoshiko,JPN,7.00,,,,,24. 7.00,,2000,boulder,WOMEN
68,67,Swierstra,Yolanda,NED,7.00,,,24. 7.00,,,,2000,boulder,WOMEN
69,70,Bergqvist,Annika,SWE,6.00,,25. 6.00,,,,,2000,boulder,WOMEN
70,70,Deschamps,Juliette,FRA,6.00,,,,,25. 6.00,,2000,boulder,WOMEN
71,72,Doulat,Laurence,FRA,4.00,,,,,27. 4.00,,2000,boulder,WOMEN
72,72,Watatuki,Kazumi,JPN,4.00,,,27. 4.00,,,,2000,boulder,WOMEN
73,74,Cintalova,Zuzana,SVK,3.00,,,,28. 3.00,,,2000,boulder,WOMEN
74,74,Gas,Florence,FRA,3.00,,,,,28. 3.00,,2000,boulder,WOMEN
75,76,Chauvet,Valérie,FRA,2.00,,,,,29. 2.00,,2000,boulder,WOMEN
76,77,VAN LANDEGHEM,Sandrine,FRA,1.00,,,,30. 1.00,,,2000,boulder,WOMEN
77,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2000. Not counting points are in brackets.,2000,boulder,WOMEN
