,Rank,Name,Name.1,Nation,Points,984,982,980,979,975,971,968,964,2007,event,gender,athlete_id
15,16,Lavarda,Jenny,ITA,176.00,,14. 24.00,,16. 20.00,14. 24.00,7. 43.00,19. 14.00,5. 51.00,2007,lead,WOMEN,1179
16,17,Levet,Sandrine,FRA,166.00,,,,,11. 31.00,5. 51.00,9. 37.00,6. 47.00,2007,lead,WOMEN,1350
17,18,Pinet,Florence,FRA,121.00,,16. 20.00,,,19. 14.00,21. 10.00,8. 40.00,9. 37.00,2007,lead,WOMEN,5245
18,19,Ociepka,Kinga,POL,104.00,14. 24.00,10. 34.00,,13. 26.00,,,,16. 20.00,2007,lead,WOMEN,3484
19,20,schöpf,Bettina,AUT,96.00,23. 8.00,20. 12.00,,18. 16.00,,13. 26.00,23. 8.00,13. 26.00,2007,lead,WOMEN,1042
20,21,Schranz,Christine,AUT,79.00,10. 34.00,,,22. 9.00,,,12. 28.00,23. 8.00,2007,lead,WOMEN,5629
21,22,Caprez,Nina,SUI,72.00,,,,19. 14.00,16. 20.00,19. 14.00,14. 24.00,,2007,lead,WOMEN,6376
22,23,Harrington,Emily,USA,65.00,,,,,,,3. 65.00,,2007,lead,WOMEN,3673
23,24,Noguchi,Akiyo,JPN,53.00,,,12. 28.00,,17. 18.00,,24. 7.00,,2007,lead,WOMEN,6326
24,25,Malamid,Evgeniia,RUS,51.00,,,,,23. 8.00,,11. 31.00,20. 12.00,2007,lead,WOMEN,5147
