,Rank,Name,Name.1,Nation,Points,283,250,247,243,280,240,2000,event,gender,athlete_id
0,1,Levet,Sandrine,FRA,402.00,1. 100.00,3. 65.00,2. 80.00,4. 55.00,6. 47.00,4. 55.00,2000,boulder,WOMEN,1350
1,2,Choumilova,Elena,RUS,300.00,,,,1. 100.00,1. 100.00,1. 100.00,2000,boulder,WOMEN,1106
2,3,Martin,Delphine,FRA,266.00,10. 34.00,6. 47.00,7. 43.00,8. 40.00,4. 55.00,6. 47.00,2000,boulder,WOMEN,1078
3,4,Motteau,Myriam,FRA,234.00,,,14. 24.00,3. 65.00,3. 65.00,2. 80.00,2000,boulder,WOMEN,1259
4,5,Kotasova-Kostruhova,Vera,CZE,222.00,5. 51.00,15. 22.00,6. 47.00,5. 51.00,5. 51.00,,2000,boulder,WOMEN,1389
5,6,Bibik,Olga,RUS,209.00,2. 80.00,4. 55.00,11. 31.00,7. 43.00,,,2000,boulder,WOMEN,1308
6,7,Theroux,Corinne,FRA,167.00,13. 26.00,10. 34.00,13. 26.00,21. 10.00,10. 34.00,9. 37.00,2000,boulder,WOMEN,1070
7,8,Sansoz,Liv,FRA,165.00,3. 65.00,1. 100.00,,,,,2000,boulder,WOMEN,1222
8,9,Avezou,Cecile,FRA,160.00,,,,2. 80.00,2. 80.00,,2000,boulder,WOMEN,1055
9,10,Bauer,Tanja,GER,159.00,12. 28.00,2. 80.00,5. 51.00,,,,2000,boulder,WOMEN,1827
