,Rank,Name,Name.1,Nation,Points,Singapore 23.08.2002,Lecco 24.06.2002,Yekaterinburg 3 25.05.2002,Yekaterinburg 2 22.05.2002,Yekaterinburg 17.05.2002,2002,event,gender
16,17,Salimov,Oleksandr,UKR,60.00,,,8. 40.00,21. 10.00,21. 10.00,2002,speed,MEN
17,18,Zemski,Alexei,RUS,55.00,,,,,4. 55.00,2002,speed,MEN
18,19,Mamarimbing,Ronald,INA,51.00,5. 51.00,,,,,2002,speed,MEN
19,20,Kozmine,Daniil,RUS,48.00,,,17. 18.00,19. 14.00,18. 16.00,2002,speed,MEN
20,20,Omeltchenko,Denis,RUS,48.00,,,16. 20.00,12. 28.00,,2002,speed,MEN
21,22,Khaidarchine,Dmitri,RUS,47.00,,,11. 31.00,18. 16.00,,2002,speed,MEN
22,22,Mohd Yazid,Bin Mohd Yusof,SGP,47.00,6. 47.00,,,,,2002,speed,MEN
23,24,Astachov,Igor,RUS,44.00,,,19. 14.00,17. 18.00,20. 12.00,2002,speed,MEN
24,24,Konovalov,Dmytro,UKR,44.00,,,20. 12.00,14. 24.00,23. 8.00,2002,speed,MEN
25,24,Sergeyev (Liachenko),Alexandre,RUS,44.00,11. 31.00,,27. 4.00,27. 4.00,26. 5.00,2002,speed,MEN
26,27,Toni,Firmansyah,INA,40.00,8. 40.00,,,,,2002,speed,MEN
27,28,Muhd,Hatta,SGP,39.00,10. 34.00,,,26. 5.00,,2002,speed,MEN
28,29,Goutorine,Egor,RUS,35.00,,,13. 26.00,22. 9.00,,2002,speed,MEN
29,30,Shalagin,Mykhaylo,UKR,34.00,,10. 34.00,,,,2002,speed,MEN
30,31,Hyman,Joffrey,RSA,31.00,,11. 31.00,,,,2002,speed,MEN
31,32,Brouard,Paul,RSA,28.00,,12. 28.00,,,,2002,speed,MEN
32,32,Gouveia,Anderson,BRA,28.00,,12. 28.00,,,,2002,speed,MEN
33,32,Mohd Hazlee,Bin Senin,SGP,28.00,12. 28.00,,,,,2002,speed,MEN
34,35,Hubberth,Kristian Guerrero,PHI,26.00,13. 26.00,,,,,2002,speed,MEN
35,35,Nourmamatov,Serguei,RUS,26.00,,,,,13. 26.00,2002,speed,MEN
36,37,Chu,Ka-Wai,HKG,24.00,14. 24.00,,,,,2002,speed,MEN
37,37,Grebenyuk,Oleg,UKR,24.00,,,23. 8.00,20. 12.00,27. 4.00,2002,speed,MEN
38,39,Rosyid,Nurrahman,INA,22.00,15. 22.00,,,,,2002,speed,MEN
39,40,Chen,Xiaojie,CHN,20.00,16. 20.00,,,,,2002,speed,MEN
40,40,Gurchiani,Zaza,GEO,20.00,,,24. 7.00,24. 7.00,25. 6.00,2002,speed,MEN
41,42,Lai,Chi-Wai,HKG,18.00,17. 18.00,,,,,2002,speed,MEN
42,43,Low,"Kien Seong, Francis",MAS,16.00,18. 16.00,,,,,2002,speed,MEN
43,44,Shyshkovskyy,Ivan,UKR,15.00,,,22. 9.00,25. 6.00,,2002,speed,MEN
44,45,Honcharenko,Ihor,UKR,14.00,,,25. 6.00,23. 8.00,,2002,speed,MEN
45,45,Muhamad,Uzair,SGP,14.00,19. 14.00,,,,,2002,speed,MEN
46,47,Mohd Irwan,Mohd Hussain,SGP,12.00,20. 12.00,,,,,2002,speed,MEN
47,48,Ang,Swee Soon,MAS,10.00,21. 10.00,,,,,2002,speed,MEN
48,49,Gusak,Igor,UKR,9.00,,,,,22. 9.00,2002,speed,MEN
49,49,Mohd Yusoff,Muhammad Ridzuan,SGP,9.00,22. 9.00,,,,,2002,speed,MEN
50,51,Wang,Janmin,CHN,8.00,23. 8.00,,,,,2002,speed,MEN
51,52,Cao,Rongwu,CHN,7.00,24. 7.00,,,,,2002,speed,MEN
52,52,Khopko,Alexander,RUS,7.00,,,,,24. 7.00,2002,speed,MEN
53,54,Abbassi,Amin,IRI,6.00,,,,28. 3.00,28. 3.00,2002,speed,MEN
54,54,Bartha,Attila,HUN,6.00,,,26. 5.00,,30. 1.00,2002,speed,MEN
55,54,Muhammad Zaki,Ramli,SGP,6.00,25. 6.00,,,,,2002,speed,MEN
56,57,Vidal,Cresencio,PHI,5.00,26. 5.00,,,,,2002,speed,MEN
57,58,Heason,Ben,GBR,4.00,27. 4.00,,,,,2002,speed,MEN
58,59,Nur Ikwan,Addien,SGP,3.00,28. 3.00,,,,,2002,speed,MEN
59,59,Pirvasli,Amir,IRI,3.00,,,,30. 1.00,29. 2.00,2002,speed,MEN
60,59,Tyurin,Vladislav,KAZ,3.00,,,28. 3.00,,,2002,speed,MEN
61,62,Jafari Mahmoudabadi,Mohammad,IRI,2.00,,,,29. 2.00,,2002,speed,MEN
62,62,Katsitadze,Soso,GEO,2.00,,,29. 2.00,,,2002,speed,MEN
63,64,Sief,Hossein,IRI,1.00,,,30. 1.00,,,2002,speed,MEN
64,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,0 best competition results are counting for UIAA Climbing-Worldcup 2002. Not counting points are in brackets.,2002,speed,MEN
