,Rank,Name,Name.1,Nation,Points,902,900,897,893,890,887,885,879,876,875,2006,event,gender,athlete_id
11,12,Lavarda,Jenny,ITA,176.00,20. 12.00,24. 7.00,11. 31.00,17. 18.00,8. 40.00,,9. 37.00,20. 12.00,24. 7.00,20. 12.00,2006,lead,WOMEN,1179
12,13,Saurwein,Katharina,AUT,169.00,6. 47.00,9. 37.00,,,9. 37.00,,12. 28.00,,,16. 20.00,2006,lead,WOMEN,5244
13,14,Pinet,Florence,FRA,127.00,,14. 24.00,,10. 34.00,,,,13. 26.00,,7. 43.00,2006,lead,WOMEN,5245
14,15,Sarkany,Muriel,BEL,119.00,,,,,,,,8. 40.00,3. 65.00,19. 14.00,2006,lead,WOMEN,1272
15,16,Cufar,Martina,SLO,115.00,12. 28.00,18. 16.00,,11. 31.00,,,,,20. 12.00,12. 28.00,2006,lead,WOMEN,1236
16,17,Caprez,Nina,SUI,98.00,15. 22.00,18. 16.00,,13. 26.00,,,,21. 10.00,,14. 24.00,2006,lead,WOMEN,6376
17,17,Raffetseder,Gerda,AUT,98.00,,,,23. 8.00,12. 28.00,13. 26.00,13. 26.00,27. 4.00,25. 6.00,,2006,lead,WOMEN,1135
18,19,Schmid,Christina,SUI,86.00,,10. 34.00,,,,,,22. 9.00,10. 34.00,22. 9.00,2006,lead,WOMEN,3751
19,20,Harrington,Emily,USA,85.00,,,,,,,,10. 34.00,5. 51.00,,2006,lead,WOMEN,3673
20,21,Noguchi,Akiyo,JPN,81.00,,,,14. 24.00,,9. 37.00,,,16. 20.00,,2006,lead,WOMEN,6326
21,22,Anda Villanueva,Irati,ESP,76.00,18. 16.00,12. 28.00,,12. 28.00,,,,27. 4.00,,,2006,lead,WOMEN,2699
22,23,Shalagina,Olga,UKR,74.00,,,,,,,,11. 31.00,7. 43.00,,2006,lead,WOMEN,3268
23,24,Minoret,Chloé,FRA,72.00,,,,,,,,9. 37.00,27. 4.00,11. 31.00,2006,lead,WOMEN,1063
24,25,Graftiaux,Chloé,BEL,69.00,,,,,,,,19. 14.00,,4. 55.00,2006,lead,WOMEN,5259
25,26,Li,Chunhua,CHN,68.00,,,15. 22.00,,,15. 22.00,14. 24.00,,,,2006,lead,WOMEN,4962
26,26,Rajfova,Silvie,CZE,68.00,21. 10.00,,,18. 16.00,,,,17. 18.00,14. 24.00,,2006,lead,WOMEN,6075
27,28,KIM,Jain,KOR,67.00,,,,,,5. 51.00,,18. 16.00,,,2006,lead,WOMEN,5983
28,29,Malamid,Evgeniia,RUS,65.00,9. 37.00,,,,,,,12. 28.00,,,2006,lead,WOMEN,5147
29,30,Liu,Hiu Ying,HKG,62.00,,,18. 16.00,,13. 26.00,16. 20.00,,,,,2006,lead,WOMEN,1145
30,31,Eyer,Alexandra,SUI,60.00,13. 26.00,10. 34.00,,,,,,,,,2006,lead,WOMEN,991
31,32,Forestier,Monique,AUS,58.00,,,,,17. 18.00,17. 18.00,15. 22.00,,,,2006,lead,WOMEN,5751
32,33,Huang,Li-Ping,CHN,57.00,,,13. 26.00,,,,11. 31.00,,,,2006,lead,WOMEN,4947
33,34,Tan,"Li Ying, Suzanna",SGP,54.00,,,,,14. 24.00,20. 12.00,17. 18.00,,,,2006,lead,WOMEN,5754
34,35,Zijlstra,Vera,NED,52.00,26. 5.00,,,15. 22.00,,,,24. 7.00,,17. 18.00,2006,lead,WOMEN,5641
35,36,Cardoso,Janine,BRA,44.00,27. 4.00,20. 12.00,,16. 20.00,,,,,,23. 8.00,2006,lead,WOMEN,3046
36,37,Ostapenko,Olena,UKR,42.00,23. 8.00,26. 5.00,,22. 9.00,,,,27. 4.00,18. 16.00,,2006,lead,WOMEN,1015
37,37,Stendal,Linn Karin,NOR,42.00,17. 18.00,16. 20.00,,,,,,,,27. 4.00,2006,lead,WOMEN,1224
38,39,He,Cuifang,CHN,38.00,,,17. 18.00,,,,16. 20.00,,,,2006,lead,WOMEN,6769
39,40,Ociepka,Kinga,POL,37.00,,,,,,,,15. 22.00,26. 5.00,21. 10.00,2006,lead,WOMEN,3484
40,41,Shin,Woon-Seon,KOR,34.00,,,,,16. 20.00,19. 14.00,,,,,2006,lead,WOMEN,7760
41,41,schöpf,Bettina,AUT,34.00,,,,,,,,,,10. 34.00,2006,lead,WOMEN,1042
42,43,Sandoz,Mélanie,FRA,32.00,,17. 18.00,,19. 14.00,,,,,,,2006,lead,WOMEN,6220
43,44,Graftiaux,Alix,BEL,26.00,,,,,,,,,,13. 26.00,2006,lead,WOMEN,3492
44,44,Ouyang,Hui,CHN,26.00,,,21. 10.00,,,,18. 16.00,,,,2006,lead,WOMEN,7881
45,46,Labanu,Ilmawaty,INA,24.00,,,,,,14. 24.00,,,,,2006,lead,WOMEN,6777
46,46,Shagina,Liubov,RUS,24.00,,,14. 24.00,,,,,,,,2006,lead,WOMEN,7233
47,48,Knoche,Lisa,GER,22.00,,,,,,,,,15. 22.00,,2006,lead,WOMEN,5455
48,48,Liang,Liuying,CHN,22.00,,,20. 12.00,,,,21. 10.00,,,,2006,lead,WOMEN,7882
49,48,Matthews,Sarah,AUS,22.00,,,,,15. 22.00,,,,,,2006,lead,WOMEN,7075
50,51,Conan,Fanny,FRA,20.00,,,,,,,,16. 20.00,,,2006,lead,WOMEN,5172
51,51,Gosar,Asja,SLO,20.00,16. 20.00,,,,,,,,,,2006,lead,WOMEN,5899
52,51,Polekhina,Kseniya,RUS,20.00,,,16. 20.00,,,,,,,,2006,lead,WOMEN,7235
53,54,Shen,Nee Ooi,MAS,19.00,,,,,18. 16.00,28. 3.00,,,,,2006,lead,WOMEN,7858
54,55,Goh,Tan Leng,SGP,17.00,,,,,21. 10.00,24. 7.00,,,,,2006,lead,WOMEN,4967
55,55,Mohd Drus,Salfarina,MAS,17.00,,,,,20. 12.00,26. 5.00,,,,,2006,lead,WOMEN,7859
56,57,Ariesandhi,Triana,INA,16.00,,,,,,18. 16.00,,,,,2006,lead,WOMEN,7945
57,57,Lum,Yuet Mei,MAS,16.00,,,,,19. 14.00,29. 2.00,,,,,2006,lead,WOMEN,7857
58,59,Korolkova,Ekaterina,RUS,14.00,,,19. 14.00,,,,,,,,2006,lead,WOMEN,3277
59,59,Schranz,Christine,AUT,14.00,19. 14.00,,,,,,,,,,2006,lead,WOMEN,5629
60,59,Winter,Julia,GER,14.00,,,,,,,,,19. 14.00,,2006,lead,WOMEN,3458
61,59,Zhang,Dan,CHN,14.00,,,,,,,19. 14.00,,,,2006,lead,WOMEN,7324
62,63,KIM,IN KYOUNG,KOR,12.00,,,,,,,20. 12.00,,,,2006,lead,WOMEN,6791
63,64,Harnisch,Martina,AUT,11.00,24. 7.00,,,,,,,27. 4.00,,,2006,lead,WOMEN,5631
64,64,Middleton,Jacqui,AUS,11.00,30. 1.00,21. 10.00,,,,,,,,,2006,lead,WOMEN,7423
65,64,Modrzejewska,Agata,POL,11.00,,,,,,,,27. 4.00,,24. 7.00,2006,lead,WOMEN,6677
66,67,Kryvonis,Olena,UKR,10.00,,,,,,,,,21. 10.00,,2006,lead,WOMEN,1393
67,67,Wilda,Baco Achmad,INA,10.00,,,,,,21. 10.00,,,,,2006,lead,WOMEN,6789
68,69,Chong,"Leong Hong, Beatrix",SGP,9.00,,,,,,22. 9.00,,,,,2006,lead,WOMEN,5756
69,69,Midtboe,Hannah,NOR,9.00,22. 9.00,,,,,,,,,,2006,lead,WOMEN,6522
70,69,Vathsala,M. N.,IND,9.00,,,,,22. 9.00,,,,,,2006,lead,WOMEN,5977
71,72,Allen,Karen,AUS,8.00,,23. 8.00,,,,,,,,,2006,lead,WOMEN,7658
72,72,Creamer,Lucy,GBR,8.00,,,,,,,,,23. 8.00,,2006,lead,WOMEN,1205
73,72,Januel,Caroline,FRA,8.00,,,,,,,,23. 8.00,,,2006,lead,WOMEN,5632
74,72,Robles,Kristine Marie,PHI,8.00,,,,,,23. 8.00,,,,,2006,lead,WOMEN,6399
75,72,Zainal,Rosharyani,MAS,8.00,,,,,23. 8.00,,,,,,2006,lead,WOMEN,7978
76,77,Chevrier,Anne-Laure,FRA,7.00,,,,,,,,24. 7.00,,,2006,lead,WOMEN,5636
77,77,Madate,Tomoko,JPN,7.00,,,,24. 7.00,,,,,,,2006,lead,WOMEN,5864
78,79,Brumagne,Mathilde,BEL,6.00,,,,,,,,,,25. 6.00,2006,lead,WOMEN,6076
79,79,Kim,Hyun-Jung,KOR,6.00,,,,25. 6.00,,,,,,,2006,lead,WOMEN,1143
80,79,Schranz,Barbara,AUT,6.00,25. 6.00,,,,,,,,,,2006,lead,WOMEN,2819
81,79,Siti,Robiah Adawiyan,INA,6.00,,,,,,25. 6.00,,,,,2006,lead,WOMEN,7946
82,79,Valsecchi,Manuela,ITA,6.00,,25. 6.00,,,,,,,,,2006,lead,WOMEN,7431
83,84,Alekseeva,Kseniia,RUS,5.00,,,,,,,,26. 5.00,,,2006,lead,WOMEN,5149
84,84,Karadağ,Evren,TUR,5.00,,,,26. 5.00,,,,,,,2006,lead,WOMEN,7752
85,84,Mittelman,Irina,GER,5.00,,,,,,,,,,26. 5.00,2006,lead,WOMEN,5587
86,87,Cintalova,Zuzana,SVK,4.00,27. 4.00,,,,,,,,,,2006,lead,WOMEN,2770
87,87,Moosburger,Miriam,AUT,4.00,,,,,,,,27. 4.00,,,2006,lead,WOMEN,3138
88,87,Policard,Michaelle,FRA,4.00,,,,,,,,27. 4.00,,,2006,lead,WOMEN,6136
89,87,Ruchka,Natalia,UKR,4.00,,,,27. 4.00,,,,,,,2006,lead,WOMEN,7956
90,87,Stergiakou,Chrysa,GRE,4.00,,27. 4.00,,,,,,,,,2006,lead,WOMEN,5262
91,87,Uji,Ayu Sukmandiri,INA,4.00,,,,,,27. 4.00,,,,,2006,lead,WOMEN,7947
92,87,Van Winckel,Valentine,BEL,4.00,,,,,,,,,,27. 4.00,2006,lead,WOMEN,5687
93,94,Kerasidou,Stella,GRE,3.00,,28. 3.00,,,,,,,,,2006,lead,WOMEN,8232
94,94,Neumärker,Luisa,GER,3.00,,,,,,,,,28. 3.00,,2006,lead,WOMEN,6065
95,94,Ozver,Gurgel,TUR,3.00,,,,28. 3.00,,,,,,,2006,lead,WOMEN,8021
96,97,Kudrova,Nelly,CZE,2.00,,,,,,,,,29. 2.00,,2006,lead,WOMEN,6593
97,97,Piola,Anouk,SUI,2.00,,,,,,,,,,29. 2.00,2006,lead,WOMEN,3888
98,97,Twyford,Emma,GBR,2.00,29. 2.00,,,,,,,,,,2006,lead,WOMEN,3494
99,97,Yarsur,Duygu,TUR,2.00,,,,29. 2.00,,,,,,,2006,lead,WOMEN,8020
100,101,Benetti,Lisa,ITA,1.00,,,,,,,,,,30. 1.00,2006,lead,WOMEN,1203
101,101,Wurm,Juliane,GER,1.00,,,,,,,,,30. 1.00,,2006,lead,WOMEN,6064
102,101,Xiang Lin,Soh,SGP,1.00,,,,,,30. 1.00,,,,,2006,lead,WOMEN,5753
