,Rank,Name,Name.1,Nation,Points,455,453,450,446,444,441,439,2002,event,gender,athlete_id
20,21,Schultz,Annatina,SUI,90.00,,,21. 10.00,,14. 24.00,10. 34.00,15. 22.00,2002,lead,WOMEN,3870
21,22,Nilsson,Ingela,SWE,84.00,22. 9.00,,13. 26.00,17. 18.00,15. 22.00,25. 6.00,28. 3.00,2002,lead,WOMEN,1162
22,23,Iakovleva,Olga,RUS,74.00,,,,10. 34.00,22. 9.00,11. 31.00,,2002,lead,WOMEN,2807
23,24,Iovane,Luisa,ITA,70.00,24. 7.00,24. 7.00,,24. 7.00,20. 12.00,,9. 37.00,2002,lead,WOMEN,1213
24,25,Benetti,Lisa,ITA,57.00,20. 12.00,20. 12.00,,23. 8.00,,22. 9.00,18. 16.00,2002,lead,WOMEN,1203
25,26,Bodet,Stéphanie,FRA,54.00,16. 20.00,10. 34.00,,,,,,2002,lead,WOMEN,1335
26,27,Go,Mi-Sun,KOR,46.00,9. 37.00,,,22. 9.00,,,,2002,lead,WOMEN,1273
27,28,Abramchuk,Yulia,RUS,38.00,27. 4.00,,,21. 10.00,,14. 24.00,,2002,lead,WOMEN,2736
28,28,Ostapenko,Olena,UKR,38.00,28. 3.00,23. 8.00,,27. 4.00,,19. 14.00,22. 9.00,2002,lead,WOMEN,1015
29,30,Lage,Lisa,USA,36.00,,26. 5.00,22. 9.00,19. 14.00,27. 4.00,27. 4.00,,2002,lead,WOMEN,3319
30,31,Nagakai,Hoshiko,JPN,34.00,,,10. 34.00,,,,,2002,lead,WOMEN,3362
31,32,Chereshneva,Venera,RUS,32.00,25. 6.00,,,,,13. 26.00,,2002,lead,WOMEN,1391
32,33,Franko,Lucka,SLO,29.00,18. 16.00,25. 6.00,,28. 3.00,,,27. 4.00,2002,lead,WOMEN,2745
33,34,Aguirre,Leire,ESP,26.00,,,,13. 26.00,,,,2002,lead,WOMEN,1202
34,35,Perlova,Nataliya,UKR,23.00,,,,,24. 7.00,24. 7.00,22. 9.00,2002,lead,WOMEN,1299
35,36,Ciavaldini,Caroline,FRA,22.00,,15. 22.00,,,,,,2002,lead,WOMEN,5183
36,36,Liu,Hiu Ying,HKG,22.00,,,15. 22.00,,,,,2002,lead,WOMEN,1145
37,38,Balakireva,Alexandra,RUS,20.00,,,,,,16. 20.00,,2002,lead,WOMEN,3315
38,38,Forestier,Monique,AUS,20.00,,,16. 20.00,,,,,2002,lead,WOMEN,5751
39,40,Seeger,Sarah,GER,19.00,,21. 10.00,,,,,22. 9.00,2002,lead,WOMEN,1820
40,41,Huang,Li-Ping,CHN,18.00,,,17. 18.00,,,,,2002,lead,WOMEN,4947
41,42,Huang,Bai-Le,TPE,16.00,,,18. 16.00,,,,,2002,lead,WOMEN,4937
42,42,Martin,Delphine,FRA,16.00,,,,,,,18. 16.00,2002,lead,WOMEN,1078
43,44,Li,Chunhua,CHN,14.00,,,19. 14.00,,,,,2002,lead,WOMEN,4962
44,44,Moosburger,Miriam,AUT,14.00,,,,,19. 14.00,,,2002,lead,WOMEN,3138
45,46,Rymcha,Natalia,RUS,12.00,,,,,,20. 12.00,,2002,lead,WOMEN,3276
46,46,Theroux,Corinne,FRA,12.00,,,,20. 12.00,,,,2002,lead,WOMEN,1070
47,48,Kim,Hyun-Jung,KOR,10.00,21. 10.00,,,,,,,2002,lead,WOMEN,1143
48,48,Korolkova,Ekaterina,RUS,10.00,,,,,,21. 10.00,,2002,lead,WOMEN,3277
49,50,Choi,Shun-Yuk,HKG,8.00,,,23. 8.00,,,,,2002,lead,WOMEN,1337
50,50,Nagyova,Sylvie,CZE,8.00,,,,,23. 8.00,,,2002,lead,WOMEN,3546
51,50,Nesterova,Natalia,RUS,8.00,,,,,,23. 8.00,,2002,lead,WOMEN,1296
52,50,Stendal,Linn Karin,NOR,8.00,,,,30. 1.00,29. 2.00,26. 5.00,,2002,lead,WOMEN,1224
53,50,Zeilemaker,Monica,NED,8.00,30. 1.00,,,,26. 5.00,,29. 2.00,2002,lead,WOMEN,1285
54,55,Muñoz,Eva Elez,ESP,7.00,,26. 5.00,,,,,29. 2.00,2002,lead,WOMEN,5558
55,55,Yuniar,Yuyun,INA,7.00,,,24. 7.00,,,,,2002,lead,WOMEN,4951
56,57,Hawke,Emma,NZL,6.00,,,25. 6.00,,,,,2002,lead,WOMEN,1092
57,57,Knabl,Sabine,AUT,6.00,,,,,25. 6.00,,,2002,lead,WOMEN,3136
58,59,Creamer,Lucy,GBR,5.00,,26. 5.00,,,,,,2002,lead,WOMEN,1205
59,59,Endo,Yuka,JPN,5.00,,,26. 5.00,,,,,2002,lead,WOMEN,5325
60,59,Etter,Susanne,SUI,5.00,,26. 5.00,,,,,,2002,lead,WOMEN,3853
61,59,Mathieu,Claire,FRA,5.00,,,,26. 5.00,,,,2002,lead,WOMEN,1059
62,63,Bacher,Sabine,AUT,4.00,,,,,27. 4.00,,,2002,lead,WOMEN,2821
63,63,Hendrawati,Agung Ethi,INA,4.00,,,27. 4.00,,,,,2002,lead,WOMEN,4950
64,65,Chong,Beatrix,SGP,3.00,,,28. 3.00,,,,,2002,lead,WOMEN,5752
65,65,Laszlo,Helene Belle,NOR,3.00,,,,,,28. 3.00,,2002,lead,WOMEN,1144
66,65,Novikova,Natalia,RUS,3.00,28. 3.00,,,,,,,2002,lead,WOMEN,2848
67,68,Kotasova-Kostruhova,Vera,CZE,2.00,,,,29. 2.00,,,,2002,lead,WOMEN,1389
68,68,Lesaca,Lissa,PHI,2.00,,,29. 2.00,,,,,2002,lead,WOMEN,4955
69,68,Louis,Stéphanie,SUI,2.00,,,,,,,29. 2.00,2002,lead,WOMEN,2716
70,68,Saulevich,Olesya,RUS,2.00,,,,,,29. 2.00,,2002,lead,WOMEN,2712
71,68,Takezawa,Hiroe,JPN,2.00,,,,,29. 2.00,,,2002,lead,WOMEN,5614
72,73,Goh,Tan Leng,SGP,1.00,,,30. 1.00,,,,,2002,lead,WOMEN,4967
73,73,Trnkova,Lenka,CZE,1.00,,30. 1.00,,,,,,2002,lead,WOMEN,1216
74,73,Xiang Lin,Soh,SGP,1.00,,,30. 1.00,,,,,2002,lead,WOMEN,5753
