,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
12,13,Martin,Delphine,FRA,225.00,10. 34.00,,14. 24.00,11. 31.00,7. 43.00,17. 18.00,16. 20.00,4. 55.00,,17. (18.00),2003,lead,WOMEN,1078
13,14,Pouget,Emilie,FRA,201.00,,,,,,16. 20.00,8. 40.00,14. 24.00,2. 80.00,9. 37.00,2003,lead,WOMEN,2805
14,15,Franko,Lucka,SLO,181.00,6. 47.00,,9. 37.00,10. 34.00,12. 28.00,21. 10.00,,30. 1.00,,14. 24.00,2003,lead,WOMEN,2745
15,16,Kysilkova,Tereza,CZE,177.00,19. 14.00,13. 26.00,,20. 12.00,13. 26.00,12. 28.00,11. 31.00,8. 40.00,,27. (4.00),2003,lead,WOMEN,5166
16,17,Vidmar,Katja,SLO,170.00,13. 26.00,,12. 28.00,12. 28.00,10. 34.00,19. 14.00,14. 24.00,18. 16.00,,,2003,lead,WOMEN,3137
17,18,Raffetseder,Gerda,AUT,165.00,17. 18.00,9. 37.00,18. 16.00,,13. 26.00,26. 5.00,26. (5.00),26. (5.00),7. 43.00,16. 20.00,2003,lead,WOMEN,1135
18,19,Nilsson,Ingela,SWE,137.00,13. 26.00,10. 34.00,22. 9.00,24. (7.00),17. 18.00,22. 9.00,21. 10.00,,11. 31.00,24. (7.00),2003,lead,WOMEN,1162
19,20,Kosmac,Ana,SLO,120.00,23. 8.00,,14. 24.00,,16. 20.00,9. 37.00,,28. 3.00,,12. 28.00,2003,lead,WOMEN,5152
20,21,Hnizdilova,Sona,CZE,83.00,,19. 14.00,,27. 4.00,9. 37.00,,19. 14.00,,,19. 14.00,2003,lead,WOMEN,3141
21,22,Bibik,Olga,RUS,81.00,,,,,,,,18. 16.00,3. 65.00,,2003,lead,WOMEN,1308
22,23,Ostapenko,Olena,UKR,74.00,,,,,23. 8.00,13. 26.00,,,8. 40.00,,2003,lead,WOMEN,1015
23,24,Saurwein,Katharina,AUT,73.00,13. 26.00,,6. 47.00,,,,,,,,2003,lead,WOMEN,5244
24,25,Iakovleva,Olga,RUS,67.00,,,,,,,,18. 16.00,5. 51.00,,2003,lead,WOMEN,2807
25,26,Stendal,Linn Karin,NOR,65.00,13. 26.00,,20. 12.00,22. 9.00,,,,,18. 16.00,29. 2.00,2003,lead,WOMEN,1224
26,27,Louis,Stéphanie,SUI,57.00,,,16. 20.00,16. 20.00,,18. 16.00,,,,30. 1.00,2003,lead,WOMEN,2716
27,28,Raveyre,Emmanuelle,FRA,55.00,20. 12.00,,,19. 14.00,,,24. 7.00,15. 22.00,,,2003,lead,WOMEN,5626
28,29,Cintalova,Zuzana,SVK,51.00,,,19. 14.00,,18. 16.00,,,26. 5.00,,18. 16.00,2003,lead,WOMEN,2770
29,30,Chereshneva,Venera,RUS,47.00,,,,,,,,,6. 47.00,,2003,lead,WOMEN,1391
30,31,Go,Mi-Sun,KOR,46.00,25. 6.00,8. 40.00,,,,,,,,,2003,lead,WOMEN,1273
31,31,Huang,Li-Ping,CHN,46.00,,14. 24.00,,18. 16.00,,25. 6.00,,,,,2003,lead,WOMEN,4947
32,33,Dufraisse,Alizée,FRA,40.00,,,,8. 40.00,,,,,,,2003,lead,WOMEN,6219
33,33,Podgorbounskikh,Zosia,RUS,40.00,,16. 20.00,,,,,,,16. 20.00,,2003,lead,WOMEN,1404
34,35,Ruh,Nadine,GER,38.00,,,,,,,15. 22.00,18. 16.00,,,2003,lead,WOMEN,2356
35,36,Creamer,Lucy,GBR,37.00,9. 37.00,,,,,,,,,,2003,lead,WOMEN,1205
36,36,Pinet,Florence,FRA,37.00,,,,9. 37.00,,,,,,,2003,lead,WOMEN,5245
37,36,Sansoz,Liv,FRA,37.00,,,,,,,,9. 37.00,,,2003,lead,WOMEN,1222
