,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
62,60,Lalov,Boyko,BUL,10.00,,,,,,,,,21. 10.00,2005,lead,MEN
63,60,Pringle,Ethan,USA,10.00,,,,,,21. 10.00,,,,2005,lead,MEN
64,60,Son,Sangwon,KOR,10.00,,25. 6.00,,,27. 4.00,,,,,2005,lead,MEN
65,66,Brenna,Cristian,ITA,9.00,,,,,,,,22. 9.00,,2005,lead,MEN
66,66,Jubes Angarita,Marco Antonio,ESP,9.00,,,,22. 9.00,,,,,,2005,lead,MEN
67,66,Low,"Kien Seong, Francis",MAS,9.00,,,22. 9.00,,,,,,,2005,lead,MEN
68,66,Min,Hyunbin,KOR,9.00,,,,,22. 9.00,,,,,2005,lead,MEN
69,70,Chang,Yeu-Shiang,TPE,8.00,,,23. 8.00,,,,,,,2005,lead,MEN
70,70,Ten Sijthoff,Casper,NED,8.00,,,,,,,,23. 8.00,,2005,lead,MEN
71,72,Guerimand,Flavien,FRA,7.00,,,,24. 7.00,,,,,,2005,lead,MEN
72,72,Jung,Daniel,GER,7.00,24. 7.00,,,,,,,,,2005,lead,MEN
73,72,Kryvosheytsev,Yevgen,UKR,7.00,,24. 7.00,,,,,,,,2005,lead,MEN
74,72,Laurent,David,FRA,7.00,,,,,24. 7.00,,,,,2005,lead,MEN
75,72,Lok,Chi-Wai,HKG,7.00,,,24. 7.00,,,,,,,2005,lead,MEN
76,72,Pagnoux,Romain,FRA,7.00,,28. 3.00,,,27. 4.00,,,,,2005,lead,MEN
77,72,Perez,Luis Felix,ESP,7.00,,,,24. 7.00,,,,,,2005,lead,MEN
78,79,Abu Hassan,Khairul Hafiz,MAS,6.00,,,25. 6.00,,,,,,,2005,lead,MEN
79,79,Lazarov,Blagovest,BUL,6.00,,,,,,,,,25. 6.00,2005,lead,MEN
80,79,Neumärker,Felix,GER,6.00,25. 6.00,,,,,,,,,2005,lead,MEN
81,79,Wszolek,Marcin,POL,6.00,,,,,,,25. 6.00,,,2005,lead,MEN
82,83,Avramov,Stefan,BUL,5.00,,,,,,,,,26. 5.00,2005,lead,MEN
83,83,Huang,Kuo-Wei,TPE,5.00,,,26. 5.00,,,,,,,2005,lead,MEN
84,83,Högström,Magnus,SWE,5.00,,26. 5.00,,,,,,,,2005,lead,MEN
85,83,Pintar,Matevz,SLO,5.00,26. 5.00,,,,,,,,,2005,lead,MEN
86,87,Kim,Jaha,KOR,4.00,,,,,27. 4.00,,,,,2005,lead,MEN
87,87,Uzair,Muhamad,SGP,4.00,,,27. 4.00,,,,,,,2005,lead,MEN
88,89,Gnerro,Alberto,ITA,3.00,,,,,,28. 3.00,,,,2005,lead,MEN
89,89,Gusak,Igor,UKR,3.00,,28. 3.00,,,,,,,,2005,lead,MEN
90,89,Kuess,Mario,AUT,3.00,28. 3.00,,,,,,,,,2005,lead,MEN
91,89,Nastrog,Nicolas,FRA,3.00,,28. 3.00,,,,,,,,2005,lead,MEN
92,89,Reis,Jürgen,AUT,3.00,,,,28. 3.00,,,,,,2005,lead,MEN
93,89,Schmid,Thomas,SUI,3.00,,,,,,,,28. 3.00,,2005,lead,MEN
94,95,FUERTES OLLES,Daniel,ESP,2.00,,,,29. 2.00,,,,,,2005,lead,MEN
95,95,Tsuiki,Takaaki,JPN,2.00,29. 2.00,,,,,,,,,2005,lead,MEN
96,97,Berezoski,André,BRA,1.00,,,,,,30. 1.00,,,,2005,lead,MEN
97,97,Moreno De Los Huerto,Daniel,ESP,1.00,,,,30. 1.00,,,,,,2005,lead,MEN
98,97,Tishchenko,Andriy,UKR,1.00,,,,,,,,,30. 1.00,2005,lead,MEN
99,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,2005,lead,MEN
