,Rank,Name,Name.1,Nation,Points,1307,1334,1335,1332,1331,1330,1343,1342,1324,1323,2011,event,gender,athlete_id
14,15,Brumagne,Mathilde,BEL,146.00,6. 47.00,4. 55.00,24. 7.00,9. 37.00,,,,,,,2011,lead,WOMEN,6076
15,16,DiGiulian,Sasha,USA,130.00,,,,,7. 43.00,6. 47.00,,,,8. 40.00,2011,lead,WOMEN,7939
16,17,Dufraisse,Alizée,FRA,127.00,10. 34.00,16. 20.00,9. 37.00,,,18. 16.00,,,20. 12.00,23. 8.00,2011,lead,WOMEN,6219
17,18,Röck,Magdalena,AUT,124.00,,,7. 43.00,,,4. 55.00,,,,13. 26.00,2011,lead,WOMEN,8955
18,19,Janicot,Hélène,FRA,108.00,12. 24.00,,10. 34.00,,,17. 18.00,,,12. 28.00,27. 4.00,2011,lead,WOMEN,9077
19,20,Noguchi,Akiyo,JPN,98.00,,,,,6. 47.00,5. 51.00,,,,,2011,lead,WOMEN,6326
20,21,SA,Sol,KOR,88.00,17. 18.00,19. 14.00,,13. 26.00,,27. 4.00,,,19. 14.00,20. 12.00,2011,lead,WOMEN,9266
21,22,Thévenet,Marine,FRA,66.00,,,18. 16.00,,,,,,18. 16.00,10. 34.00,2011,lead,WOMEN,6514
22,23,Eyer,Alexandra,SUI,59.00,,,,,,21. 10.00,,,11. 31.00,17. 18.00,2011,lead,WOMEN,991
23,24,Serrière,Julia,FRA,53.00,,,15. 22.00,,,13. 26.00,,,,26. 5.00,2011,lead,WOMEN,8762
24,25,Stotz,Rebekka,SUI,49.00,,20. 12.00,26. 5.00,,,20. 12.00,,,16. 20.00,,2011,lead,WOMEN,8878
25,26,Lee,Hung Ying,TPE,48.00,,,,,,,14. 24.00,14. 24.00,,,2011,lead,WOMEN,8122
26,27,Stütz,Christina,AUT,47.00,21. 10.00,21. 10.00,30. 1.00,,,26. 5.00,,,24. 7.00,19. 14.00,2011,lead,WOMEN,7077
27,27,Wilda,Baco Achmad,INA,47.00,,,,,,,11. 31.00,18. 16.00,,,2011,lead,WOMEN,6789
28,29,RENQING,LaMu,CHN,46.00,,,,,,,16. 20.00,13. 26.00,,,2011,lead,WOMEN,9191
29,30,Gosar,Asja,SLO,44.00,19. 14.00,22. 9.00,28. 3.00,,,,,,17. 18.00,,2011,lead,WOMEN,5899
30,30,Sukmandiri,Uji Ayu,INA,44.00,,,,,,,15. 22.00,15. 22.00,,,2011,lead,WOMEN,10877
31,32,Becerra,Mathilde,FRA,43.00,12. 24.00,,20. 12.00,,,24. 7.00,,,,,2011,lead,WOMEN,9317
32,32,JIANG,Rong,CHN,43.00,25. 6.00,,,,,,12. 28.00,22. 9.00,,,2011,lead,WOMEN,9190
33,34,Fakhritdinova,Dinara,RUS,42.00,,13. 26.00,,,,,,,,18. 16.00,2011,lead,WOMEN,7576
34,35,PAN,Xuhua,CHN,38.00,,,,,,,21. 10.00,12. 28.00,,,2011,lead,WOMEN,8787
35,36,Choong,Katherine,SUI,37.00,,,,,,22. 9.00,,,13. 26.00,29. 2.00,2011,lead,WOMEN,6457
36,37,RenZeng,WangMu,CHN,36.00,,,,,,,13. 26.00,21. 10.00,,,2011,lead,WOMEN,10089
37,37,Song,Hannarai,KOR,36.00,,,,,,,17. 18.00,17. 18.00,,,2011,lead,WOMEN,9196
38,39,Rude,Chelsea,USA,31.00,,,,,11. 31.00,,,,,,2011,lead,WOMEN,5052
39,39,Terenteva,Galina,RUS,31.00,,18. 16.00,,,,,,,25. 6.00,22. 9.00,2011,lead,WOMEN,8413
40,41,Avezou,Cecile,FRA,30.00,,,14. 24.00,,,,,,,25. 6.00,2011,lead,WOMEN,1055
41,41,Syarifah,Abdul Rohma,INA,30.00,,,,,,,18. 16.00,19. 14.00,,,2011,lead,WOMEN,10731
42,43,Ulzhabayeva,Tamara,KAZ,29.00,,,,,,,22. 9.00,16. 20.00,,,2011,lead,WOMEN,5151
43,44,Ota,Risa,JPN,28.00,,,,,12. 28.00,,,,,,2011,lead,WOMEN,9212
44,45,Claassen,Paige,USA,26.00,,,,,13. 26.00,,,,,,2011,lead,WOMEN,7292
45,45,Michelard,Laura,FRA,26.00,,,13. 26.00,,,,,,,,2011,lead,WOMEN,9078
46,47,Shalagina,Olga,UKR,24.00,18. 16.00,23. 8.00,,,,,,,,,2011,lead,WOMEN,3268
47,48,Miller,Delaney,USA,22.00,,,,,15. 22.00,,,,,,2011,lead,WOMEN,9673
48,49,Johnson,Alex,USA,20.00,,,,,16. 20.00,,,,,,2011,lead,WOMEN,6325
49,49,Le Neve,Melissa,FRA,20.00,,,,,,16. 20.00,,,,,2011,lead,WOMEN,9074
50,49,Lin,Hsiu-Ju,TPE,20.00,,,,,,,23. 8.00,20. 12.00,,,2011,lead,WOMEN,9262
51,49,gesang,wangmu,CHN,20.00,,,,,,,20. 12.00,23. 8.00,,,2011,lead,WOMEN,10102
52,53,Sandbu,Maria Davies,NOR,18.00,,17. 18.00,,,,,,,,,2011,lead,WOMEN,9439
53,53,Saurwein,Katharina,AUT,18.00,,,,,17. 18.00,,,,,,2011,lead,WOMEN,5244
54,53,Sigrist,Manuela,SUI,18.00,,25. 6.00,25. 6.00,,,25. 6.00,,,,,2011,lead,WOMEN,6366
55,56,Ostapenko,Olena,UKR,17.00,22. 9.00,,,,,,,,23. 8.00,,2011,lead,WOMEN,1015
56,56,van Bergen,Nikki,NED,17.00,,24. 7.00,22. 9.00,,,30. 1.00,,,,,2011,lead,WOMEN,8196
57,58,Fergeau,Celine,FRA,16.00,,,19. 14.00,,,,,,30. 1.00,30. 1.00,2011,lead,WOMEN,7178
58,58,Kiersch,Michaela,USA,16.00,,,,,18. 16.00,,,,,,2011,lead,WOMEN,9180
59,60,Kobayashi,Yuka,JPN,15.00,,,,,,,,,26. 5.00,21. 10.00,2011,lead,WOMEN,5254
60,61,Mohd Drus,Salfarina,MAS,14.00,,,,,,,19. 14.00,,,,2011,lead,WOMEN,7859
61,61,Sniezek,Audrey,USA,14.00,,,,,19. 14.00,,,,,,2011,lead,WOMEN,9881
62,63,Onoe,Aya,JPN,12.00,20. 12.00,,,,,,,,,,2011,lead,WOMEN,9731
63,63,Yip,Alannah,CAN,12.00,,,,,20. 12.00,,,,,,2011,lead,WOMEN,8590
64,65,Sustersic,Tina,SLO,11.00,,29. 1.00,,,,,,,21. 10.00,,2011,lead,WOMEN,8302
65,66,Harrington,Emily,USA,10.00,,,,,21. 10.00,,,,,,2011,lead,WOMEN,3673
66,67,Hensley,Tiffany,USA,9.00,,,,,22. 9.00,,,,,,2011,lead,WOMEN,7290
67,68,Kelleway,Maegan,CAN,8.00,,,,,23. 8.00,,,,,,2011,lead,WOMEN,9142
68,68,Lopez,Daniela,VEN,8.00,23. 8.00,,,,,,,,,,2011,lead,WOMEN,8168
69,68,Söderlund,Matilda,SWE,8.00,,,23. 8.00,,,,,,,,2011,lead,WOMEN,7661
70,71,Hafsaas,Tina Johnsen,NOR,7.00,,,,,,,,,,24. 7.00,2011,lead,WOMEN,9239
71,71,Medvedieva,Olga,UKR,7.00,24. 7.00,,,,,,,,,,2011,lead,WOMEN,8257
72,71,Metcalf,Amelia,USA,7.00,,,,,24. 7.00,,,,,,2011,lead,WOMEN,10136
73,74,Dorey,Alyrene,USA,6.00,,,,,25. 6.00,,,,,,2011,lead,WOMEN,9015
74,74,Schmid,Christina,SUI,6.00,,,,,,28. 3.00,,,,28. 3.00,2011,lead,WOMEN,3751
75,74,Traber,Stephanie,FRA,6.00,,,29. 2.00,,,,,,27. 4.00,,2011,lead,WOMEN,6517
76,77,Sutton,Amanda,USA,5.00,,,,,26. 5.00,,,,,,2011,lead,WOMEN,7928
77,77,Svobodova,Tereza,CZE,5.00,,26. 5.00,,,,,,,,,2011,lead,WOMEN,9502
78,79,Bibik,Olga,RUS,4.00,,27. 4.00,,,,,,,,,2011,lead,WOMEN,1308
79,79,Cartró Iriarte,María,ESP,4.00,27. 4.00,,,,,,,,,,2011,lead,WOMEN,10928
80,79,Rohner,Amanda,SUI,4.00,,,27. 4.00,,,,,,,,2011,lead,WOMEN,6072
81,79,Stewart-Patterson,Alison,CAN,4.00,,,,,27. 4.00,,,,,,2011,lead,WOMEN,9140
82,83,Aleman Sobrino,Helena,ESP,3.00,,,,,,,,,28. 3.00,,2011,lead,WOMEN,9105
83,83,Goh,Tan Leng,SGP,3.00,,,,,28. 3.00,,,,,,2011,lead,WOMEN,4967
84,83,Lenardic,Jera,SLO,3.00,,28. 3.00,,,,,,,,,2011,lead,WOMEN,9471
85,86,Kremer,Valeri,ISR,2.00,,,,,,,,,29. 2.00,,2011,lead,WOMEN,8380
86,86,Nilwik,Rachel,NED,2.00,,,,,,29. 2.00,,,,,2011,lead,WOMEN,5251
87,88,Avoscan,Sara,ITA,1.00,,29. 1.00,,,,,,,,,2011,lead,WOMEN,8781
