,Rank,Name,Name.1,Nation,Points,7182,7179,7170,7149,7146,7185,7164,2018,event,gender,athlete_id
15,16,Narasaki,Tomoa,JPN,124.00,11. 31.00,,,,,12. 28.00,3. 65.00,2018,lead,MEN,10618
16,17,Samoilov,Fedir,UKR,116.00,9. 37.00,7. 43.00,11. 31.00,26. 5.00,,,,2018,lead,MEN,10788
17,18,Bailey,Sean,USA,103.00,,,,10. 34.00,10. 34.00,10. 34.00,30. 1.00,2018,lead,MEN,10775
18,19,Nakano,Minoru,JPN,99.00,22. 9.00,14. 24.00,15. 22.00,,16. 20.00,,14. 24.00,2018,lead,MEN,11718
19,20,Joannes,Thomas,FRA,94.00,,,19. 14.00,13. 26.00,6. 47.00,,24. 7.00,2018,lead,MEN,9758
20,21,Bosi,William,GBR,92.00,,,9. 37.00,,27. 4.00,5. 51.00,,2018,lead,MEN,10962
21,22,Shimizu,Hiroto,JPN,91.00,,11. 31.00,,16. 20.00,8. 40.00,,,2018,lead,MEN,11392
22,23,Puman,Hannes,SWE,87.00,,,27. 4.00,23. 8.00,14. 24.00,16. 20.00,11. 31.00,2018,lead,MEN,10365
23,24,Fujii,Kokoro,JPN,86.00,,,8. 40.00,,,20. 12.00,10. 34.00,2018,lead,MEN,10172
24,25,Timmermans,Loïc,BEL,80.00,12. 28.00,23. 8.00,,17. 18.00,,,13. 26.00,2018,lead,MEN,9492
25,26,McColl,Sean,CAN,77.00,,,5. 51.00,,13. 26.00,,,2018,lead,MEN,5089
26,27,Ogata,Yoshiyuki,JPN,74.00,13. 26.00,24. 7.00,14. 24.00,,,28. 3.00,19. 14.00,2018,lead,MEN,12501
27,28,Nakagami,Taito,JPN,73.00,25. 6.00,15. 22.00,22. 9.00,15. 22.00,19. 14.00,,,2018,lead,MEN,12431
28,29,Konecny,Jakub,CZE,62.00,,,18. 16.00,,22. 9.00,9. 37.00,,2018,lead,MEN,12528
29,30,Collin,Nicolas,BEL,61.00,10. 34.00,12. 27.00,,,,,,2018,lead,MEN,11024
30,31,Ondra,Adam,CZE,55.00,,,,4. 55.00,,,,2018,lead,MEN,8372
31,32,Flohé,Yannick,GER,48.00,,,,21. 10.00,,15. 22.00,18. 16.00,2018,lead,MEN,12604
32,32,Parma,Georg,AUT,48.00,17. 18.00,18. 16.00,28. 3.00,,29. 1.00,,21. 10.00,2018,lead,MEN,10625
33,34,Ginés López,Alberto,ESP,43.00,,,,7. 43.00,,,,2018,lead,MEN,56609
34,35,Qu,HaiBin,CHN,39.00,20. 12.00,12. 27.00,,,,,,2018,lead,MEN,8536
35,36,Harada,Kai,JPN,36.00,,,10. 34.00,,,,29. 2.00,2018,lead,MEN,14023
36,37,Potocar,Luka,SLO,32.00,,,,,28. 3.00,24. 7.00,15. 22.00,2018,lead,MEN,57874
37,38,Julian Puigblanque,Ramón,ESP,31.00,,,,,11. 31.00,,,2018,lead,MEN,3521
38,39,Halenke,Sebastian,GER,29.00,,,26. 5.00,,,14. 24.00,,2018,lead,MEN,9426
39,39,Pope,James,GBR,29.00,,,16. 20.00,28. 3.00,25. 6.00,,,2018,lead,MEN,10963
40,41,KIM,Hanwool,KOR,26.00,,,24. 7.00,,,21. 10.00,22. 9.00,2018,lead,MEN,8503
41,42,JonasMcRae,Elan,CAN,20.00,21. 10.00,21. 10.00,,,,,,2018,lead,MEN,10080
42,43,Dohi,Keita,JPN,18.00,,,,,,17. 18.00,,2018,lead,MEN,14032
43,43,Firnenburg,David,GER,18.00,,,17. 18.00,,,,,2018,lead,MEN,9425
44,45,Kuhnel,Martin,USA,16.00,24. 7.00,22. 9.00,,,,,,2018,lead,MEN,11608
45,45,Monchois,Nao,FRA,16.00,,,,,18. 16.00,,,2018,lead,MEN,12629
46,47,Hojer,Jan,GER,15.00,,,,24. 7.00,,,23. 8.00,2018,lead,MEN,6623
47,48,Piccolruaz,Michael,ITA,14.00,19. 14.00,,,,,,,2018,lead,MEN,9514
48,49,Avezou,Sam,FRA,12.00,,,,,24. 7.00,25. 5.00,,2018,lead,MEN,13228
49,49,Supper,Gautier,FRA,12.00,,,,,,,20. 12.00,2018,lead,MEN,6498
50,51,Shemla,Yuval,ISR,9.00,,,,,,22. 9.00,,2018,lead,MEN,11039
51,52,Brosler,John,USA,8.00,27. 4.00,27. 4.00,,,,,,2018,lead,MEN,11380
52,52,Cano Blazquez,Javier,ESP,8.00,,,,,,23. 8.00,,2018,lead,MEN,7999
53,52,Jo,Wan Jae,KOR,8.00,29. 2.00,25. 6.00,,,,,,2018,lead,MEN,74704
54,52,Lightner,Kai,USA,8.00,,,,,,29. 2.00,25. 6.00,2018,lead,MEN,12303
55,56,Verhoeven,Jorg,NED,6.00,,,,25. 6.00,,,,2018,lead,MEN,3115
56,57,GEFFROY,Romaric,FRA,5.00,,,,,26. 5.00,,,2018,lead,MEN,67094
57,57,Kruder,Jernej,SLO,5.00,,,,,,,26. 5.00,2018,lead,MEN,6488
58,57,Muhammad,Alfian,INA,5.00,,26. 5.00,,,,,,2018,lead,MEN,10688
59,57,Sapra,Rahul,CAN,5.00,26. 5.00,,,,,,,2018,lead,MEN,59038
60,61,Bergant,Martin,SLO,4.00,,,,,,,27. 4.00,2018,lead,MEN,9997
61,61,Doyle,Aidan,CAN,4.00,30. 1.00,28. 3.00,,,,,,2018,lead,MEN,60946
62,61,Ruana,Rudolph,USA,4.00,,,,27. 4.00,,,,2018,lead,MEN,12304
63,64,Barraclough,Brandon,CAN,3.00,28. 3.00,,,,,,,2018,lead,MEN,74554
64,64,Duval,Arsène,FRA,3.00,,,,,,,28. 3.00,2018,lead,MEN,12625
65,66,McArthur,Hamish,GBR,2.00,,,29. 2.00,,,,,2018,lead,MEN,57746
66,66,Preskar,Milan,SLO,2.00,,,,29. 2.00,,,,2018,lead,MEN,9996
67,66,Septo Wibowo Siburian,Pangeran,INA,2.00,,29. 2.00,,,,,,2018,lead,MEN,66103
68,69,Bonder,Jeremy,FRA,1.00,,,,,,30. 1.00,,2018,lead,MEN,9991
69,69,Jaelolo,Aspar,INA,1.00,,30. 1.00,,,,,,2018,lead,MEN,11470
70,69,Posch,Mathias,AUT,1.00,,,30. 1.00,,,,,2018,lead,MEN,12078
71,69,Vogt,Dimitri,SUI,1.00,,,,30. 1.00,,,,2018,lead,MEN,10326
