,Rank,Name,Name.1,Nation,Points,1460,1466,1459,1462,1464,1467,1451,2013,event,gender,athlete_id
12,13,Alipourshenazandifar,Reza,IRI,208.00,2. 80.00,1. 100.00,12. 28.00,,,,,2013,speed,MEN,10635
13,14,Sinitcyn,Sergei,RUS,187.00,9. 37.00,18. 16.00,7. 43.00,15. 22.00,7. 43.00,13. 26.00,,2013,speed,MEN,5141
14,15,Shikov,Aleksandr,RUS,133.00,6. 47.00,11. 31.00,17. 18.00,9. 37.00,,,,2013,speed,MEN,10856
15,16,Zinchenko,Volodymyr,UKR,119.00,19. 14.00,6. 47.00,20. 12.00,,15. 22.00,,14. 24.00,2013,speed,MEN,9659
16,17,Zhong,Lincai,CHN,80.00,17. 18.00,14. 24.00,,,16. 20.00,,17. 18.00,2013,speed,MEN,10234
17,18,LE COUSTER,Yoann,FRA,78.00,,,,21. 10.00,12. 28.00,8. 40.00,,2013,speed,MEN,8088
18,19,Choo,"Weng Khit, Adriel",SGP,66.00,14. 24.00,17. 18.00,14. 24.00,,,,,2013,speed,MEN,10945
19,20,Jaelolo,Aspar,INA,60.00,16. 20.00,8. 40.00,,,,,,2013,speed,MEN,11470
20,21,Suyushkin,Nikita,RUS,55.00,,,,4. 55.00,,,,2013,speed,MEN,8988
21,21,Vedenchuk,Viacheslav,RUS,55.00,23. 8.00,23. 8.00,18. 16.00,22. 9.00,,19. 14.00,,2013,speed,MEN,8976
22,23,Zhang,Yuhang,CHN,52.00,22. 9.00,22. 9.00,,,,,10. 34.00,2013,speed,MEN,8786
23,24,Poliakov,Anton,RUS,50.00,18. 16.00,19. 14.00,,25. 6.00,19. 14.00,,,2013,speed,MEN,11061
24,25,Atlarov,Ivan,RUS,40.00,,,,8. 40.00,,,,2013,speed,MEN,12398
25,26,Faizullin,Ruslan,RUS,34.00,,,,10. 34.00,,,,2013,speed,MEN,10855
26,27,Astashkin,Evgeny,RUS,33.00,,,,26. 5.00,,12. 28.00,,2013,speed,MEN,10019
27,28,Moro,Guillaume,FRA,32.00,,,,,20. 12.00,16. 20.00,,2013,speed,MEN,10052
28,29,Luzhetskii,Sergei,RUS,31.00,,,,11. 31.00,,,,2013,speed,MEN,9696
29,29,Sabitov,Eduard,RUS,31.00,,,,,,11. 31.00,,2013,speed,MEN,9168
30,31,Bokanov,Sayat,KAZ,28.00,,,,,,,12. 28.00,2013,speed,MEN,9625
31,32,McColl,Sean,CAN,27.00,24. 7.00,24. 7.00,21. 10.00,,28. 3.00,,,2013,speed,MEN,5089
32,33,Nazarov,Alexey,KAZ,26.00,,,,,,,13. 26.00,2013,speed,MEN,9568
33,33,Santoni,Alessandro,ITA,26.00,,,,,13. 26.00,,,2013,speed,MEN,10004
34,33,Savelyev,Artem,RUS,26.00,,,13. 26.00,,,,,2013,speed,MEN,8980
35,36,Mawem,Bassa,FRA,24.00,,,,,,14. 24.00,,2013,speed,MEN,6
36,37,Fajri,Ashari,INA,22.00,20. 12.00,21. 10.00,,,,,,2013,speed,MEN,11860
37,37,Li,Guangdong,CHN,22.00,,,,,,,15. 22.00,2013,speed,MEN,10799
38,39,Li,Guangfeng,CHN,20.00,,,,,,,16. 20.00,2013,speed,MEN,10800
39,39,Payl,Konstantin,RUS,20.00,,,,16. 20.00,,,,2013,speed,MEN,8977
40,41,Podchesov,Kostiantyn,UKR,18.00,,,,,17. 18.00,,,2013,speed,MEN,7961
41,42,Diachkov,Maksim,RUS,16.00,,,,18. 16.00,,,,2013,speed,MEN,11046
42,42,Molchanov,Alexey,KAZ,16.00,,,,,,18. 16.00,,2013,speed,MEN,8013
43,42,Nambot,Quentin,FRA,16.00,,,,,18. 16.00,,,2013,speed,MEN,9771
44,45,Chae,Sungjoon,KOR,14.00,,,19. 14.00,,,,,2013,speed,MEN,10107
45,45,Jankhoteli,Giga,GEO,14.00,,,,,29. 2.00,20. 12.00,,2013,speed,MEN,10510
46,47,Deulin,Vladislav,RUS,13.00,,,,19. 13.00,,,,2013,speed,MEN,10613
47,47,Sirekanyan,Vaginak,RUS,13.00,,,,19. 13.00,,,,2013,speed,MEN,7821
48,49,Ozawa,Shinta,JPN,12.00,25. 6.00,25. 6.00,,,,,,2013,speed,MEN,5952
49,50,Chelombytko,Yevgeniy,UKR,10.00,,,,,21. 10.00,,,2013,speed,MEN,9052
50,50,Tagizade,Cingiz,AZE,10.00,,,,,,21. 10.00,,2013,speed,MEN,10997
51,52,Her,Youngwook,KOR,9.00,,,22. 9.00,,,,,2013,speed,MEN,12403
52,52,Kvitsiani,Almatsgir,GEO,9.00,,,,,,22. 9.00,,2013,speed,MEN,10345
53,52,Zama,Stanislao,ITA,9.00,,,,,22. 9.00,,,2013,speed,MEN,11250
54,55,Hwang,Pyeongju,KOR,8.00,,,23. 8.00,,,,,2013,speed,MEN,6802
55,55,Kriz,Jan,CZE,8.00,,,,,23. 8.00,,,2013,speed,MEN,10059
56,55,Rahimkhanov,Rinat,AZE,8.00,,,,,,23. 8.00,,2013,speed,MEN,11442
57,55,Ter-Minasyan,Arman,RUS,8.00,,,,23. 8.00,,,,2013,speed,MEN,7574
58,59,Artamonov,Georgy,RUS,7.00,,,,24. 7.00,,,,2013,speed,MEN,10189
59,59,Gomiashvili,Giorgi,GEO,7.00,,,,,,24. 7.00,,2013,speed,MEN,12053
60,59,Schubert,Jakob,AUT,7.00,,,24. 7.00,,,,,2013,speed,MEN,6550
61,59,Sirotti,Gianluca,ITA,7.00,,,,,24. 7.00,,,2013,speed,MEN,10035
62,63,Boulos,Alessandro,ITA,6.00,,,,,25. 6.00,,,2013,speed,MEN,9512
63,63,Khutsishvili,Mamuka,GEO,6.00,,,,,,25. 6.00,,2013,speed,MEN,12054
64,65,Camalzade,Seymur,AZE,5.00,,,,,,26. 5.00,,2013,speed,MEN,11010
65,65,Fossali,Ludovico,ITA,5.00,,,,,26. 5.00,,,2013,speed,MEN,10596
66,67,Buoso,Davide,ITA,4.00,,,,,27. 4.00,,,2013,speed,MEN,12095
67,67,Shikhrahimov,Galib,AZE,4.00,,,,,,27. 4.00,,2013,speed,MEN,11444
68,69,Ibadov,Babek,AZE,3.00,,,,,,28. 3.00,,2013,speed,MEN,10996
69,70,Ali,Yasin,PAK,2.00,,,,,,29. 2.00,,2013,speed,MEN,11156
70,71,Maksutov,Teymur,AZE,1.00,,,,,,30. 1.00,,2013,speed,MEN,11449
71,71,Yurko,Oleksiy,UKR,1.00,,,,,30. 1.00,,,2013,speed,MEN,7618
