,Rank,Name,Name.1,Nation,Points,1460,1466,1459,1462,1464,1467,1451,2013,event,gender,athlete_id
12,13,Savisko,Anastasiya,UKR,105.00,11. 31.00,9. 37.00,,,,9. 37.00,,2013,speed,WOMEN,7273
13,14,Esmaeilzadeh,Farnaz,IRI,93.00,20. 12.00,10. 34.00,6. 47.00,,,,,2013,speed,WOMEN,7380
14,15,Tita,Supita,INA,90.00,6. 47.00,7. 43.00,,,,,,2013,speed,WOMEN,10878
15,16,Pichler,Stefanie,AUT,88.00,,,,12. 28.00,10. 34.00,13. 26.00,,2013,speed,WOMEN,7559
16,17,Saurwein,Katharina,AUT,82.00,18. 16.00,,13. 26.00,,14. 24.00,,18. 16.00,2013,speed,WOMEN,5244
17,18,Tsyganova,Anna,RUS,71.00,,,,14. 24.00,6. 47.00,,,2013,speed,WOMEN,8428
18,19,He,CuiLian,CHN,66.00,15. 22.00,15. 22.00,,,,,15. 22.00,2013,speed,WOMEN,8419
19,20,Iakovleva,Natalia,RUS,65.00,,,,10. 34.00,,,11. 31.00,2013,speed,WOMEN,9699
20,21,Ulzhabayeva,Tamara,KAZ,60.00,,,,,,10. 34.00,13. 26.00,2013,speed,WOMEN,5151
21,22,PAN,Xuhua,CHN,44.00,14. 24.00,16. 20.00,,,,,,2013,speed,WOMEN,8787
22,23,Chudziak,Patrycja,POL,42.00,,,,15. 22.00,16. 20.00,,,2013,speed,WOMEN,10396
23,24,Bruckner,Esther,FRA,40.00,,,,,,,8. 40.00,2013,speed,WOMEN,9530
24,25,RENQING,LaMu,CHN,36.00,17. 18.00,17. 18.00,,,,,,2013,speed,WOMEN,9191
25,25,RenZeng,WangMu,CHN,36.00,16. 20.00,18. 16.00,,,,,,2013,speed,WOMEN,10089
26,27,wang,yang,CHN,34.00,,,,,,,10. 34.00,2013,speed,WOMEN,10103
27,28,Motovilova,Svetlana,RUS,31.00,,,,11. 31.00,,,,2013,speed,WOMEN,11153
28,29,Golikova,Anastasiia,RUS,28.00,,,,,,12. 28.00,,2013,speed,WOMEN,10391
29,29,Ota,Risa,JPN,28.00,19. 14.00,19. 14.00,,,,,,2013,speed,WOMEN,9212
30,29,Titova,Natalia,RUS,28.00,,,,,,,12. 28.00,2013,speed,WOMEN,1304
31,29,Zaichenko,Anastasiya,UKR,28.00,,,,,12. 28.00,,,2013,speed,WOMEN,9656
32,33,Shatalova,Varvara,RUS,26.00,,,,13. 26.00,,,,2013,speed,WOMEN,9817
33,33,Zanetti,Martina,ITA,26.00,,,,,13. 26.00,,,2013,speed,WOMEN,12098
34,35,Lach,Nina,AUT,25.00,,,,22. 9.00,17. 16.00,,,2013,speed,WOMEN,10590
35,36,Elmer,Alexandra,AUT,24.00,,,,,,14. 24.00,,2013,speed,WOMEN,10043
36,36,Jeong,Woonwha,KOR,24.00,,,14. 24.00,,,,,2013,speed,WOMEN,6788
37,38,Brozek,Anna,POL,22.00,,,,,,15. 22.00,,2013,speed,WOMEN,10384
38,39,Iskakova,Aliya,KAZ,20.00,,,,,,16. 20.00,,2013,speed,WOMEN,7123
39,39,Timofeeva,Elena,RUS,20.00,,,,16. 20.00,,,,2013,speed,WOMEN,11059
40,41,Huseynova,Konul,AZE,18.00,,,,,,17. 18.00,,2013,speed,WOMEN,10995
41,41,Stepanova,Nataliia,RUS,18.00,,,,17. 18.00,,,,2013,speed,WOMEN,8984
42,41,yang,weiling,CHN,18.00,,,,,,,17. 18.00,2013,speed,WOMEN,10104
43,44,Sultanova,Aysel,AZE,16.00,,,,,,18. 16.00,,2013,speed,WOMEN,10998
44,45,Bogdanova,Maria,RUS,14.00,,,,19. 14.00,,,,2013,speed,WOMEN,11892
45,45,Hanina,Diana Vadim,AZE,14.00,,,,,,19. 14.00,,2013,speed,WOMEN,11368
46,47,Seferova,Sima,AZE,12.00,,,,,,20. 12.00,,2013,speed,WOMEN,11085
47,48,Krasavina,Nadazhda,RUS,10.00,,,,21. 10.00,,,,2013,speed,WOMEN,8360
48,48,Mammadova,Reyhan,AZE,10.00,,,,,,21. 10.00,,2013,speed,WOMEN,11007
49,50,Malysheva,Daria,RUS,8.00,,,,23. 8.00,,,,2013,speed,WOMEN,10612
50,51,Khutorova,Yulia,RUS,7.00,,,,24. 7.00,,,,2013,speed,WOMEN,10565
51,51,Piraliyeva,Ayten,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN,11008
52,51,QULIYEVA,Sems,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN,11005
53,51,Sima,Safarova,AZE,7.00,,,,,,22. 7.00,,2013,speed,WOMEN,11009
