,Rank,Name,Name.1,Nation,Points,Kranj (L) 19.11.2005,Valence (L) 27.10.2005,Shanghai (L+S) 22.10.2005,Marbella (L) 17.09.2005,Chamonix (L+S) 12.07.2005,Zürich (L) 24.06.2005,Imst (L) 27.05.2005,Puurs (L) 29.04.2005,Veliko Tarnovo (L+S) 23.04.2005,2005,event,gender
55,56,Cintalova,Zuzana,SVK,14.00,19. 14.00,,,,,,,,,2005,lead,WOMEN
56,56,Madate,Tomoko,JPN,14.00,,,19. 14.00,,,,,,,2005,lead,WOMEN
57,58,Li,Chunhua,CHN,12.00,,,20. 12.00,,,,,,,2005,lead,WOMEN
58,58,Winter,Julia,GER,12.00,20. 12.00,,,,,,,,,2005,lead,WOMEN
59,60,Dzhambazova,Ina,BUL,10.00,,,,,,,,,21. 10.00,2005,lead,WOMEN
60,60,Liu,Hiu Ying,HKG,10.00,,,21. 10.00,,,,,,,2005,lead,WOMEN
61,62,Morozkina,Olga,RUS,9.00,,,22. 9.00,,,,,,,2005,lead,WOMEN
62,63,Alekseeva,Kseniia,RUS,8.00,,,,,23. 8.00,,,,,2005,lead,WOMEN
63,63,Benetti,Lisa,ITA,8.00,,,,,,,23. 8.00,,,2005,lead,WOMEN
64,63,Caprez,Nina,SUI,8.00,,,,,,,,23. 8.00,,2005,lead,WOMEN
65,63,Dobrota,Gabriela,SRB,8.00,,,,,,,,,23. 8.00,2005,lead,WOMEN
66,63,Mathieu,Laure,FRA,8.00,,26. 5.00,,,28. 3.00,,,,,2005,lead,WOMEN
67,63,Stenkovaya,Anna,RUS,8.00,,,23. 8.00,,,,,,,2005,lead,WOMEN
68,69,Asher,Elizabeth,USA,7.00,,,,,,24. 7.00,,,,2005,lead,WOMEN
69,69,Garbova,Petya,BUL,7.00,,,,,,,,,24. 7.00,2005,lead,WOMEN
70,69,Guggisberg,Annina,SUI,7.00,,,,,,30. 1.00,,25. 6.00,,2005,lead,WOMEN
71,69,Rajfova,Lucie,CZE,7.00,24. 7.00,,,,,,,,,2005,lead,WOMEN
72,69,Tan,"Li Ying, Suzanna",SGP,7.00,,,24. 7.00,,,,,,,2005,lead,WOMEN
73,74,Bakalova,Plamena,BUL,6.00,,,,,,,,,25. 6.00,2005,lead,WOMEN
74,74,He,Cuifang,CHN,6.00,,,25. 6.00,,,,,,,2005,lead,WOMEN
75,76,Bakulic,Sandra,CRO,5.00,26. 5.00,,,,,,,,,2005,lead,WOMEN
76,76,Kojuharova,Cveta,BUL,5.00,,,,,,,,,26. 5.00,2005,lead,WOMEN
77,76,Matthews,Sarah,AUS,5.00,,,26. 5.00,,,,,,,2005,lead,WOMEN
78,79,Hawke,Emma,NZL,4.00,,,27. 4.00,,,,,,,2005,lead,WOMEN
79,79,Iatsenko,Nadia,UKR,4.00,27. 4.00,,,,,,,,,2005,lead,WOMEN
80,79,Knoche,Lisa,GER,4.00,,,,,,,27. 4.00,,,2005,lead,WOMEN
81,79,Kyutinska,Siyana,BUL,4.00,,,,,,,,,27. 4.00,2005,lead,WOMEN
82,79,Middleton,Jacqui,AUS,4.00,28. 3.00,30. 1.00,,,,,,,,2005,lead,WOMEN
83,79,Norzaharatullaili,Mustafa,MAS,4.00,,,27. 4.00,,,,,,,2005,lead,WOMEN
84,79,Thévenet,Marine,FRA,4.00,,27. 4.00,,,,,,,,2005,lead,WOMEN
85,79,VAN LANDEGHEM,Sandrine,FRA,4.00,,,,,,27. 4.00,,,,2005,lead,WOMEN
86,87,Couchot,Mathilde,FRA,3.00,,28. 3.00,,,,,,,,2005,lead,WOMEN
87,87,Iovane,Luisa,ITA,3.00,,,,,,,28. 3.00,,,2005,lead,WOMEN
88,89,Fergeau,Celine,FRA,2.00,,29. 2.00,,,,,,,,2005,lead,WOMEN
89,89,Kudrova,Nelly,CZE,2.00,,,,,,29. 2.00,,,,2005,lead,WOMEN
90,89,Steenackers,Katie,BEL,2.00,,,,,,,,29. 2.00,,2005,lead,WOMEN
91,89,Zhang,Dan,CHN,2.00,,,29. 2.00,,,,,,,2005,lead,WOMEN
92,93,Nilwik,Rachel,NED,1.00,,,,,,,,30. 1.00,,2005,lead,WOMEN
93,93,Yuliyastanti,Indah,INA,1.00,,,30. 1.00,,,,,,,2005,lead,WOMEN
94,93,Zijlstra,Evelien,NED,1.00,,,,,,,,30. 1.00,,2005,lead,WOMEN
95,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,9 best competition results are counting for UIAA Climbing Worldcup 2005. Not counting points are in brackets.,2005,lead,WOMEN
