,Rank,Name,Name.1,Nation,Points,57,56,58,59,1994,event,gender,athlete_id
34,35,Pashennik,Nataliy,RUS,16.00,,,18. 16.00,,1994,lead,WOMEN,1298
35,36,Kleonova,Marina,RUS,14.00,19. 14.00,,,,1994,lead,WOMEN,1250
36,37,Perlova,Nataliya,UKR,10.00,,,21. 10.00,,1994,lead,WOMEN,1299
37,38,Churbanova,Galina,KAZ,9.00,,,22. 9.00,,1994,lead,WOMEN,1125
38,39,Arran,Anne,GBR,8.00,,,,23. 8.00,1994,lead,WOMEN,1003
39,39,Kato,Yasue,JPN,8.00,,,,23. 8.00,1994,lead,WOMEN,1396
40,39,Osius,Alison,USA,8.00,23. 8.00,,,,1994,lead,WOMEN,1014
41,39,Piratinskaya,Mayya,RUS,8.00,23. 8.00,,,,1994,lead,WOMEN,1267
42,39,Ruyga,Tatiana,RUS,8.00,23. 8.00,,,,1994,lead,WOMEN,1378
43,44,Bagenova,Natalia,RUS,6.00,,,25. 6.00,,1994,lead,WOMEN,1286
44,44,Sutkina,Svetlana,RUS,6.00,,,25. 6.00,,1994,lead,WOMEN,1366
45,44,Tsiparsone,Baiba,LAT,6.00,,,25. 6.00,,1994,lead,WOMEN,1044
46,47,Maillard,Cecile,FRA,5.00,,26. 5.00,,,1994,lead,WOMEN,1058
47,47,Mimet,Claire,FRA,5.00,,26. 5.00,,,1994,lead,WOMEN,1062
48,49,Gray,Anne,SUI,2.00,,29. 2.00,,,1994,lead,WOMEN,997
49,49,Laffont,Isabelle,FRA,2.00,,,,29. 2.00,1994,lead,WOMEN,1160
50,51,Illy,Elizabeth,AUS,1.00,,,30. 1.00,,1994,lead,WOMEN,1093
51,51,Lizin,Séverine,BEL,1.00,,,,30. 1.00,1994,lead,WOMEN,1351
52,51,Zadvornih,Marie,KAZ,1.00,,,30. 1.00,,1994,lead,WOMEN,1284
