,Rank,Name,Name.1,Nation,Points,5697,5844,1642,1644,1641,1647,1640,2016,event,gender,athlete_id
15,16,Chudziak,Patrycja,POL,95.00,,,15. 22.00,6. 47.00,13. 26.00,,,2016,speed,WOMEN,10396
16,17,Timofeeva,Elena,RUS,91.00,,,7. 43.00,12. 28.00,16. 20.00,,,2016,speed,WOMEN,11059
17,18,Ita Triana,Purnamasari,INA,89.00,,,,,,10. 34.00,4. 55.00,2016,speed,WOMEN,10994
18,19,PUBU,ZhuoMa,CHN,87.00,14. 24.00,13. 26.00,,,,15. 22.00,18. 15.00,2016,speed,WOMEN,12518
19,20,Pichler,Stefanie,AUT,81.00,,,,22. 9.00,21. 10.00,11. 31.00,11. 31.00,2016,speed,WOMEN,7559
20,21,Kan,Daria,RUS,74.00,,,,9. 37.00,9. 37.00,,,2016,speed,WOMEN,11052
21,22,Ivanova,Elizaveta,RUS,69.00,,,,15. 22.00,6. 47.00,,,2016,speed,WOMEN,12071
22,23,Niu,Di,CHN,59.00,12. 28.00,11. 31.00,,,,,,2016,speed,WOMEN,10611
23,24,Dhorifatus,Syafiiyah,INA,54.00,,,,,,13. 26.00,12. 28.00,2016,speed,WOMEN,57363
24,25,Rojas,Andrea,ECU,50.00,,,16. 20.00,17. 18.00,20. 12.00,,,2016,speed,WOMEN,9634
25,26,BAIMA,YuZhen,CHN,48.00,19. 14.00,18. 16.00,,,,17. 18.00,,2016,speed,WOMEN,14157
26,26,Prokopiuk,Monika,POL,48.00,,,17. 18.00,19. 14.00,18. 16.00,,,2016,speed,WOMEN,7801
27,28,Dalla Brida,Elisabetta,ITA,45.00,,,13. 26.00,21. 10.00,22. 9.00,,,2016,speed,WOMEN,13203
28,29,TIAN,PeiYang,CHN,40.00,,,,,,16. 20.00,16. 20.00,2016,speed,WOMEN,14491
29,30,RENQING,LaMu,CHN,36.00,17. 18.00,,,,,,17. 18.00,2016,speed,WOMEN,9191
30,31,Karami,Azam,IRI,34.00,18. 16.00,17. 18.00,,,,,,2016,speed,WOMEN,61172
31,32,Meister,Erica,USA,30.00,,,,20. 12.00,17. 18.00,,,2016,speed,WOMEN,11611
32,32,Porta,Silvia,ITA,30.00,,,18. 16.00,24. 7.00,24. 7.00,,,2016,speed,WOMEN,12090
33,34,zhuoma,renzeng,CHN,26.00,20. 12.00,19. 14.00,,,,,,2016,speed,WOMEN,61356
34,35,Randi,Giorgia,ITA,25.00,,,20. 12.00,23. 8.00,26. 5.00,,,2016,speed,WOMEN,12698
35,36,Fossali,Giulia,ITA,24.00,,,21. 10.00,25. 6.00,23. 8.00,,,2016,speed,WOMEN,12089
36,37,Oba,Miwa,JPN,15.00,,,,,,,18. 15.00,2016,speed,WOMEN,11256
37,38,Esmailzadeh,Farnaz,IRI,14.00,,,19. 14.00,,,,,2016,speed,WOMEN,7364
38,39,Durif,Charlotte,FRA,13.00,,,22. 9.00,,27. 4.00,,,2016,speed,WOMEN,6513
39,40,Kolkotina,Tetiana,UKR,8.00,,,23. 8.00,,,,,2016,speed,WOMEN,13669
40,41,Zanetti,Martina,ITA,7.00,,,24. 7.00,,,,,2016,speed,WOMEN,12098
