,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
62,61,Szekely,Andrea Brigitta,HUN,16.00,,,,,18. 16.00,,,,,2011,boulder,WOMEN
63,61,Yip,Alannah,CAN,16.00,,,,,,18. 16.00,,,,2011,boulder,WOMEN
64,65,Faille,Camille,FRA,14.00,19. 14.00,,,,,,,,,2011,boulder,WOMEN
65,65,Hayen,Magali,BEL,14.00,22. 8.00,,,25. 6.00,,,,,,2011,boulder,WOMEN
66,65,Pietras,Kasia,USA,14.00,,,,,19. 14.00,,,,,2011,boulder,WOMEN
67,65,Reid,Holly,CAN,14.00,,24. 7.00,27. 4.00,,,28. 3.00,,,,2011,boulder,WOMEN
68,69,Carro Fernández,Eva,ESP,12.00,,,20. 12.00,,,,,,,2011,boulder,WOMEN
69,69,Chiappa,Elena,ITA,12.00,,,,,,,,,20. 12.00,2011,boulder,WOMEN
70,71,Weldon,Victoria,CAN,11.00,,,,,23. 7.00,27. 4.00,,,,2011,boulder,WOMEN
71,72,Austin,Sarah,CAN,10.00,,,,,28. 2.00,22. 8.00,,,,2011,boulder,WOMEN
72,72,Faus,Isabelle,USA,10.00,,,,,,21. 10.00,,,,2011,boulder,WOMEN
73,72,Matsushima,Yuki,JPN,10.00,,22. 9.00,29. 1.00,,,,,,,2011,boulder,WOMEN
74,72,Savchenko,Ganna,UKR,10.00,,,,,,,,21. 10.00,,2011,boulder,WOMEN
75,72,Schützenberger,Sarah,GER,10.00,21. 10.00,,,,,,,,,2011,boulder,WOMEN
76,77,Gibert,Fanny,FRA,9.00,,,21. 9.00,,,,,,,2011,boulder,WOMEN
77,77,Watanabe,Saari,JPN,9.00,,,,,22. 9.00,,,,,2011,boulder,WOMEN
78,79,Bacher,Katharina,AUT,8.00,,23. 8.00,,,,,,,,2011,boulder,WOMEN
79,79,Lam,Clarrie,CAN,8.00,,,,,,22. 8.00,,,,2011,boulder,WOMEN
80,79,Nilwik,Rachel,NED,8.00,,,,23. 8.00,,,,,,2011,boulder,WOMEN
81,82,Ulzhabayeva,Tamara,KAZ,7.00,,,,,,,,,23. 7.00,2011,boulder,WOMEN
