,Rank,Name,Name.1,Nation,Points,30,32,33,34,31,1997,event,gender,athlete_id
19,20,schöpf,Bettina,AUT,58.00,19. 14.00,15. 22.00,,15. 22.00,,1997,lead,WOMEN,1042
20,21,Ovtchinnikova,Elena,USA,54.00,,,,24. 7.00,6. 47.00,1997,lead,WOMEN,1101
21,22,Colliere,Dominique,FRA,52.00,22. 9.00,,20. 12.00,11. 31.00,,1997,lead,WOMEN,1074
22,23,Brown,Katie,USA,43.00,7. 43.00,,,,,1997,lead,WOMEN,1184
23,24,Marchisio,Stella,ITA,37.00,,,,,9. 37.00,1997,lead,WOMEN,1353
24,25,Creamer,Lucy,GBR,35.00,15. 22.00,25. 6.00,29. 2.00,,26. 5.00,1997,lead,WOMEN,1205
25,26,Haager,Nicola,GER,34.00,19. 14.00,,,,16. 20.00,1997,lead,WOMEN,1293
26,27,Minoret,Chloé,FRA,32.00,,22. 9.00,,18. 16.00,24. 7.00,1997,lead,WOMEN,1063
27,28,Hansen,Gry,NOR,30.00,17. 18.00,20. 12.00,,,,1997,lead,WOMEN,1132
28,29,Colliere,Frederique,FRA,28.00,,,,,12. 28.00,1997,lead,WOMEN,1115
29,29,Hartmann,Iva,SUI,28.00,,12. 28.00,,,,1997,lead,WOMEN,1158
30,29,Truden,Sasa,SLO,28.00,25. 6.00,,24. 7.00,28. 3.00,20. 12.00,1997,lead,WOMEN,1369
31,32,Aguirre,Leire,ESP,25.00,,24. 7.00,,17. 18.00,,1997,lead,WOMEN,1202
32,33,Arran,Anne,GBR,24.00,,,18. 16.00,,23. 8.00,1997,lead,WOMEN,1003
33,34,Schlemmer,Tamara,GER,23.00,24. 7.00,21. 10.00,29. 2.00,28. 3.00,30. 1.00,1997,lead,WOMEN,1379
34,35,Bihr,Isabelle,FRA,22.00,27. 4.00,,27. 4.00,,19. 14.00,1997,lead,WOMEN,1151
35,36,Kuhngaberova,Jitka,CZE,20.00,,,22. 9.00,26. 5.00,25. 6.00,1997,lead,WOMEN,1177
36,37,Motteau,Myriam,FRA,16.00,,,,,18. 16.00,1997,lead,WOMEN,1259
37,38,Savic,Romana,SLO,14.00,,,26. 5.00,22. 9.00,,1997,lead,WOMEN,1331
38,39,Nieselt,Eva,GER,12.00,29. 2.00,,,,21. 10.00,1997,lead,WOMEN,1100
39,40,Kim,Hyun-Jung,KOR,10.00,,,21. 10.00,,,1997,lead,WOMEN,1143
40,41,Artioli,Martina,ITA,9.00,,,,,22. 9.00,1997,lead,WOMEN,1229
41,41,Holkova,Alexandra,CZE,9.00,,,25. 6.00,28. 3.00,,1997,lead,WOMEN,1001
42,43,Drlikova,Michaela,CZE,8.00,,,,23. 8.00,,1997,lead,WOMEN,1238
43,44,Bischoff,Ines,GER,5.00,,,,,26. 5.00,1997,lead,WOMEN,1150
44,44,Collins,Heather,USA,5.00,,26. 5.00,,,,1997,lead,WOMEN,1138
45,44,Ferrero,Laura,ITA,5.00,,,,,26. 5.00,1997,lead,WOMEN,1208
46,47,Anthoni,Kim,BEL,4.00,27. 4.00,,,,,1997,lead,WOMEN,1182
47,47,Francone,Alessandra,ITA,4.00,,29. 2.00,29. 2.00,,,1997,lead,WOMEN,992
48,47,Nilsson,Ingela,SWE,4.00,,,27. 4.00,,,1997,lead,WOMEN,1162
49,47,Rodden,Beth,USA,4.00,,27. 4.00,,,,1997,lead,WOMEN,1038
50,47,Rosten,Anita,SWE,4.00,,,,27. 4.00,,1997,lead,WOMEN,1019
51,52,Piszczek,Renata,POL,3.00,,28. 3.00,,,,1997,lead,WOMEN,1329
52,53,Hurni,Michell,USA,2.00,29. 2.00,,,,,1997,lead,WOMEN,1247
53,53,Kopylova,Elena,RUS,2.00,,29. 2.00,,,,1997,lead,WOMEN,1096
54,53,Verbeek,Mirjam,NED,2.00,29. 2.00,,,,,1997,lead,WOMEN,1279
