,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
77,78,Lechner,Mario,AUT,5.00,,,,,,,,,25. 5.00,2011,boulder,MEN
78,78,Raztresen,Jure,SLO,5.00,,,,,,,,25. 5.00,,2011,boulder,MEN
79,80,Gravelle,Yves,CAN,4.00,,,,,27. 4.00,,,,,2011,boulder,MEN
80,80,Larson,Josh,USA,4.00,,,,,,26. 4.00,,,,2011,boulder,MEN
81,80,Olson,Ryan,USA,4.00,,,,,,26. 4.00,,,,2011,boulder,MEN
82,83,Bowles,John,CAN,3.00,,,,,,28. 3.00,,,,2011,boulder,MEN
83,83,Ghisolfi,Stefano,ITA,3.00,,,,,,,,,27. 3.00,2011,boulder,MEN
84,83,Wetmore,David,USA,3.00,,,,,28. 3.00,,,,,2011,boulder,MEN
85,86,Huerta,Mauricio,MEX,1.00,29. 1.00,,,,,,,,,2011,boulder,MEN
86,86,Lazure,Sebastien,CAN,1.00,,,,,,30. 1.00,,,,2011,boulder,MEN
87,86,Marin Garcia,Eduard,ESP,1.00,,,29. 1.00,,,,,,,2011,boulder,MEN
88,86,Novitskiy,Yury,RUS,1.00,,,,,,,,,29. 1.00,2011,boulder,MEN
89,86,Wilder,Matt,USA,1.00,,,,,29. 1.00,,,,,2011,boulder,MEN
90,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,2011,boulder,MEN
