,Rank,Name,Name.1,Nation,Points,898,889,888,886,884,878,877,2006,event,gender,athlete_id
21,22,Moroni,Gabriele,ITA,84.00,,,,24. 7.00,,5. 51.00,13. 26.00,2006,boulder,MEN,5176
22,23,Sharafutdinov,Dmitrii,RUS,83.00,7. 43.00,,,,,8. 40.00,,2006,boulder,MEN,5781
23,24,Borowka,Karsten,GER,82.00,,26. 5.00,24. 7.00,15. 22.00,25. 6.00,15. 22.00,16. 20.00,2006,boulder,MEN,2057
24,25,Preti,Lucas,ITA,77.00,,6. 47.00,23. 8.00,27. 4.00,17. 18.00,,,2006,boulder,MEN,2606
25,26,Jongeneelen,Wouter,NED,76.00,4. 55.00,30. 1.00,,20. 12.00,23. 8.00,,,2006,boulder,MEN,961
26,27,McColl,Sean,CAN,63.00,,,9. 37.00,13. 26.00,,,,2006,boulder,MEN,5089
27,28,Thomassin,Matthieu,FRA,55.00,,,,23. 8.00,6. 47.00,,,2006,boulder,MEN,6647
28,29,Jalmain,Sebastien,FRA,54.00,,,,18. 16.00,30. 1.00,,9. 37.00,2006,boulder,MEN,6154
29,30,Ghidini,Stefano,ITA,51.00,,,11. 31.00,,16. 20.00,,,2006,boulder,MEN,819
30,30,Laurence,Ludovic,FRA,51.00,,,,,29. 2.00,17. 18.00,11. 31.00,2006,boulder,MEN,521
31,32,Dutray,Mathieu,FRA,48.00,,29. 2.00,26. 5.00,21. 10.00,26. 5.00,21. 10.00,18. 16.00,2006,boulder,MEN,562
32,33,Kim,Jabee,KOR,46.00,,7. 43.00,28. 3.00,,,,,2006,boulder,MEN,5799
33,34,Kleshnov,Stanislav,UKR,44.00,17. 18.00,,,,,13. 26.00,,2006,boulder,MEN,5834
34,35,Ennemoser,Lukas,AUT,38.00,,21. 10.00,12. 28.00,,,,,2006,boulder,MEN,6096
35,36,Calibani,Mauro,ITA,31.00,,,,,11. 31.00,,,2006,boulder,MEN,554
36,36,Chernikov,Mikhail,RUS,31.00,11. 31.00,,,,,,,2006,boulder,MEN,6935
37,36,Lachat,Cédric,SUI,31.00,,,,11. 31.00,,,,2006,boulder,MEN,2583
38,39,Pasquill,Ryan,GBR,29.00,,24. 7.00,,,,,15. 22.00,2006,boulder,MEN,3154
39,39,Sommer,Remo,SUI,29.00,,28. 3.00,29. 2.00,16. 20.00,27. 4.00,,,2006,boulder,MEN,3498
40,41,Moosburger,Emanuel,AUT,28.00,,14. 24.00,30. 1.00,28. 3.00,,,,2006,boulder,MEN,3120
41,41,Woods,Daniel,USA,28.00,,,,,12. 28.00,,,2006,boulder,MEN,6308
42,43,Shalagin,Mykhaylo,UKR,26.00,13. 26.00,,,,,,,2006,boulder,MEN,3205
43,44,Barrans,David,GBR,25.00,22. 9.00,,18. 16.00,,,,,2006,boulder,MEN,7492
44,44,Watson,Stewart,GBR,25.00,,,15. 22.00,,,,28. 3.00,2006,boulder,MEN,5300
45,46,Pekarev,Mikhail,RUS,22.00,15. 22.00,,,,,,,2006,boulder,MEN,2816
46,47,Chrastina,Andrej,SVK,18.00,,,17. 18.00,,,,,2006,boulder,MEN,16
47,47,Watanabe,Kazuma,JPN,18.00,,17. 18.00,,,,,,2006,boulder,MEN,5722
48,49,Croxall,Mark,GBR,16.00,26. 5.00,,,,27. 4.00,,24. 7.00,2006,boulder,MEN,3423
49,49,Hukkataival,Nalle,FIN,16.00,,,,,,18. 16.00,,2006,boulder,MEN,6433
50,51,Pryce,Alan,AUS,14.00,,,,,,,19. 14.00,2006,boulder,MEN,7087
51,51,Samyn,Florent,FRA,14.00,,19. 14.00,,,,,,2006,boulder,MEN,7750
52,51,Schulte,Ferdinand,NED,14.00,19. 14.00,,,,,,,2006,boulder,MEN,3039
53,54,Sugden,Tom,GBR,13.00,,,,,22. 9.00,,27. 4.00,2006,boulder,MEN,3424
54,55,Dolezaj,Peter,SVK,12.00,,,20. 12.00,,,,,2006,boulder,MEN,3618
55,55,Klancnik,Rok,SLO,12.00,20. 12.00,,,,,,,2006,boulder,MEN,5906
56,55,Leoncini,Paolo,ITA,12.00,,,,,20. 12.00,,,2006,boulder,MEN,2679
57,55,Marin Garcia,Eduard,ESP,12.00,,,,,,,20. 12.00,2006,boulder,MEN,5185
58,55,Würth,Peter,GER,12.00,,,,,,20. 12.00,,2006,boulder,MEN,5205
59,60,Hemund,Kevin,SUI,11.00,,,,22. 9.00,,29. 2.00,,2006,boulder,MEN,5216
60,61,Carvalho,Eduardo,BRA,10.00,,,21. 10.00,,,,,2006,boulder,MEN,7084
61,61,Cehovin,Urh,SLO,10.00,21. 10.00,,,,,,,2006,boulder,MEN,930
62,61,Kazbekov,Serik,UKR,10.00,,,,,21. 10.00,,,2006,boulder,MEN,829
63,64,Jubes Angarita,Marco Antonio,ESP,9.00,,,,,,22. 9.00,,2006,boulder,MEN,6937
64,64,Meral,Julien,FRA,9.00,,,,,,,22. 9.00,2006,boulder,MEN,3062
65,66,Kaurov,Ivan,RUS,8.00,23. 8.00,,,,,,,2006,boulder,MEN,5137
66,67,Georgiev,Marian,BUL,7.00,,,,,,24. 7.00,,2006,boulder,MEN,2531
67,67,Scarian,Riccardo,ITA,7.00,,,24. 7.00,,,,,2006,boulder,MEN,778
68,69,DU LAC,Daniel,FRA,6.00,,,,,,,25. 6.00,2006,boulder,MEN,175
69,69,Merz,Aric,GER,6.00,,,,29. 2.00,,27. 4.00,,2006,boulder,MEN,2396
70,71,Lazarov,Blagovest,BUL,5.00,,,,,,26. 5.00,,2006,boulder,MEN,6656
71,72,Bashkirtsev,Evgeny,RUS,4.00,,,,,,27. 4.00,,2006,boulder,MEN,6130
72,72,Kim,Jaha,KOR,4.00,,27. 4.00,,,,,,2006,boulder,MEN,5830
73,72,Ladniy,Andrey,RUS,4.00,27. 4.00,,,,,,,2006,boulder,MEN,8074
74,72,Smith,Martin,GBR,4.00,,,27. 4.00,,,,,2006,boulder,MEN,3426
75,76,Kozlov,Vasily,RUS,3.00,28. 3.00,,,,,,,2006,boulder,MEN,5138
76,77,Gerland,Bastien,FRA,2.00,,,,,,,29. 2.00,2006,boulder,MEN,5647
77,77,Mihaylov,Iliyan,BUL,2.00,,,,,,29. 2.00,,2006,boulder,MEN,7531
78,77,Shaferov,Sergei,BLR,2.00,29. 2.00,,,,,,,2006,boulder,MEN,5396
79,80,Benk,Christian,GER,1.00,,,,30. 1.00,,,,2006,boulder,MEN,1902
80,80,Caleyron,Thomas,FRA,1.00,,,,,,,30. 1.00,2006,boulder,MEN,5694
81,80,D'yakonov,Kirill,RUS,1.00,30. 1.00,,,,,,,2006,boulder,MEN,8081
