,Rank,Name,Name.1,Nation,Points,7182,7179,7149,7185,7164,7137,7140,7134,2018,event,gender,athlete_id
14,14,Muhammad,Hinayah,INA,166.00,18. 16.00,17. 18.00,,,,8. 40.00,9. 37.00,4. 55.00,2018,speed,MEN,66109
15,16,Dzienski,Marcin,POL,160.00,20. 12.00,21. 10.00,6. 47.00,8. 40.00,13. 26.00,21. 9.00,17. 16.00,27. (4.00),2018,speed,MEN,8525
16,17,Moro,Guillaume,FRA,145.00,12. 28.00,26. 5.00,20. 12.00,11. 31.00,7. 43.00,19. 14.00,20. 12.00,,2018,speed,MEN,10052
17,18,Muhammad,Alfian,INA,135.00,8. 40.00,10. 34.00,,,,6. 47.00,,19. 14.00,2018,speed,MEN,10688
18,19,Gontero,Leonardo,ITA,125.00,,,12. 28.00,16. 20.00,15. 22.00,25. 6.00,22. 9.00,8. 40.00,2018,speed,MEN,9436
19,19,Leonardo,Veddriq,INA,125.00,10. 34.00,15. 22.00,,,,,27. 4.00,3. 65.00,2018,speed,MEN,71110
20,21,LIN,PengHui,CHN,124.00,16. 20.00,19. 14.00,,,10. 34.00,12. 28.00,12. 28.00,,2018,speed,MEN,13436
21,21,Zodda,Gian Luca,ITA,124.00,11. 31.00,14. 24.00,21. 10.00,7. 43.00,19. 14.00,,,29. 2.00,2018,speed,MEN,12092
22,23,Septo Wibowo Siburian,Pangeran,INA,118.00,24. 7.00,12. 28.00,,,,14. 24.00,15. 22.00,9. 37.00,2018,speed,MEN,66103
23,24,Zhong,QiXin,CHN,111.00,6. 47.00,,,4. 55.00,22. 9.00,,,,2018,speed,MEN,7994
24,25,Santoni,Alessandro,ITA,102.00,,,16. 20.00,17. 17.00,14. 24.00,24. 7.00,,10. 34.00,2018,speed,MEN,10004
25,26,Brosler,John,USA,66.00,,,13. 26.00,19. 14.00,,13. 26.00,,,2018,speed,MEN,11380
26,27,Bogomolov,Arsenii,RUS,63.00,,,,17. 17.00,29. 2.00,16. 20.00,14. 24.00,,2018,speed,MEN,12643
27,28,Khabibullin,Artem,RUS,58.00,,,18. 16.00,23. 8.00,,17. 18.00,26. 5.00,20. 11.00,2018,speed,MEN,10853
28,29,Rudatskiy,Lev,RUS,57.00,,,14. 24.00,24. 7.00,16. 20.00,,,25. 6.00,2018,speed,MEN,11326
29,30,Rukin,Sergey,RUS,51.00,,5. 51.00,,,,,,,2018,speed,MEN,59998
30,31,Maimuratov,Amir,KAZ,48.00,,,,12. 28.00,,,,16. 20.00,2018,speed,MEN,9619
31,32,Finn-Henry,Michael,USA,45.00,,,23. 8.00,,9. 37.00,,,,2018,speed,MEN,60066
32,33,Rebreyend,Pierre,FRA,42.00,,,17. 18.00,20. 12.00,20. 12.00,,,,2018,speed,MEN,11191
33,34,Abudzar,Yulianto,INA,37.00,,,,,,18. 16.00,21. 10.00,20. 11.00,2018,speed,MEN,6807
34,35,Granja,Carlos,ECU,32.00,,,19. 14.00,21. 10.00,23. 8.00,,,,2018,speed,MEN,11575
35,36,Rindi,Sufriyanto,INA,31.00,,,,,,11. 31.00,,,2018,speed,MEN,10993
36,37,Erber,Matthias,AUT,18.00,,,22. 9.00,27. 4.00,26. 5.00,,,,2018,speed,MEN,12077
37,38,Alipour Shenazandifar,Milad,IRI,17.00,21. 10.00,24. 7.00,,,,,,,2018,speed,MEN,60822
38,38,DUAN,YuRong,CHN,17.00,28. 3.00,23. 8.00,,,,26. 5.00,30. 1.00,,2018,speed,MEN,57146
39,40,Asrar,Ehsan,IRI,16.00,,,,,,,,18. 16.00,2018,speed,MEN,14523
40,40,Ou,ZhiYong,CHN,16.00,,,,,,,17. 16.00,,2018,speed,MEN,13437
41,42,Faizullin,Ruslan,RUS,15.00,,,,,25. 6.00,,,22. 9.00,2018,speed,MEN,10855
42,42,Li,Guangfeng,CHN,15.00,,,,,,23. 8.00,24. 7.00,,2018,speed,MEN,10800
43,44,LIANG,RongQi,CHN,12.00,,,,,,27. 4.00,23. 8.00,,2018,speed,MEN,68646
44,45,Ogata,Yoshiyuki,JPN,11.00,22. 9.00,30. 1.00,,,30. 1.00,,,,2018,speed,MEN,12501
45,46,Knapp,Lukas,AUT,10.00,,,,,21. 10.00,,,,2018,speed,MEN,12675
46,46,Mawem,Mickael,FRA,10.00,,,,26. 5.00,,29. 2.00,28. 3.00,,2018,speed,MEN,12720
47,46,Tkach,Yaroslav,UKR,10.00,,,27. 4.00,25. 6.00,,,,,2018,speed,MEN,13616
48,49,Khaibullin,Rishat,KAZ,9.00,,,,22. 9.00,,,,,2018,speed,MEN,9567
49,49,Schubert,Jakob,AUT,9.00,26. 5.00,27. 4.00,,,,,,,2018,speed,MEN,6550
50,49,Stefani,Jacopo,ITA,9.00,,,,29. 2.00,24. 7.00,,,,2018,speed,MEN,56902
51,52,AliPourShenazandi,Mehdi,IRI,8.00,,,,,,,,23. 8.00,2018,speed,MEN,11216
52,52,Delfaniyan,Ehsan,IRI,8.00,25. 6.00,29. 2.00,,,,,,,2018,speed,MEN,72426
53,52,Narasaki,Tomoa,JPN,8.00,23. 8.00,,,,,,,,2018,speed,MEN,10618
54,55,Emmanuel Ryan,Paul,SGP,7.00,,,,,,30. 1.00,25. 6.00,,2018,speed,MEN,12464
55,55,Hammer,Max,USA,7.00,,,24. 7.00,,,,,,2018,speed,MEN,11649
56,55,Izmailov,Tagir,RUS,7.00,,,,,,,,24. 7.00,2018,speed,MEN,70962
57,55,Zama,Stanislao,ITA,7.00,,,30. 1.00,28. 3.00,28. 3.00,,,,2018,speed,MEN,11250
58,59,CHEN,ZhiXuan,CHN,6.00,,25. 6.00,,,,,,,2018,speed,MEN,12294
59,59,Dorigatti,Cristian,ITA,6.00,,,25. 6.00,,,,,,2018,speed,MEN,13204
60,61,Goodacre,Joe,USA,5.00,,,26. 5.00,,,,,,2018,speed,MEN,13915
