,Rank,Name,Name.1,Nation,Points,651,652,649,648,647,646,642,637,669,2004,event,gender,athlete_id
13,14,Becan,Klemen,SLO,189.00,13. 26.00,,19. 14.00,24. (7.00),7. 43.00,4. 55.00,25. (6.00),23. 8.00,7. 43.00,2004,lead,MEN,2523
14,15,Zardini,Luca,ITA,181.00,22. (9.00),9. 37.00,13. 26.00,8. 40.00,12. 28.00,,14. 24.00,13. 26.00,,2004,lead,MEN,542
15,16,Lagni,Bernardino,ITA,174.00,23. (8.00),5. 51.00,,18. 16.00,,7. 43.00,11. 31.00,22. 9.00,14. 24.00,2004,lead,MEN,87
16,17,Ovchinnikov,Evgeny,RUS,166.00,2. 80.00,13. 26.00,8. 40.00,,,,16. 20.00,,,2004,lead,MEN,232
17,18,Desgranges,Romain,FRA,141.00,,,7. 43.00,22. 9.00,,11. 31.00,21. 10.00,15. 22.00,13. 26.00,2004,lead,MEN,3554
18,19,Vinokur,Vadim,USA,128.00,,15. 22.00,17. 18.00,16. 20.00,12. 28.00,14. 24.00,18. 16.00,21. (10.00),18. (16.00),2004,lead,MEN,950
19,20,Fischhuber,Kilian,AUT,123.00,19. 14.00,,16. 20.00,,10. 34.00,,,4. 55.00,,2004,lead,MEN,2602
20,21,Repcik,Juraj,SVK,117.00,18. 16.00,13. 26.00,,12. 28.00,,6. 47.00,,,,2004,lead,MEN,446
21,22,Valjavec,Tomaz,SLO,112.00,12. 28.00,26. (5.00),,10. 34.00,,23. 8.00,25. 6.00,20. 12.00,14. 24.00,2004,lead,MEN,926
22,23,Son,Sangwon,KOR,93.00,,8. 40.00,,,18. 16.00,,9. 37.00,,,2004,lead,MEN,3394
23,24,Sova,Matej,SLO,91.00,7. 43.00,17. 18.00,,17. 18.00,,21. 10.00,29. 2.00,,,2004,lead,MEN,629
24,25,Fichtinger,Reinhard,AUT,89.00,26. 5.00,22. 9.00,15. 22.00,,,,18. 16.00,9. 37.00,,2004,lead,MEN,757
25,26,Brenna,Cristian,ITA,87.00,14. 24.00,21. 10.00,28. 3.00,23. 8.00,,14. 24.00,,,17. 18.00,2004,lead,MEN,109
26,27,Droetto,Fabrizio,ITA,85.00,8. 40.00,12. 28.00,26. 5.00,20. 12.00,,,,,,2004,lead,MEN,6783
27,28,Bindhammer,Andreas,GER,83.00,9. 37.00,22. 9.00,,,16. 20.00,30. 1.00,,18. 16.00,,2004,lead,MEN,8
28,29,Winkler,Daniel,SUI,79.00,21. 10.00,,25. 6.00,19. 14.00,,,20. 12.00,25. 6.00,11. 31.00,2004,lead,MEN,3505
29,30,Lo Piccolo,Cédric,FRA,73.00,,,10. 34.00,9. 37.00,,,29. 2.00,,,2004,lead,MEN,141
30,31,Dugit,Fabien,FRA,52.00,30. 1.00,,11. 31.00,30. 1.00,,,22. 9.00,,21. 10.00,2004,lead,MEN,2791
31,32,Legrand,Yannick,FRA,49.00,,,12. 28.00,,,28. 3.00,,17. 18.00,,2004,lead,MEN,976
32,33,Dugit,Stephane,FRA,47.00,,,6. 47.00,,,,,,,2004,lead,MEN,809
33,34,Reis,Jürgen,AUT,39.00,28. 3.00,22. 9.00,,,,,,16. 20.00,24. 7.00,2004,lead,MEN,447
34,35,Favresse,Nicolas,BEL,37.00,,,,,,,,,9. 37.00,2004,lead,MEN,646
35,36,Hirayama,Yuji,JPN,34.00,10. 34.00,,,,,,,,,2004,lead,MEN,973
36,37,Kim,Jaha,KOR,31.00,,11. 31.00,,,,,,,,2004,lead,MEN,5830
37,38,Gusak,Igor,UKR,29.00,25. 6.00,,21. 10.00,28. 3.00,,21. 10.00,,,,2004,lead,MEN,354
38,39,Petit,François,FRA,25.00,,,,,,,,30. 1.00,14. 24.00,2004,lead,MEN,275
39,40,Marin Garcia,Eduard,ESP,24.00,,,19. 14.00,21. 10.00,,,,,,2004,lead,MEN,5185
40,41,Gnerro,Alberto,ITA,23.00,28. 3.00,,,27. 4.00,,19. 14.00,,,29. 2.00,2004,lead,MEN,29
41,42,Oleksy,Tomasz,POL,22.00,,,,,15. 22.00,,,,,2004,lead,MEN,906
42,43,Caude,David,FRA,21.00,,,,,,23. 8.00,25. 6.00,24. 7.00,,2004,lead,MEN,172
43,44,Kaurov,Ivan,RUS,18.00,,17. 18.00,,,,,,,,2004,lead,MEN,5137
44,44,Kazbekov,Serik,UKR,18.00,,,,,17. 18.00,,,,,2004,lead,MEN,829
45,46,Kim,Jabee,KOR,17.00,,,,,21. 10.00,,24. 7.00,,,2004,lead,MEN,5799
46,46,Manzanedo,César Ciudad,ESP,17.00,,,,26. 5.00,,20. 12.00,,,,2004,lead,MEN,121
47,48,Pagnoux,Romain,FRA,16.00,,,18. 16.00,,,,,,,2004,lead,MEN,5664
48,48,Sarkany,Frederic,BEL,16.00,,,,,,18. 16.00,,,,2004,lead,MEN,279
49,50,Felix,Roman,SUI,15.00,,,28. 3.00,,,,,,20. 12.00,2004,lead,MEN,2623
50,51,Hoppe,Markus,GER,14.00,23. 8.00,,27. 4.00,,,29. 2.00,,,,2004,lead,MEN,3706
51,52,Ozawa,Shinta,JPN,12.00,,,,,20. 12.00,,,,,2004,lead,MEN,5952
52,53,Cabessut,Romain,FRA,9.00,,,,,,,22. 9.00,,,2004,lead,MEN,2622
53,53,Tan,Sze Ping,SGP,9.00,,,,,22. 9.00,,,,,2004,lead,MEN,5742
54,53,Thomas,Jonathan,BEL,9.00,,,,,,,,,22. 9.00,2004,lead,MEN,6541
55,56,Ito,Hidekazu,JPN,8.00,,,,,23. 8.00,,,,,2004,lead,MEN,5556
56,56,Lois,Tino,ESP,8.00,,,,,,23. 8.00,,,,2004,lead,MEN,6746
57,56,Mus,Johan,BEL,8.00,,,,,,,,,23. 8.00,2004,lead,MEN,438
58,56,Pringle,Ethan,USA,8.00,,,,,,23. 8.00,,,,2004,lead,MEN,3622
59,56,Svub,Ondrej,SVK,8.00,,,,,,23. 8.00,,,,2004,lead,MEN,3646
60,61,Colonetti,Roberto,ITA,7.00,,,,24. 7.00,,,,,,2004,lead,MEN,5395
61,61,Müller,Matthias,SUI,7.00,,,,,24. 7.00,,,,,2004,lead,MEN,2675
62,61,Ten Sijthoff,Casper,NED,7.00,,,,,,,,26. 5.00,29. 2.00,2004,lead,MEN,2560
63,64,Baxter,Adrian,GBR,6.00,,,,,,,,,25. 6.00,2004,lead,MEN,3434
64,64,Chu,Ka-Wai,HKG,6.00,,,,,25. 6.00,,,,,2004,lead,MEN,3692
65,66,Mol,Dirk,NED,5.00,,,,,,,,,26. 5.00,2004,lead,MEN,197
66,66,Zhang,Yubin,CHN,5.00,,,,,26. 5.00,,,,,2004,lead,MEN,6765
67,68,Li,Shaoman,CHN,4.00,,,,,27. 4.00,,,,,2004,lead,MEN,5948
68,68,Neyer,Thomas,AUT,4.00,,,,,,,,27. 4.00,,2004,lead,MEN,5649
69,68,Skof,Miha,SLO,4.00,27. 4.00,,,,,,,,,2004,lead,MEN,3510
70,71,Babicz,Filip,POL,3.00,,,,,,,,28. 3.00,,2004,lead,MEN,3151
71,71,De Girolamo,Vincent,FRA,3.00,,,28. 3.00,,,,,,,2004,lead,MEN,3184
72,71,Gambaro,Matteo,ITA,3.00,,,,,,,,,28. 3.00,2004,lead,MEN,3166
73,71,Guerimand,Flavien,FRA,3.00,,,28. 3.00,,,,,,,2004,lead,MEN,3287
74,71,Liu,Changzhong,CHN,3.00,,,,,28. 3.00,,,,,2004,lead,MEN,5403
75,71,Mecherzynski-Wiktor,Andrzej,POL,3.00,,,,,,,28. 3.00,,,2004,lead,MEN,2638
76,77,Kim,Janghyuk,KOR,2.00,,,,,29. 2.00,,,,,2004,lead,MEN,6762
77,77,Sapey,Anthony,SUI,2.00,,,,,,,,,29. 2.00,2004,lead,MEN,3506
78,77,Zbranek,Jan,CZE,2.00,,,,29. 2.00,,,,,,2004,lead,MEN,3499
79,80,Cai,LuYuan,CHN,1.00,,,,,30. 1.00,,,,,2004,lead,MEN,5410
80,80,Pfanner,Andreas,AUT,1.00,,,,,,,,30. 1.00,,2004,lead,MEN,52
81,80,Salada,Arman,PHI,1.00,,,,,30. 1.00,,,,,2004,lead,MEN,6392
82,80,Wu,Yen-Yi,TPE,1.00,,,,,30. 1.00,,,,,2004,lead,MEN,4981
