,Rank,Name,Name.1,Nation,Points,1448,1452,1454,1449,1450,1465,1453,1451,2013,event,gender,athlete_id
32,33,Avezou,Cecile,FRA,35.00,27. 3.00,,,29. 1.00,23. 7.00,,14. 24.00,,2013,boulder,WOMEN,1055
33,34,Weldon,Stacey,CAN,34.00,,19. 14.00,16. 20.00,,,,,,2013,boulder,WOMEN,3317
34,35,Pucheux,Margaux,FRA,31.00,,,,,,,11. 31.00,,2013,boulder,WOMEN,10468
35,36,Merrick,Diane,GBR,30.00,,21. 10.00,25. 6.00,,,,,19. 14.00,2013,boulder,WOMEN,8759
36,37,Kipriianova,Ekaterina,RUS,28.00,19. 14.00,,,,,,19. 14.00,,2013,boulder,WOMEN,6078
37,38,Martin,Meagan,USA,26.00,,,13. 26.00,,,,,,2013,boulder,WOMEN,6327
38,39,Kazbekova,Ievgeniia,UKR,24.00,14. 24.00,,,,,,,,2013,boulder,WOMEN,9956
39,40,Chapet,Manon,FRA,22.00,,,,18. 16.00,,,25. 6.00,,2013,boulder,WOMEN,9220
40,40,Rude,Chelsea,USA,22.00,,15. 22.00,,,,,,,2013,boulder,WOMEN,5052
41,42,Posch,Katharina,AUT,20.00,,,,16. 20.00,,,,,2013,boulder,WOMEN,8896
42,43,Melius,Tiffany,AUS,19.00,,28. 3.00,18. 16.00,,,,,,2013,boulder,WOMEN,11902
43,44,Blair-Coyle,Sierra,USA,18.00,,,17. 18.00,,,,,,2013,boulder,WOMEN,8256
44,44,JIANG,Rong,CHN,18.00,,,,,,,,17. 18.00,2013,boulder,WOMEN,9190
45,44,Janicot,Hélène,FRA,18.00,,,,,,19. 13.00,26. 5.00,,2013,boulder,WOMEN,9077
46,44,Russell,Shannon,USA,18.00,,17. 18.00,,,,,,,2013,boulder,WOMEN,11383
47,48,De Marco,Annalisa,ITA,17.00,,,,20. 12.00,25. 5.00,,,,2013,boulder,WOMEN,10007
48,48,Schwaiger,Berit,AUT,17.00,20. 12.00,,,,,25. 5.00,,,2013,boulder,WOMEN,8953
49,50,Ulzhabayeva,Tamara,KAZ,16.00,,,,,,,,18. 16.00,2013,boulder,WOMEN,5151
50,50,Williams,Nina,USA,16.00,,18. 16.00,,,,,,,2013,boulder,WOMEN,11080
51,52,Gibert,Fanny,FRA,14.00,,,,27. 3.00,,27. 3.00,23. 8.00,,2013,boulder,WOMEN,9989
52,52,Tiripa,Ana,GER,14.00,,,,19. 14.00,,,,,2013,boulder,WOMEN,10742
53,54,Briggs,Kerry,CAN,12.00,,,20. 12.00,,,,,,2013,boulder,WOMEN,8934
54,54,Chulich,Lisa,USA,12.00,,20. 12.00,,,,,,,2013,boulder,WOMEN,12028
55,54,liu,yunqing,CHN,12.00,,,,,,,,20. 12.00,2013,boulder,WOMEN,10105
56,57,Celkova,Maria,CAN,10.00,,,21. 10.00,,,,,,2013,boulder,WOMEN,6277
57,57,Ebler,Daniela,SWE,10.00,,,,,,,,21. 10.00,2013,boulder,WOMEN,10972
58,57,Ebner,Andrea,ITA,10.00,29. 1.00,,,21. 9.00,,,,,2013,boulder,WOMEN,10001
59,57,Tracy,Michaela,GBR,10.00,,,,,27. 3.00,23. 7.00,,,2013,boulder,WOMEN,8101
60,61,Bacher,Barbara,AUT,9.00,,,,,,21. 9.00,,,2013,boulder,WOMEN,1030
61,61,Hodann,Anja,SWE,9.00,,,,27. 3.00,27. 3.00,,28. 3.00,,2013,boulder,WOMEN,6455
62,61,Holzmann,Patricia,GER,9.00,21. 9.00,,,,,,,,2013,boulder,WOMEN,12043
63,61,Mascarenas,Megan,USA,9.00,,22. 9.00,,,,,,,2013,boulder,WOMEN,12027
64,61,Reid,Holly,CAN,9.00,,,22. 9.00,,,,,,2013,boulder,WOMEN,9013
65,61,Wiklund,Kajsa,SWE,9.00,,,,,,,,22. 9.00,2013,boulder,WOMEN,11708
66,67,Bell,Claire,GBR,8.00,,27. 4.00,27. 4.00,,,,,,2013,boulder,WOMEN,1064
67,67,Drager,Kelly,CAN,8.00,,,23. 8.00,,,,,,2013,boulder,WOMEN,11154
68,67,Metcalf,Francesca,USA,8.00,,23. 8.00,,,,,,,2013,boulder,WOMEN,8212
69,67,Petri,Friederike,GER,8.00,29. 1.00,,,23. 7.00,,,,,2013,boulder,WOMEN,10899
70,71,Bestvater,Alma,GER,7.00,23. 7.00,,,,,,,,2013,boulder,WOMEN,11149
71,71,Bibik,Olga,RUS,7.00,,,,23. 7.00,,,,,2013,boulder,WOMEN,1308
72,71,Caulier,Chloe,BEL,7.00,,,,,23. 7.00,,,,2013,boulder,WOMEN,9945
73,71,Nevelikova,Karolina,CZE,7.00,,,,,,23. 7.00,,,2013,boulder,WOMEN,9935
74,71,Peet,Gill,GBR,7.00,23. 7.00,,,,,,,,2013,boulder,WOMEN,9882
75,71,Yasuda,Atori,JPN,7.00,,,24. 7.00,,,,,,2013,boulder,WOMEN,9099
76,77,Faus,Isabelle,USA,6.00,,25. 6.00,,,,,,,2013,boulder,WOMEN,9339
77,78,Hohkraut,Mateja,SLO,5.00,,,,,25. 5.00,,,,2013,boulder,WOMEN,6083
78,78,Müller,Jana,GER,5.00,25. 5.00,,,,,,,,2013,boulder,WOMEN,10980
79,78,Shiraiwa,Thais Makino,BRA,5.00,,26. 5.00,,,,,,,2013,boulder,WOMEN,10441
80,78,Weber,Alyssa,CAN,5.00,,,26. 5.00,,,,,,2013,boulder,WOMEN,10809
81,82,Berthier,Nolwen,FRA,4.00,,,,,,,27. 4.00,,2013,boulder,WOMEN,9527
82,83,Carlson,Erica,CAN,3.00,,,28. 3.00,,,,,,2013,boulder,WOMEN,11094
83,83,Pietras,Kasia,USA,3.00,27. 3.00,,,,,,,,2013,boulder,WOMEN,6685
84,85,Condie,Kyra,USA,2.00,,29. 2.00,,,,,,,2013,boulder,WOMEN,11374
85,85,de Bruijn,Bonnie,CAN,2.00,,,29. 2.00,,,,,,2013,boulder,WOMEN,8930
86,87,Akalski,Marieta,CAN,1.00,,,30. 1.00,,,,,,2013,boulder,WOMEN,2749
87,87,Eppensteiner,Madeleine,AUT,1.00,,,,,,29. 1.00,,,2013,boulder,WOMEN,7010
88,87,Hagiwara,Asaki,JPN,1.00,,,,,,,29. 1.00,,2013,boulder,WOMEN,7487
89,87,Hayen,Magali,BEL,1.00,,,,,,,29. 1.00,,2013,boulder,WOMEN,9010
90,87,Hensley,Tiffany,USA,1.00,,30. 1.00,,,,,,,2013,boulder,WOMEN,7290
91,87,Kremer,Valeri,ISR,1.00,,,,,30. 1.00,,,,2013,boulder,WOMEN,8380
92,87,Mulyar,Mariya,UKR,1.00,,,,,,29. 1.00,,,2013,boulder,WOMEN,8388
93,87,Ota,Risa,JPN,1.00,,,,29. 1.00,,,,,2013,boulder,WOMEN,9212
94,87,van Bergen,Nikki,NED,1.00,,,,29. 1.00,,,,,2013,boulder,WOMEN,8196
