,Rank,Name,Name.1,Nation,Points,Laval 27.06.2014,Haiyang 20.06.2014,Vail 06.06.2014,Toronto 31.05.2014,Innsbruck 16.05.2014,Grindelwald 10.05.2014,Baku 03.05.2014,Chongqing 26.04.2014,2014,event,gender
62,62,Kim,Minseon,KOR,12.00,,20. 12.00,,,,,,,2014,boulder,WOMEN
63,64,Blair-Coyle,Sierra,USA,10.00,,,28. 3.00,24. 7.00,,,,,2014,boulder,WOMEN
64,64,Cho,Haimi,KOR,10.00,,21. 10.00,,,,,,,2014,boulder,WOMEN
65,64,Wall,Celeste,CAN,10.00,,,,21. 10.00,,,,,2014,boulder,WOMEN
66,67,Condie,Kyra,USA,9.00,,,22. 9.00,,,,,,2014,boulder,WOMEN
67,67,Kremer,Valeri,ISR,9.00,21. 9.00,,,,,,,,2014,boulder,WOMEN
68,67,RENQING,LaMu,CHN,9.00,,22. 9.00,,,,,,,2014,boulder,WOMEN
69,67,Sethna,Elise,CAN,9.00,,,,22. 9.00,,,,,2014,boulder,WOMEN
70,71,Pinggera,Julia,AUT,8.00,29. 1.00,,,,23. 7.00,,,,2014,boulder,WOMEN
71,71,Vince,Elizabeth,CAN,8.00,,,,23. 8.00,,,,,2014,boulder,WOMEN
72,73,Bacher,Barbara,AUT,7.00,,,,,23. 7.00,,,,2014,boulder,WOMEN
73,73,Chapet,Manon,FRA,7.00,23. 7.00,,,,,,,,2014,boulder,WOMEN
74,73,kajima,Tomoko,JPN,7.00,,,,,,,,24. 7.00,2014,boulder,WOMEN
75,76,Berthier,Nolwen,FRA,6.00,29. 1.00,,,,25. 5.00,,,,2014,boulder,WOMEN
76,76,Kassay,Claire,AUS,6.00,,,,,,,29. 2.00,27. 4.00,2014,boulder,WOMEN
77,76,Lim,Wei Sze Felicia,SGP,6.00,,,,,,,,25. 6.00,2014,boulder,WOMEN
78,79,Esmaeilzadeh,Farnaz,IRI,5.00,,,,,,,26. 5.00,,2014,boulder,WOMEN
79,79,Hily,Manon,FRA,5.00,25. 5.00,,,,,,,,2014,boulder,WOMEN
80,79,Holzmann,Patricia,GER,5.00,,,,,,25. 5.00,,,2014,boulder,WOMEN
81,79,Johnson,Alex,USA,5.00,,,26. 5.00,,,,,,2014,boulder,WOMEN
82,83,Melius,Tiffany,AUS,4.00,,,,27. 4.00,,,,,2014,boulder,WOMEN
83,84,Meshveliani,Salome,GEO,3.00,,,,,,,27. 3.00,,2014,boulder,WOMEN
84,84,PUBU,ZhuoMa,CHN,3.00,,,,,,,,28. 3.00,2014,boulder,WOMEN
85,84,Wood,Jennifer,GBR,3.00,,,,,,,27. 3.00,,2014,boulder,WOMEN
86,87,Briggs,Kerry,CAN,2.00,,,,28. 2.00,,,,,2014,boulder,WOMEN
87,87,Carlson,Erica,CAN,2.00,,,,28. 2.00,,,,,2014,boulder,WOMEN
88,87,de Bruijn,Bonnie,CAN,2.00,,,,28. 2.00,,,,,2014,boulder,WOMEN
89,90,De Marco,Annalisa,ITA,1.00,29. 1.00,,,,,,,,2014,boulder,WOMEN
90,90,Eppensteiner,Madeleine,AUT,1.00,,,,,29. 1.00,,,,2014,boulder,WOMEN
91,90,Merrick,Diane,GBR,1.00,,,,,,29. 1.00,,,2014,boulder,WOMEN
92,90,Rezaei,Zahra,IRI,1.00,,,,,,,30. 1.00,,2014,boulder,WOMEN
93,90,Rosero,Carolina,ECU,1.00,,,30. 1.00,,,,,,2014,boulder,WOMEN
94,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,7 (=8-1) best competition results are counting for IFSC Climbing Worldcup 2014. Not counting points are in brackets.,2014,boulder,WOMEN
