,Rank,Name,Name.1,Nation,Points,7935,7932,7959,7929,7926,7923,2019,event,gender,athlete_id
40,41,Ghisolfi,Stefano,ITA,16.00,,,,,,18. 16.00,2019,boulder,MEN,8323
41,42,Barrans,David,GBR,14.00,,,,19. 14.00,,,2019,boulder,MEN,7492
42,43,Fultz,Matt,USA,12.00,20. 12.00,,,,,,2019,boulder,MEN,70578
43,43,Murai,Ryuichi,JPN,12.00,,,,20. 12.00,,,2019,boulder,MEN,9103
44,45,Klingler,Florian,AUT,10.00,,,25. 5.00,,,25. 5.00,2019,boulder,MEN,11102
45,46,Avezou,Leo,FRA,9.00,21. 9.00,,,,,,2019,boulder,MEN,12012
46,46,Dornauer,Alfons,AUT,9.00,23. 7.00,29. 1.00,,,,29. 1.00,2019,boulder,MEN,12582
47,46,Parma,Georg,AUT,9.00,,,21. 9.00,,,,2019,boulder,MEN,10625
48,49,Bosi,William,GBR,8.00,,,29. 1.00,25. 5.00,29. 1.00,29. 1.00,2019,boulder,MEN,10962
49,50,Baratzadeh,Gholamali,IRI,7.00,,23. 7.00,,,,,2019,boulder,MEN,7348
50,50,Linacisoro Molina,Mikel Asier,ESP,7.00,23. 7.00,,,,,,2019,boulder,MEN,12607
51,50,Martin,Philipp,GER,7.00,,23. 7.00,,,,,2019,boulder,MEN,50798
52,53,Lorenzi,Simon,BEL,6.00,27. 3.00,,28. 3.00,,,,2019,boulder,MEN,10359
53,54,Bombardi,Marcello,ITA,5.00,,,,,,25. 5.00,2019,boulder,MEN,8317
54,54,Roberts,Aidan,GBR,5.00,25. 5.00,,,,,,2019,boulder,MEN,13415
55,54,Ruana,Rudolph,USA,5.00,25. 5.00,,,,,,2019,boulder,MEN,12304
56,54,Watabe,Keita,JPN,5.00,,25. 5.00,,,,,2019,boulder,MEN,9102
57,58,Galla,Zach,USA,3.00,,,,,27. 3.00,,2019,boulder,MEN,67866
58,58,Topishko,Sergii,UKR,3.00,,27. 3.00,,,,,2019,boulder,MEN,5804
59,58,Uchida,Lucas,CAN,3.00,,27. 3.00,,,,,2019,boulder,MEN,12285
60,61,Baltrunas,Kipras,LTU,1.00,,,,,29. 1.00,,2019,boulder,MEN,9595
61,61,Collin,Nicolas,BEL,1.00,29. 1.00,,,,,,2019,boulder,MEN,11024
62,61,Heiniger,Kevin,SUI,1.00,,29. 1.00,,,,,2019,boulder,MEN,6370
63,61,Posch,Jan-Luca,AUT,1.00,29. 1.00,,,,,,2019,boulder,MEN,11636
64,61,Stranik,Martin,CZE,1.00,,,,,29. 1.00,,2019,boulder,MEN,6489
