,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2012,Inzai 27.10.2012,Mokpo 20.10.2012,Xining 12.10.2012,Atlanta 29.09.2012,Puurs 21.09.2012,Imst 10.08.2012,Briançon 20.07.2012,Chamonix 12.07.2012,2012,event,gender
18,19,DiGiulian,Sasha,USA,94.00,,,,,,,,6. 47.00,6. 47.00,2012,lead,WOMEN
19,20,Söderlund,Matilda,SWE,85.00,,,,,19. 14.00,,,11. 31.00,8. 40.00,2012,lead,WOMEN
20,21,van Bergen,Nikki,NED,70.00,15. 22.00,,,,16. 20.00,24. 7.00,18. 16.00,26. 5.00,,2012,lead,WOMEN
21,22,Becerra,Mathilde,FRA,69.00,,,,,10. 34.00,26. 5.00,23. 8.00,20. 12.00,21. 10.00,2012,lead,WOMEN
22,23,Chereshneva,Yana,RUS,68.00,,,,,,25. 6.00,10. 34.00,27. 4.00,14. 24.00,2012,lead,WOMEN
23,24,Onoe,Aya,JPN,53.00,,16. 20.00,14. 24.00,,,,,23. 7.00,28. 2.00,2012,lead,WOMEN
24,25,Stotz,Rebekka,SUI,50.00,17. 18.00,,,,,17. 18.00,25. 6.00,,23. 8.00,2012,lead,WOMEN
25,26,Stütz,Christina,AUT,39.00,28. 3.00,,,,,20. 12.00,30. 1.00,19. 14.00,22. 9.00,2012,lead,WOMEN
26,26,Tiripa,Ana,GER,39.00,19. 14.00,,,,,19. 14.00,22. 9.00,,28. 2.00,2012,lead,WOMEN
27,28,Samoilina,Anastasiia,RUS,38.00,,,20. 12.00,13. 26.00,,,,,,2012,lead,WOMEN
28,29,Ota,Risa,JPN,36.00,20. 12.00,14. 24.00,,,,,,,,2012,lead,WOMEN
29,30,Eyer,Alexandra,SUI,35.00,,,,,,,20. 12.00,17. 18.00,26. 5.00,2012,lead,WOMEN
30,31,Dufraisse,Alizée,FRA,32.00,,,,,,,,13. 26.00,25. 6.00,2012,lead,WOMEN
31,32,Lee,Hung Ying,TPE,31.00,,21. 10.00,24. 7.00,20. 12.00,,29. 2.00,,,,2012,lead,WOMEN
32,33,Pilz,Jessica,AUT,30.00,16. 20.00,,,,,,21. 10.00,,,2012,lead,WOMEN
33,34,Verhoeven,Anak,BEL,29.00,,,,,,15. 22.00,,,24. 7.00,2012,lead,WOMEN
34,35,Eiter,Angela,AUT,28.00,,,,,,,11. 28.00,,,2012,lead,WOMEN
35,35,Takeuchi,Ayaka,JPN,28.00,,19. 14.00,19. 14.00,,,,,,,2012,lead,WOMEN
36,37,Saurwein,Katharina,AUT,26.00,13. 26.00,,,,,,,,,2012,lead,WOMEN
37,38,RENQING,LaMu,CHN,24.00,,,,14. 24.00,,,,,,2012,lead,WOMEN
38,39,PAN,Xuhua,CHN,20.00,,,,16. 20.00,,,,,,2012,lead,WOMEN
39,39,Szekely,Andrea Brigitta,HUN,20.00,,,,,24. 7.00,21. 10.00,,28. 3.00,,2012,lead,WOMEN
40,41,Baehr,Hannah,GER,19.00,18. 16.00,,,,,,28. 3.00,,,2012,lead,WOMEN
41,42,Lin,Hsiu-Ju,TPE,18.00,,,,17. 18.00,,,,,,2012,lead,WOMEN
42,42,Miller,Delaney,USA,18.00,,,,,17. 18.00,,,,,2012,lead,WOMEN
43,44,Michelard,Laura,FRA,16.00,,,,,,,24. 7.00,21. 9.00,,2012,lead,WOMEN
44,44,RenZeng,WangMu,CHN,16.00,,,,18. 16.00,,,,,,2012,lead,WOMEN
45,44,Rude,Chelsea,USA,16.00,,,,,18. 16.00,,,,,2012,lead,WOMEN
46,47,Hafsaas,Tina Johnsen,NOR,15.00,29. 1.00,,,,,22. 9.00,26. 5.00,,,2012,lead,WOMEN
47,48,JIANG,Rong,CHN,14.00,,,,19. 14.00,,,,,,2012,lead,WOMEN
48,48,Kazbekova,Ievgeniia,UKR,14.00,,,,,,,19. 14.00,,,2012,lead,WOMEN
49,50,KIM,IN KYOUNG,KOR,13.00,,27. 4.00,22. 9.00,,,,,,,2012,lead,WOMEN
50,51,Iida,Azumi,JPN,12.00,,20. 12.00,,,,,,,,2012,lead,WOMEN
51,51,Thévenet,Marine,FRA,12.00,,,,,,,,,20. 12.00,2012,lead,WOMEN
52,53,Chanourdie,Julia,FRA,10.00,,,,,,,27. 4.00,29. 2.00,27. 4.00,2012,lead,WOMEN
