,Rank,Name,Name.1,Nation,Points,Edinburgh 04.12.2003,Shenzen 21.11.2003,Kranj 14.11.2003,Valence 31.10.2003,Prague 11.10.2003,Aprica 03.10.2003,Aviles 22.08.2003,Lecco 28.06.2003,Yekaterinburg D+S 06.06.2003,Imst 23.05.2003,2003,event,gender
74,74,Gosar,Asja,SLO,7.00,,,24. 7.00,,,,,,,,2003,lead,WOMEN
75,74,Sakakibara,Yuko,JPN,7.00,28. 3.00,,,,,,27. 4.00,,,,2003,lead,WOMEN
76,74,Tan,"Li Ying, Suzanna",SGP,7.00,,24. 7.00,,,,,,,,,2003,lead,WOMEN
77,78,Aguirre,Leire,ESP,6.00,,,,,,,25. 6.00,,,,2003,lead,WOMEN
78,78,Santelj,Polona,SLO,6.00,,,25. 6.00,,,,,,,,2003,lead,WOMEN
79,78,Teso,Emeline,FRA,6.00,,,,25. 6.00,,,,,,,2003,lead,WOMEN
80,81,Liu,Gui-Ying,CHN,5.00,,26. 5.00,,,,,,,,,2003,lead,WOMEN
81,81,Powell,Jemma,GBR,5.00,26. 5.00,,,,,,,,,,2003,lead,WOMEN
82,83,Harnisch,Martina,AUT,4.00,,,27. 4.00,,,,,,,,2003,lead,WOMEN
83,83,Largeron,Marine,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,WOMEN
84,83,Mathieu,Claire,FRA,4.00,,,,27. 4.00,,,,,,,2003,lead,WOMEN
85,83,Neliwati,Evi,INA,4.00,,27. 4.00,,,,,,,,,2003,lead,WOMEN
86,83,Robles,Kristine Marie,PHI,4.00,,27. 4.00,,,,,,,,,2003,lead,WOMEN
87,88,Hernandez,Raquel,ESP,3.00,,,,,,,28. 3.00,,,,2003,lead,WOMEN
88,88,Moosburger,Miriam,AUT,3.00,,,,,,,,,,28. 3.00,2003,lead,WOMEN
89,90,Hwang,Mi-Hyung,KOR,2.00,,29. 2.00,,,,,,,,,2003,lead,WOMEN
90,90,Kim,Hyun-Jung,KOR,2.00,29. 2.00,,,,,,,,,,2003,lead,WOMEN
91,90,Kimura,Rie,JPN,2.00,,,,,,,,29. 2.00,,,2003,lead,WOMEN
92,90,Li,Jian-Li,CHN,2.00,,29. 2.00,,,,,,,,,2003,lead,WOMEN
93,94,Rodriguez,Francis,VEN,1.00,,,,,,,30. 1.00,,,,2003,lead,WOMEN
94,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,7 best competition results are counting for UIAA Climbing-Worldcup 2003. Not counting points are in brackets.,2003,lead,WOMEN
