,Rank,Name,Name.1,Nation,Points,390,373,391,372,371,2001,event,gender,athlete_id
21,22,Perlova,Nataliya,UKR,56.00,26. 5.00,,12. 28.00,30. 1.00,15. 22.00,2001,lead,WOMEN,1299
22,23,Chereshneva,Venera,RUS,51.00,,5. 51.00,,,,2001,lead,WOMEN,1391
23,24,Kotasova-Kostruhova,Vera,CZE,50.00,18. 16.00,,10. 34.00,,,2001,lead,WOMEN,1389
24,25,Raffetseder,Gerda,AUT,44.00,14. 24.00,,27. 4.00,23. 8.00,23. 8.00,2001,lead,WOMEN,1135
25,26,Petrignet,Carole,FRA,36.00,20. 12.00,,15. 22.00,,29. 2.00,2001,lead,WOMEN,1066
26,27,Rouiga,Irina,RUS,34.00,,10. 34.00,,,,2001,lead,WOMEN,1166
27,28,Saulevich,Olesya,RUS,31.00,,11. 31.00,,,,2001,lead,WOMEN,2712
28,29,Tusar,Eva,SLO,30.00,29. 2.00,,,20. 12.00,18. 16.00,2001,lead,WOMEN,1109
29,30,Sedlmayer,Katrin,GER,26.00,,,,,13. 26.00,2001,lead,WOMEN,1195
30,30,Stendal,Linn Karin,NOR,26.00,23. 8.00,,29. 2.00,18. 16.00,,2001,lead,WOMEN,1224
31,30,Trnkova,Lenka,CZE,26.00,,,16. 20.00,25. 6.00,,2001,lead,WOMEN,1216
32,33,Iovane,Luisa,ITA,24.00,,,21. 10.00,19. 14.00,,2001,lead,WOMEN,1213
33,33,Louis,Stéphanie,SUI,24.00,29. 2.00,,22. 9.00,25. 6.00,24. 7.00,2001,lead,WOMEN,2716
34,35,Martin,Delphine,FRA,22.00,15. 22.00,,,,,2001,lead,WOMEN,1078
35,35,Nagakai,Hoshiko,JPN,22.00,,,,15. 22.00,,2001,lead,WOMEN,3362
36,37,Stenkovaya,Anna,RUS,20.00,,16. 20.00,,,,2001,lead,WOMEN,3619
37,38,Bibik,Olga,RUS,18.00,,,,,17. 18.00,2001,lead,WOMEN,1308
38,39,Verdier,Emilie,FRA,16.00,,,18. 16.00,,,2001,lead,WOMEN,3199
39,40,Delphino,Amélie,FRA,15.00,,,25. 6.00,22. 9.00,,2001,lead,WOMEN,2837
40,41,Choumilova,Elena,RUS,14.00,,,,,19. 14.00,2001,lead,WOMEN,1106
41,41,Huang,Bai-Le,TPE,14.00,,19. 14.00,,,,2001,lead,WOMEN,4937
42,43,Choi,Shun-Yuk,HKG,12.00,,20. 12.00,,,,2001,lead,WOMEN,1337
43,43,Pouget,Emilie,FRA,12.00,,,20. 12.00,,,2001,lead,WOMEN,2805
44,45,Laszlo,Helene Belle,NOR,10.00,,21. 10.00,,,,2001,lead,WOMEN,1144
45,45,Vidmar,Katja,SLO,10.00,21. 10.00,,,,,2001,lead,WOMEN,3137
46,47,Podgorbounskikh,Zosia,RUS,9.00,,22. 9.00,,,,2001,lead,WOMEN,1404
47,48,Franko,Lucka,SLO,8.00,23. 8.00,,,,,2001,lead,WOMEN,2745
48,49,Frati,Mirella,ITA,7.00,,,,24. 7.00,,2001,lead,WOMEN,3170
49,49,Liu,Hiu Ying,HKG,7.00,,24. 7.00,,,,2001,lead,WOMEN,1145
50,51,Huang,Li-Ping,CHN,6.00,,25. 6.00,,,,2001,lead,WOMEN,4947
51,51,Novikova,Natalia,RUS,6.00,,,,,25. 6.00,2001,lead,WOMEN,2848
52,51,Ritsch,Isabella,AUT,6.00,,,,25. 6.00,,2001,lead,WOMEN,2739
53,51,Salvadori,Claudia,ITA,6.00,,,,25. 6.00,,2001,lead,WOMEN,4889
54,55,Allen,Rebecca,GBR,5.00,,26. 5.00,,,,2001,lead,WOMEN,3045
55,55,Crouvisier,Stéphanie,FRA,5.00,,,,,26. 5.00,2001,lead,WOMEN,3490
56,57,Bihr,Isabelle,FRA,4.00,,,,,27. 4.00,2001,lead,WOMEN,1151
57,57,Zakharova,Olga,UKR,4.00,,27. 4.00,,,,2001,lead,WOMEN,1312
58,59,Endo,Yuka,JPN,3.00,,,,30. 1.00,29. 2.00,2001,lead,WOMEN,5325
59,59,Gronkiewicz-Marcisz,Iwona,POL,3.00,,,,,28. 3.00,2001,lead,WOMEN,1157
60,59,Li,Chunhua,CHN,3.00,,28. 3.00,,,,2001,lead,WOMEN,4962
61,62,Lage,Lisa,USA,2.00,,,29. 2.00,,,2001,lead,WOMEN,3319
62,62,Yuniar,Yuyun,INA,2.00,,29. 2.00,,,,2001,lead,WOMEN,4951
63,64,Hendrawati,Agung Ethi,INA,1.00,,30. 1.00,,,,2001,lead,WOMEN,4950
64,64,Taylor,Vanessa,FRA,1.00,,,,30. 1.00,,2001,lead,WOMEN,3467
