,Rank,Name,Name.1,Nation,Points,7935,7932,7959,7929,7926,7923,2019,event,gender,athlete_id
25,26,Mackenzie,Oceania,AUS,62.00,,17. 15.00,,,,6. 47.00,2019,boulder,WOMEN,11895
26,27,Grossman,Natalia,USA,60.00,7. 43.00,,,,17. 17.00,,2019,boulder,WOMEN,13921
27,28,Shiraishi,Ashima,USA,58.00,23. 7.00,25. 5.00,21. 9.00,9. 37.00,,,2019,boulder,WOMEN,13960
28,29,Caulier,Chloe,BEL,57.00,21. 9.00,,21. 9.00,10. 34.00,25. 5.00,,2019,boulder,WOMEN,9945
29,30,Douady,Luce,FRA,51.00,5. 51.00,,,,,,2019,boulder,WOMEN,54486
30,31,Hayes,Margo,USA,45.00,11. 31.00,,,19. 14.00,,,2019,boulder,WOMEN,11377
31,31,Moroni,Camilla,ITA,45.00,,8. 38.00,,,,23. 7.00,2019,boulder,WOMEN,13556
32,33,Rogora,Laura,ITA,40.00,8. 40.00,,,,,,2019,boulder,WOMEN,13189
33,34,Färber,Johanna,AUT,39.00,23. 7.00,17. 15.00,,,17. 17.00,,2019,boulder,WOMEN,11163
34,35,KIM,Jain,KOR,37.00,17. 18.00,,23. 7.00,20. 12.00,,,2019,boulder,WOMEN,5983
35,35,Meul,Hannah,GER,37.00,9. 37.00,,,,,,2019,boulder,WOMEN,52839
36,37,Michalkova,Vanda,SVK,36.00,25. 5.00,11. 31.00,,,,,2019,boulder,WOMEN,57542
37,37,Schwaiger,Berit,AUT,36.00,,,,,20. 12.00,14. 24.00,2019,boulder,WOMEN,8953
38,39,Meshkova,Viktoriia,RUS,34.00,,16. 20.00,25. 5.00,,21. 9.00,,2019,boulder,WOMEN,12658
39,39,Pötzi,Mattea,AUT,34.00,,12. 27.00,,,,23. 7.00,2019,boulder,WOMEN,12930
40,41,Bestvater,Alma,GER,28.00,16. 20.00,27. 3.00,,25. 5.00,,,2019,boulder,WOMEN,11149
41,41,Kura,Nanako,JPN,28.00,,14. 23.00,,,,25. 5.00,2019,boulder,WOMEN,57134
42,43,Kuzmenko,Irina,RUS,23.00,,,,,14. 23.00,,2019,boulder,WOMEN,9814
43,44,Meignan,Naile,FRA,18.00,,,18. 15.00,,27. 3.00,,2019,boulder,WOMEN,64975
44,45,Aguado,Valentina,ARG,17.00,25. 5.00,,27. 3.00,21. 9.00,,,2019,boulder,WOMEN,13280
45,45,JIANG,Rong,CHN,17.00,,,,17. 17.00,,,2019,boulder,WOMEN,9190
46,47,Lee,Hung Ying,TPE,16.00,,,18. 15.00,29. 1.00,,,2019,boulder,WOMEN,8122
47,47,Vest,Allison,CAN,16.00,18. 16.00,,,,,,2019,boulder,WOMEN,11272
48,49,Repusic,Urska,SLO,15.00,,17. 15.00,,,,,2019,boulder,WOMEN,13541
49,50,Pinggera,Julia,AUT,14.00,,,,,,19. 14.00,2019,boulder,WOMEN,9971
50,51,Cohaut,Flavy,FRA,12.00,,,20. 12.00,,,,2019,boulder,WOMEN,58626
51,51,Tanii,Natsuki,JPN,12.00,20. 12.00,,,,,,2019,boulder,WOMEN,66824
52,53,Raboutou,Brooke,USA,10.00,21. 9.00,,,,,29. 1.00,2019,boulder,WOMEN,13954
53,54,Kopf,Sienna,USA,9.00,,,,,21. 9.00,,2019,boulder,WOMEN,61513
54,54,Slaney,Hannah,GBR,9.00,,,,,,21. 9.00,2019,boulder,WOMEN,12655
55,54,Wood,Jennifer,GBR,9.00,29. 1.00,,,23. 7.00,29. 1.00,,2019,boulder,WOMEN,11498
56,54,Zakharova,Margaryta,UKR,9.00,,21. 9.00,,,,,2019,boulder,WOMEN,10181
57,58,Dörffel,Lucia,GER,7.00,,23. 7.00,,,,,2019,boulder,WOMEN,52411
58,58,SUGAWARA,Aya,JPN,7.00,,23. 7.00,,,,,2019,boulder,WOMEN,77611
59,60,Borella,Anna,ITA,5.00,,,,,,25. 5.00,2019,boulder,WOMEN,10351
60,60,Bärtschi,Natalie,SUI,5.00,,25. 5.00,,,,,2019,boulder,WOMEN,8879
61,62,Blair-Coyle,Sierra,USA,3.00,27. 3.00,,,,,,2019,boulder,WOMEN,8256
62,62,Krasovskaya,Elena,RUS,3.00,,27. 3.00,,,,,2019,boulder,WOMEN,12639
63,62,Kümin,Andrea,SUI,3.00,,27. 3.00,,,,,2019,boulder,WOMEN,10328
64,62,Neame,Joanna,GBR,3.00,,,,27. 3.00,,,2019,boulder,WOMEN,57750
65,62,Yokoyama,Sofya,SUI,3.00,,,,,27. 3.00,,2019,boulder,WOMEN,11814
66,62,Zijlstra,Vera,NED,3.00,27. 3.00,,,,,,2019,boulder,WOMEN,5641
67,68,Andre,Charlotte,FRA,1.00,,,,29. 1.00,,,2019,boulder,WOMEN,12831
68,68,Boklaschuk,Paige,CAN,1.00,29. 1.00,,,,,,2019,boulder,WOMEN,60698
69,68,Jaubert,Anouck,FRA,1.00,,,29. 1.00,,,,2019,boulder,WOMEN,10354
