,Rank,Name,Name.1,Nation,Points,1119,1099,1097,1122,1096,1093,1106,2008,event,gender,athlete_id
22,23,Meyer,Jérôme,FRA,77.00,,,,13. 26.00,,,5. 51.00,2008,boulder,MEN,441
23,24,Meral,Julien,FRA,73.00,,,,20. 12.00,19. 14.00,6. 47.00,,2008,boulder,MEN,3062
24,25,Sommer,Remo,SUI,71.00,,,,7. 43.00,12. 28.00,,,2008,boulder,MEN,3498
25,26,Vandeputte,Antoine,FRA,68.00,11. 31.00,9. 37.00,,,,,,2008,boulder,MEN,8709
26,27,Kleshnov,Stanislav,UKR,65.00,3. 65.00,,,,,,,2008,boulder,MEN,5834
27,27,Robinson,Paul,USA,65.00,,,,3. 65.00,,,,2008,boulder,MEN,8366
28,29,Duroche,Pierre,FRA,59.00,,,22. 9.00,17. 18.00,23. 8.00,,14. 24.00,2008,boulder,MEN,7111
29,30,Sugita,Masatoshi,JPN,58.00,,21. 10.00,11. 31.00,,30. 1.00,,18. 16.00,2008,boulder,MEN,7753
30,31,Chernikov,Mikhail,RUS,52.00,13. 26.00,,,,27. 4.00,,15. 22.00,2008,boulder,MEN,6935
31,31,Hoppe,Markus,GER,52.00,,18. 16.00,,,,17. 18.00,17. 18.00,2008,boulder,MEN,3706
32,31,Parry,Gareth,GBR,52.00,,,30. 1.00,,28. 3.00,10. 34.00,19. 14.00,2008,boulder,MEN,312
33,34,Landman,Tyler,GBR,47.00,,,,6. 47.00,,,,2008,boulder,MEN,6724
34,35,Gaidioz,Loïc,FRA,45.00,7. 43.00,29. 2.00,,,,,,2008,boulder,MEN,5310
35,36,Jongeneelen,Wouter,NED,44.00,25. 6.00,,,15. 22.00,18. 16.00,,,2008,boulder,MEN,961
36,37,Kozlov,Vasily,RUS,40.00,8. 40.00,,,,,,,2008,boulder,MEN,5138
37,37,Lachat,Cédric,SUI,40.00,,,,,8. 40.00,,,2008,boulder,MEN,2583
38,37,Sharma,Chris,USA,40.00,,,,8. 40.00,,,,2008,boulder,MEN,151
39,40,Oleksy,Tomasz,POL,39.00,,14. 24.00,21. 10.00,,,,26. 5.00,2008,boulder,MEN,906
40,41,Rubtsov,Aleksey,RUS,38.00,12. 28.00,21. 10.00,,,,,,2008,boulder,MEN,9046
41,42,Borowka,Andre,GER,28.00,,,,,,18. 16.00,20. 12.00,2008,boulder,MEN,2394
42,42,Mrázek,Tomás,CZE,28.00,,,,,,,12. 28.00,2008,boulder,MEN,3377
43,42,Rakhmetov,Salavat,RUS,28.00,,,12. 28.00,,,,,2008,boulder,MEN,845
44,45,Caleyron,Thomas,FRA,27.00,,,20. 12.00,,25. 6.00,,22. 9.00,2008,boulder,MEN,5694
45,46,Ramsamy,Joackym,FRA,24.00,,,,,14. 24.00,,,2008,boulder,MEN,7550
46,46,Rant,Blaz,SLO,24.00,,20. 12.00,,,20. 12.00,,,2008,boulder,MEN,2578
47,48,Watson,Stewart,GBR,23.00,,,28. 3.00,,16. 20.00,,,2008,boulder,MEN,5300
48,49,Kozlov,Victor,RUS,22.00,15. 22.00,,,,,,,2008,boulder,MEN,6729
49,49,Watanabe,Kazuma,JPN,22.00,,,,,,15. 22.00,,2008,boulder,MEN,5722
50,51,Heintz,Benoit,FRA,20.00,16. 20.00,,,,,,,2008,boulder,MEN,6361
51,51,Hemund,Kevin,SUI,20.00,,,,,,,16. 20.00,2008,boulder,MEN,5216
52,51,Jalmain,Sebastien,FRA,20.00,,29. 2.00,23. 8.00,,23. 8.00,29. 2.00,,2008,boulder,MEN,6154
53,51,Macias Matutano,Bruno,ESP,20.00,,,16. 20.00,,,,,2008,boulder,MEN,2487
54,51,Traversi,Carlo,USA,20.00,,,,16. 20.00,,,,2008,boulder,MEN,7282
55,56,Nikolaev,Alexandr,RUS,18.00,17. 18.00,,,,,,,2008,boulder,MEN,9285
56,56,Son,Sangwon,KOR,18.00,,,,,17. 18.00,,,2008,boulder,MEN,3394
57,58,Dugit,Fabien,FRA,16.00,,,18. 16.00,,,,,2008,boulder,MEN,2791
58,58,Owen,Kyle,USA,16.00,,,,18. 16.00,,,,2008,boulder,MEN,9005
59,58,Savelyev,Konstantin,RUS,16.00,18. 16.00,,,,,,,2008,boulder,MEN,2800
60,61,Hobson,Mark,USA,14.00,,,,19. 14.00,,,,2008,boulder,MEN,8991
61,61,Kalina,Alexander,RUS,14.00,19. 14.00,,,,,,,2008,boulder,MEN,8731
62,63,Badia,Nicolas,FRA,11.00,,,,,,23. 8.00,28. 3.00,2008,boulder,MEN,6141
63,64,Barrans,David,GBR,10.00,,,,,21. 10.00,,,2008,boulder,MEN,7492
64,64,Escobar,Manuel,VEN,10.00,21. 10.00,,,,,,,2008,boulder,MEN,3235
65,64,Hoarau,Didier,FRA,10.00,,,,,,21. 10.00,,2008,boulder,MEN,6648
66,64,Kruder,Jernej,SLO,10.00,,27. 4.00,,,,,25. 6.00,2008,boulder,MEN,6488
67,68,Mogaki,Keita,JPN,9.00,,,,22. 9.00,,,,2008,boulder,MEN,3246
68,68,Nomine,Baptiste,FRA,9.00,,,,,,22. 9.00,,2008,boulder,MEN,8194
69,70,Feehally,Edward,GBR,8.00,,23. 8.00,,,,,,2008,boulder,MEN,8190
70,70,Kaurov,Ivan,RUS,8.00,23. 8.00,,,,,,,2008,boulder,MEN,5137
71,70,Novitskiy,Yury,RUS,8.00,,23. 8.00,,,,,,2008,boulder,MEN,8427
72,73,Borowka,Karsten,GER,7.00,,,,,,24. 7.00,,2008,boulder,MEN,2057
73,73,Chong,Jamie,CAN,7.00,,,,24. 7.00,,,,2008,boulder,MEN,6859
74,73,Dyakonov,Kirill,RUS,7.00,24. 7.00,,,,,,,2008,boulder,MEN,9286
75,73,Ennemoser,Lukas,AUT,7.00,,,,,,,24. 7.00,2008,boulder,MEN,6096
76,77,LE COUSTER,Yoann,FRA,6.00,,,,,,25. 6.00,,2008,boulder,MEN,8088
77,77,Lebreton,Olivier,FRA,6.00,,25. 6.00,,,,,,2008,boulder,MEN,668
78,77,Musselbrook,Tony,GBR,6.00,,,25. 6.00,,,,,2008,boulder,MEN,7198
79,77,Nigmanov,Zufar,RUS,6.00,25. 6.00,,,,,,,2008,boulder,MEN,7244
80,77,Schulte,Ferdinand,NED,6.00,25. 6.00,,,,,,,2008,boulder,MEN,3039
81,82,Picq,Davic,FRA,5.00,,,,,,26. 5.00,,2008,boulder,MEN,7516
82,83,Ciccione,Jérémie,FRA,4.00,,,,,,27. 4.00,,2008,boulder,MEN,8195
83,83,Ghidini,Stefano,ITA,4.00,,,,,29. 2.00,,29. 2.00,2008,boulder,MEN,819
84,83,Jubes Angarita,Marco Antonio,ESP,4.00,,27. 4.00,,,,,,2008,boulder,MEN,6937
85,83,Würth,Peter,GER,4.00,30. 1.00,,,,,28. 3.00,,2008,boulder,MEN,5205
86,87,Bosley,Matt,USA,3.00,,,,28. 3.00,,,,2008,boulder,MEN,9006
87,87,Hukkataival,Nalle,FIN,3.00,,,,28. 3.00,,,,2008,boulder,MEN,6433
88,87,Rugens,Rolands,LAT,3.00,28. 3.00,,,,,,,2008,boulder,MEN,8245
89,90,Klancnik,Rok,SLO,2.00,,,29. 2.00,,,,,2008,boulder,MEN,5906
90,90,Shaferov,Sergei,BLR,2.00,29. 2.00,,,,,,,2008,boulder,MEN,5396
91,92,Miegeville,Quentin,FRA,1.00,,,,,,30. 1.00,,2008,boulder,MEN,8197
92,92,Moosburger,Emanuel,AUT,1.00,,,,,,,30. 1.00,2008,boulder,MEN,3120
