,Rank,Name,Name.1,Nation,Points,455,453,450,446,444,441,439,2002,event,gender,athlete_id
68,67,Piliougine,Igor,RUS,4.00,,,,,,27. 4.00,,2002,lead,MEN,2513
69,67,Tan,Sze Ping,SGP,4.00,,,27. 4.00,,,,,2002,lead,MEN,5742
70,67,Usobiaga Lakunza,Patxi,ESP,4.00,,,,,,,27. 4.00,2002,lead,MEN,2550
71,72,Pagnoux,Romain,FRA,3.00,,,,28. 3.00,,,,2002,lead,MEN,5664
72,72,Prytz,Jan Fredrick,NOR,3.00,,,,,,28. 3.00,,2002,lead,MEN,3213
73,72,Roth,Cody,USA,3.00,,,,,28. 3.00,,,2002,lead,MEN,3210
74,75,Droguet,Xavier,FRA,2.00,,,,29. 2.00,,,,2002,lead,MEN,5427
75,75,Preußler,Timo,GER,2.00,,,,,29. 2.00,,,2002,lead,MEN,2438
76,75,Rakhmetov,Salavat,RUS,2.00,,,,,,29. 2.00,,2002,lead,MEN,845
77,78,Mobråten,Martin,NOR,1.00,,,30. 1.00,,,,,2002,lead,MEN,3214
